,file_name,words
8334,"Public_Transcript_of_Hearing_February_18th,_2004_(English,_1_Pages).txt","['tuesday', 'february', 'open', 'commence', 'accuse', 'present', 'judge', 'evident', 'accuse', 'present', 'receive', 'information', 'short', 'ago', 'detention', 'unit', 'accuse', 'indispose', 'position', 'attend', 'today', 'expect', 'medical', 'report', 'hour', 'party', 'abreast', 'situation', 'matter', 'wish', 'raise', 'adjourn', 'adjourn', 'hearing', 'adjourn', 'sine', 'die', 'procedural', 'matter', 'open', 'wednesday', 'february', 'case']"
5637,"Public_Transcript_of_Hearing_3_October_2008_(English,_4_Pages).txt","['friday', 'october', 'open', 'accuse', 'enter', 'commence', 'judge', 'let', 'absence', 'judge', 'van', 'den', 'wyngaert', 'judge', 'david', 'sit', 'pursuant', 'provision', 'matter', 'usefully', 'dispose', 'absence', 'relate', 'query', 'raise', 'connection', 'subpoenaed', 'refuse', 'come', 'raise', 'forthwith', 'arrest', 'proceeding', 'institute', 'way', 'contempt', 'pursuant', 'trial', 'ruling', 'matter', 'authority', 'endeavour', 'secure', 'attendance', 'subpoenaed', 'should', 'refuse', 'attend', 'liable', 'contempt', 'proceeding', 'pursuant', 'hope', 'sufficiently', 'clear', 'second', 'matter', 'relate', 'prosecution', 'motion', 'september', 'believe', 'september', 'quater', 'relate', 'pages', 'hearing', 'adjourn', 'reconvene', 'wednesday', 'day', 'october', 'ruling', 'friday', 'october', 'case']"
10562,"Public_Transcript_of_Status_Conference_11_Dec.1997_(English,_30_Pages).txt","['thursday', 'december', 'closed', 'closed', 'status', 'conference', 'colleague', 'additional', 'observation', 'judge', 'judge', 'shahabuddeen', 'comment', 'case', 'present', 'status', 'conference', 'adjourn', 'meet', 'tomorrow', 'thank', 'hearing', 'adjourn', 'status', 'conference', 'closed', 'thursday', 'december', 'case']"
8114,"Public_Transcript_of_Hearing_December_10th,_2001_(English,_76_Pages).txt","['monday', 'december', 'open', 'accuse', 'enter', 'commence', 'judge', 'case', 'good', 'morning', 'case', 'number', 'versus', 'mitar', 'judge', 'ready', 'yes', 'prosecution', 'entire', 'subject', 'testimony', 'judge', 'yes', 'thank', 'pages', 'hearing', 'adjourn', 'reconvene', 'tuesday', 'day', 'december', 'cross', 'examine', 'domazet', 'monday', 'december', 'case', 'cross', 'examine', 'domazet']"
3883,"Public_Transcript_of_Hearing_24th_June,_1996_(English,_17_Pages).txt","['international', 'criminal', 'case', 'yugoslavia', 'trial', 'monday', 'june', 'judge', 'presiding', 'judge', 'judge', 'odio', 'benito', 'judge', 'drazen', 'erdemovic', 'eric', 'ostberg', 'mark', 'appear', 'behalf', 'office', 'jovan', 'babic', 'appear', 'behalf', 'closed', 'pages', 'close', 'hearing', 'adjourn', 'status', 'conference', 'close', 'monday', 'june', 'case']"
