,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38
sub_topic_0,0.00086393097,6.819786e-05,0.00066712307,0.00011483517,0.000102793834,0.0004716089,9.681118e-05,1.1760078e-05,6.460786e-06,0.0009368068,0.0011275074,0.00021046711,0.00012166981,0.00019776617,3.3927194e-05,3.108663e-05,0.0021257566,8.769691e-06,0.002746907,0.0015467714,0.0012263962,0.0001163257,8.266226e-05,0.0,8.58339e-05,0.00016733419,2.3629436e-05,0.0004865765,0.00010377344,0.5539718,3.5178324e-05,4.386674e-05,7.015888e-05,0.00035675583,0.00014608649,0.0033654633,0.0067614,0.0018416893,0.00015633296
sub_topic_1,0.0007375854,0.0007313955,0.0011479346,0.00016782379,0.96878606,0.00042646044,0.00041563163,0.0014096261,0.0010687158,0.00078067125,0.0007291218,0.0026853834,0.00018493879,0.0018088629,0.0007445955,0.0006079407,0.0022150124,3.1771157e-05,0.0011305586,0.00051907473,4.5526594e-05,0.00064557116,0.003993846,0.00031270282,0.015774181,0.0019697181,0.00037896264,0.0088357,0.00067873485,0.00022782016,0.004463609,0.01337766,0.00415968,0.00045056525,0.00036502007,0.0013154335,0.0013353364,0.00036115374,0.00026772788
sub_topic_2,0.0011533514,0.0007722612,0.000603661,0.00042035666,0.0019328424,0.0003300462,0.0013712525,0.001115107,0.59251887,0.00017125857,0.00021987106,0.0033064208,0.00047831668,0.0023464866,0.00023791572,0.0004915228,0.0017107775,6.808903e-05,0.002766954,0.00034459672,0.00011108561,0.00075750065,0.00128836,0.06250172,0.000511031,0.0016644784,0.0011137389,0.0014326329,0.00045786603,0.00024247047,0.0009994851,0.0009777938,0.003670702,0.0009078983,0.0002558571,0.0005962606,0.0003846524,0.00086329546,0.0005486176
sub_topic_3,0.0012189157,0.000391385,0.0008648621,0.00010409255,0.00046009006,0.0009308322,0.00014105104,9.64175e-06,5.31844e-05,0.0026190022,0.0021408512,0.00040791483,0.000411506,0.012699984,0.00027165687,0.00013160816,0.0010975284,0.00010830148,0.0009939456,5.640167e-05,0.00011556428,0.00032594384,0.0002819257,5.017844e-07,0.00036472964,5.9685353e-05,0.00012431065,0.0014535019,0.00095485064,0.0005718717,7.730555e-05,0.00019657952,0.00015023215,0.0009348553,0.00016807986,0.0011207098,0.9564745,0.010115655,0.0010789267
sub_topic_4,0.00022230978,6.810177e-05,0.0010881881,7.267791e-05,1.3415755e-05,4.528591e-05,3.386729e-05,8.062652e-06,1.7289925e-05,3.4270884e-05,0.00382308,0.0011386698,0.00018167235,2.9536282e-05,4.407185e-05,9.19173e-05,0.000318354,1.6169928e-05,4.3316333e-05,2.1180935e-05,4.493077e-06,0.00012862633,0.0028761534,2.9968876e-06,2.4725176e-05,1.7514501e-05,0.027327348,0.00010289409,5.7049452e-05,6.5413174e-06,0.00028719526,6.665133e-05,0.9204807,0.91488135,0.00010339659,5.2843006e-05,2.7642755e-05,0.00012672634,6.251534e-05
sub_topic_5,0.0086999545,0.00076396356,0.17781888,0.00035374283,0.00011814415,0.0018222722,0.0008301395,0.000112557784,0.00013910476,0.0023898573,0.02177243,0.00012204196,0.0011421485,0.0010049568,0.0012126643,0.0033172027,0.0013698686,0.000114603645,0.0005130817,0.00014979561,5.721674e-05,0.0024333904,0.00030676965,4.8229545e-06,8.8899214e-05,0.000100939986,0.06876746,0.0017420546,0.005450407,0.0022207233,0.0005257662,0.0003797499,0.007982492,0.022610525,0.060481366,0.0010407824,0.003012564,0.12310551,0.0040592495
sub_topic_6,7.726022e-05,0.011776145,0.00029845067,0.0003765516,1.4700195e-05,0.0010847683,0.003996129,3.4267825e-05,6.280067e-06,0.0009226892,0.0010928998,5.102188e-06,0.1396631,0.00045854528,0.0004317818,8.985054e-06,0.0005523831,0.65871364,8.141438e-05,0.00012270434,0.0025471628,0.0020913375,0.0017148451,8.444665e-05,4.3197193e-05,5.1760603e-06,0.0025798676,0.003949805,0.00019385519,1.1741936e-05,2.6866886e-05,5.8053123e-05,9.906488e-05,0.0012490146,2.0764885e-06,8.6202606e-05,0.0013990183,0.021626888,0.0003829957
sub_topic_7,0.0003883358,0.00031753437,0.0007758463,4.6419646e-05,0.0027323228,0.00013060374,0.00012819874,0.6858238,0.0001179669,0.00021404006,0.001301932,0.00020626337,0.00039474916,0.0014829409,0.000104247374,0.000120064076,0.0004418463,3.7400554e-05,0.00024926808,0.00025921414,0.0,0.00048497386,0.0022187391,0.19133651,0.0005726314,0.00021997487,0.0029972992,0.00020658078,0.0004404756,2.345556e-05,0.0006744369,0.00059969554,0.018343927,0.00013036144,0.00016579306,0.00051194866,5.9266113e-05,0.00010078256,7.8299956e-05
sub_topic_8,2.6477514e-05,6.2169776e-05,5.665666e-05,3.5177534e-05,1.5346162e-05,0.00037157332,0.00019340063,2.0511573e-06,5.2899836e-06,0.0012131409,5.8803107e-05,1.9077854e-05,6.452315e-05,0.001754291,8.60554e-05,9.888415e-05,9.049558e-05,4.0754083e-05,3.268194e-05,1.5916668e-06,1.2066351e-05,6.6063665e-05,7.69611e-05,6.9926514e-06,4.0102204e-05,6.051565e-06,0.00028376593,3.56507e-05,0.97056305,8.862487e-05,4.143707e-06,9.971034e-05,8.368936e-05,5.6205474e-05,0.00021615432,0.000108436325,8.9335015e-05,0.00022619682,0.00013531414
sub_topic_9,0.00012480239,0.00029687755,5.5104047e-05,4.0315124e-05,0.0001672646,0.00011119217,1.5648398e-05,4.0898347e-05,1.4251692e-05,7.6371405e-05,0.76552784,0.003957692,6.153982e-05,0.00012449232,0.00075028936,0.00017355278,6.514888e-05,1.317432e-05,0.00015263628,6.8028276e-06,1.0704009e-06,0.00038866105,0.0038241702,3.102997e-06,0.00096610794,1.1918089e-05,0.007871332,3.5316625e-05,5.819916e-05,6.087758e-06,0.0004226008,0.8903011,3.098949e-05,0.0044431323,0.00018106976,0.000707884,2.183243e-05,3.294942e-05,7.011578e-05
