,file_name,words
4631,"Public_Transcript_of_Hearing_27_March_2002_(English,_11_Pages).txt","['wednesday', 'march', 'status', 'conference', 'open', 'commence', 'judge', 'status', 'conference', 'matter', 'need', 'deal', 'proceeding', 'continue', 'necessary', 'discuss', 'want', 'hold', 'status', 'conference', 'pages', 'status', 'conference', 'adjourn', 'status', 'conference', 'wednesday', 'march', 'case', 'status', 'conference']"
10562,"Public_Transcript_of_Status_Conference_11_Dec.1997_(English,_30_Pages).txt","['thursday', 'december', 'closed', 'closed', 'status', 'conference', 'colleague', 'additional', 'observation', 'judge', 'judge', 'shahabuddeen', 'comment', 'case', 'present', 'status', 'conference', 'adjourn', 'meet', 'tomorrow', 'thank', 'hearing', 'adjourn', 'status', 'conference', 'closed', 'thursday', 'december', 'case']"
778,"Public_Transcript_of_Hearing_10_April_2006_(English,_88_Pages).txt","['monday', 'april', 'open', 'accuse', 'enter', 'commence', 'judge', 'good', 'afternoon', 'mention', 'judge', 'van', 'den', 'wyngaert', 'able', 'sit', 'today', 'expect', 'sit', 'tomorrow', 'propose', 'continue', 'good', 'morning', 'good', 'afternoon', 'protect', 'issue', 'order', 'closed', 'judge', 'closed', 'yes', 'record', 'pseudonym', 'judge', 'thank', 'closed', 'close', 'pages', 'closed', 'hearing', 'adjourn', 'reconvene', 'tuesday', 'day', 'april', 'closed', 'examination', 'monday', 'april', 'case', 'closed', 'cross', 'examination', 'domazet']"
5763,"Public_Transcript_of_Hearing_4_September_2003_(English,_5_Pages).txt","['thursday', 'september', 'open', 'commence', 'judge', 'may', 'report', 'accuse', 'unwell', 'eighth', 'occasion', 'happen', 'think', 'day', 'lose', 'illness', 'plainly', 'matter', 'require', 'investigation', 'propose', 'medical', 'report', 'accuse', 'include', 'report', 'psychological', 'condition', 'observation', 'judge', 'may', 'let', 'finish', 'propose', 'report', 'detention', 'unit', 'condition', 'conduct', 'yes', 'forgive', 'appearing', 'interrupt', 'appreciate', 'conclude', 'course', 'substantial', 'observation', 'save', 'follow', 'look', 'overall', 'history', 'medical', 'condition', 'approach', 'potential', 'problem', 'future', 'pattern', 'health', 'satisfactory', 'follow', 'difficult', 'suggest', 'minute', 'ill', 'health', 'genuine', 'appear', 'report', 'entirely', 'genuine', 'appear', 'non', 'expert', 'eye', 'indisposition', 'follow', 'difficult', 'deal', 'mention', 'reopen', 'imposition', 'counsel', 'understand', 'matter', 'deal', 'conclusively', 'deal', 'judge', 'may', 'microphone', 'activate', 'microphone', 'presiding', 'judge', 'judge', 'may', 'matter', 'leave', 'open', 'position', 'review', 'mind', 'look', 'future', 'particular', 'look', 'case', 'think', 'mechanism', 'discuss', 'early', 'week', 'assistance', 'conduct', 'case', 'relieve', 'bad', 'tension', 'follow', 'difficult', 'helpful', 'hard', 'exactly', 'happen', 'save', 'imposition', 'counsel', 'addition', 'standby', 'counsel', 'course', 'somebody', 'face', 'case', 'substantially', 'tension', 'moment', 'difficult', 'bear', 'suppose', 'anybody', 'assist', 'layman', 'response', 'year', 'half', 'second', 'thing', 'immediate', 'problem', 'immediate', 'timetable', 'position', 'available', 'today', 'available', 'tomorrow', 'suspect', 'till', 'monday', 'chance', 'accuse', 'return', 'health', 'sufficiently', 'sit', 'tomorrow', 'monday', 'able', 'think', 'observation', 'want', 'judge', 'may', 'yes', 'tapuskovic', 'insert', 'ensure', 'pagination', 'correspond', 'french', 'english', 'transcript', 'tapuskovic', 'assistance', 'course', 'believe', 'position', 'regard', 'investigate', 'problem', 'arise', 'occasionally', 'order', 'course', 'know', 'amicus', 'official', 'contact', 'slobodan', 'milosevic', 'basis', 'informal', 'contact', 'occasionally', 'tell', 'openly', 'advisory', 'conversation', 'spontaneous', 'conversation', 'occasionally', 'small', 'break', 'hear', 'past', 'day', 'yesterday', 'day', 'informal', 'contact', 'transport', 'end', 'hearing', 'hour', 'late', 'leave', 'premise', 'possibility', 'rest', 'late', 'tell', 'day', 'yesterday', 'day', 'hearing', 'afternoon', 'complain', 'time', 'rest', 'think', 'matter', 'investigate', 'transportation', 'function', 'morning', 'hearing', 'believe', 'absolutely', 'essential', 'accuse', 'time', 'rest', 'contribute', 'worsen', 'condition', 'sure', 'notice', 'day', 'rest', 'long', 'break', 'rarely', 'indisposition', 'think', 'addition', 'matter', 'mention', 'think', 'look', 'regard', 'transportation', 'rest', 'judge', 'may', 'yes', 'thank', 'tapuskovic', 'thank', 'judge', 'may', 'require', 'report', 'transport', 'accuse', 'detention', 'unit', 'daily', 'basis', 'want', 'sure', 'operate', 'effectively', 'cause', 'unnecessary', 'complication', 'trial', 'confer', 'judge', 'may', 'consider', 'sit', 'extra', 'day', 'obviously', 'helpful', 'arrangement', 'sit', 'monday', 'accuse', 'fit', 'sit', 'tomorrow', 'helpful', 'mean', 'mention', 'outstanding', 'motion', 'resolution', 'affect', 'week', 'think', 'think', 'identity', 'motion', 'provide', 'informally', 'boas', 'judge', 'may', 'additional', 'motion', 'deal', 'doubt', 'look', 'adjourn', 'hearing', 'adjourn', 'sine', 'die', 'procedural', 'matter', 'open', 'thursday', 'september', 'case']"
1948,"Public_Transcript_of_Hearing_15_June_1999_(English,_69_Pages).txt","['tuesday', 'june', 'open', 'commence', 'judge', 'seat', 'accuse', 'bring', 'accuse', 'entered', 'judge', 'good', 'afternoon', 'want', 'sure', 'hear', 'good', 'afternoon', 'good', 'afternoon', 'prosecution', 'counsel', 'counsel', 'good', 'afternoon', 'accuse', 'ado', 'floor', 'understand', 'correctly', 'character', 'today', 'good', 'afternoon', 'president', 'good', 'afternoon', 'character', 'like', 'proceed', 'present', 'pursuant', 'directive', 'sentencing', 'phase', 'occur', 'concurrent', 'trial', 'phase', 'understanding', 'purpose', 'sentencing', 'phase', 'proceeding', 'president', 'reside', 'sarajevo', 'ask', 'testify', 'closed', 'today', 'hope', 'present', 'problem', 'judge', 'let', 'consult', 'colleague', 'cause', 'problem', 'prosecution', 'good', 'afternoon', 'president', 'thank', 'trial', 'confer', 'judge', 'cause', 'difficulty', 'close', 'president', 'assign', 'pseudonyms', 'purpose', 'citation', 'record', 'possible', 'cite', 'record', 'identify', 'open', 'pleading', 'judge', 'closed', 'close', 'understand', 'judge', 'yes', 'closed', 'close', 'pages', 'close', 'hearing', 'adjourn', 'reconvene', 'wednesday', 'day', 'june', 'open', 'tuesday', 'june', 'case', 'evidentiary', 'matters', 'closed']"
