,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35
sub_topic_10,9.347968e-05,6.1444676e-05,0.00020741625,6.896852e-05,2.6267899e-05,5.712464e-05,6.4336906e-05,0.00010332759,1.948952e-05,6.826751e-05,1.1290924e-05,3.23962e-05,7.5192715e-05,2.6947577e-05,6.707043e-06,5.0286862e-06,0.000307168,6.3882835e-05,8.03529e-05,0.84161615,0.00016372727,3.2750988e-05,7.6059405e-05,3.474947e-05,3.0504236e-05,0.0021984736,6.885365e-05,0.00034663937,2.9932131e-05,0.00012161242,2.1829957e-05,1.4793386e-05,0.005069635,1.1235615e-05,3.0266203e-05,0.00020002104
sub_topic_11,0.00028099545,7.6332726e-05,0.00018906457,0.001317729,3.0415886e-05,0.00038834472,0.00019069758,2.1973565e-05,6.4779956e-06,0.0008164479,0.00017375033,9.202206e-05,7.514072e-05,0.00067407097,0.00014116161,8.7496555e-05,0.0004555437,0.00010182351,0.0002837666,8.13481e-05,0.00014912314,7.964496e-05,0.00012303468,1.0160186e-05,0.00018339361,4.7320682e-05,7.091451e-05,8.105167e-05,0.0005857298,0.054283578,3.9518152e-05,0.00013047668,9.190611e-05,6.768373e-05,0.000104687504,0.39856386
sub_topic_12,0.00013993106,0.0001795472,0.0005289223,0.0010482048,3.5136938e-05,0.00017183372,2.4269348e-06,1.3946341e-06,3.6320445e-05,2.9947573e-06,9.463446e-05,0.077779226,2.5423763e-06,1.9592884e-05,6.4381197e-06,2.9694452e-06,7.175659e-05,3.5723472e-06,0.98706365,2.0855434e-05,5.9872265e-05,0.00029547315,2.0850539e-05,7.347195e-07,5.288341e-07,3.9842012e-05,0.00026406697,5.4395164e-06,1.7685423e-05,8.52342e-06,1.5516804e-06,0.000111297,1.0001084e-05,0.0016533036,0.000115847135,0.00012687244
sub_topic_13,4.444673e-06,7.08792e-05,1.0123838e-05,9.932834e-05,1.3464665e-06,0.00025459894,6.999428e-05,0.00033152793,3.303504e-05,1.5040928e-05,1.7640103e-05,1.0420248e-05,1.8434828e-05,3.8859085e-05,9.568172e-06,1.6318096e-06,7.00145e-05,3.259927e-05,9.1629445e-06,1.2877891e-05,6.493763e-05,0.00012038272,1.753244e-05,0.9828401,1.497931e-05,1.2181095e-05,2.7782458e-05,1.9626123e-05,4.948993e-05,8.658172e-07,3.1486976e-05,3.645489e-05,9.035671e-05,1.4547936e-05,4.4790246e-05,1.3476804e-05
sub_topic_14,0.00013104203,0.00052643486,0.00018502952,0.000118926575,9.048066e-05,0.0017211406,0.00041451058,0.00011468175,0.00022034057,5.408559e-05,0.00014393283,0.00021019818,0.00083990756,0.00038770633,0.0002501529,5.7130226e-05,0.00035495285,0.0010205574,6.6385335e-05,0.0006890608,7.250276e-05,0.00026232773,0.00016716201,6.1596635e-05,0.00014003569,0.00032129357,0.000110236375,0.9810383,5.480312e-05,0.00012474606,0.00011629911,7.2928415e-05,0.0007899445,0.00010336685,7.1019145e-05,0.00043922418
sub_topic_15,0.00015490044,0.00053852313,0.00019278412,0.0020000136,0.000118801945,0.0010705914,0.00013106909,3.3299403e-07,2.8406407e-06,0.00036144655,5.404803e-05,0.0,0.0001555107,0.00017409964,0.00011173134,5.1460574e-07,0.0011185636,0.0010089924,0.00016994325,0.0004323808,0.8995865,0.00021288102,0.00044126165,3.65865e-05,1.2252135e-05,1.9808522e-05,0.00023481972,1.0736703e-05,0.00011604312,0.00025196996,1.3043783e-05,3.7577505e-05,7.743106e-06,0.00063853106,0.0020797998,0.00014920722
sub_topic_16,6.311899e-06,0.00021163865,3.2118485e-05,1.03528255e-05,4.2313854e-06,4.37837e-05,0.0001054795,1.1583966e-05,1.9618024e-06,3.739253e-05,1.7157108e-05,1.0349088e-06,0.9694873,6.0088045e-05,5.50864e-05,5.4456145e-06,0.00018416563,0.0008337903,2.4226789e-05,7.126333e-06,3.3211516e-05,6.799373e-05,2.3883962e-05,1.4876815e-05,1.8856699e-06,2.1292135e-06,7.5686374e-05,4.4504613e-05,2.9126779e-05,5.0708013e-06,2.1535898e-05,1.0835154e-05,3.9693274e-05,6.289535e-05,1.759021e-05,1.254751e-05
sub_topic_17,0.9774986,4.9527745e-05,0.00019511522,6.7434616e-05,4.4710065e-05,0.00026585447,2.2658844e-05,6.633907e-06,1.6646041e-05,0.00023075975,0.0011403087,0.0008625659,1.3968972e-05,0.00032237938,4.8490052e-05,0.0001115063,9.6795084e-05,5.5465084e-06,0.00015259138,1.5115035e-05,2.1076114e-05,5.8701968e-05,0.0005513939,9.789545e-07,0.00013407128,2.9795043e-05,0.00012717585,3.1066753e-05,0.00020240537,0.00014434953,3.51263e-05,2.6306594e-05,0.00031610957,0.0016942465,0.00013995371,8.1976534e-05
sub_topic_18,0.0013285333,0.0042145327,0.0019166515,0.0011583185,3.829305e-05,0.003677747,0.0013565831,2.2682354e-06,4.4764107e-07,0.032672364,0.00020051854,0.0,0.0013217535,0.0016484243,0.0035073564,6.194004e-06,0.1988843,0.21730998,0.00040278168,0.0007260082,0.03783184,0.0021443071,0.0063054687,3.425003e-05,9.042484e-05,6.773232e-05,0.00067520153,0.00017265078,0.00089244853,0.003919772,2.445321e-05,3.1841104e-05,0.00095283973,0.000493938,5.2122296e-06,0.001660883
sub_topic_19,8.51569e-05,2.4314479e-05,8.7376946e-05,0.9844627,2.7824706e-05,0.00016387946,7.4850705e-06,4.0139207e-06,6.5099393e-06,0.00024994553,0.0011762332,0.0005916391,1.0687553e-05,0.00025602637,2.567279e-05,1.0358942e-05,0.000108283566,7.084144e-06,0.0002635563,2.5297142e-05,0.0010423214,2.340437e-05,2.812604e-05,4.390388e-05,9.109113e-05,2.386592e-05,3.054087e-05,1.212121e-05,0.0001006766,6.3092266e-05,1.9204503e-05,0.00015908397,7.640097e-06,0.0002178728,0.0028737036,0.0010289814
sub_topic_20,0.0018346986,0.00041442405,0.0036525568,6.60638e-05,0.00019239596,0.00079794234,0.00030314375,0.0002533652,0.00017550257,0.000916303,0.0027116695,0.15221024,0.00010624671,0.0025055532,0.005756101,0.98306435,1.0288018e-05,3.862968e-06,0.0001654551,7.579469e-05,4.666072e-07,0.002758285,0.00038126583,6.884297e-05,0.0022294028,0.00034671626,0.004514982,0.00031885074,0.0034793948,0.0001943401,0.00423659,0.0055640205,0.047123753,0.0026250402,0.004517221,0.00032327903
sub_topic_21,2.650933e-05,1.9212086e-05,4.872627e-05,0.0005296008,1.3628408e-05,2.7868226e-05,3.1151045e-05,1.2724024e-06,1.2021118e-05,5.979633e-05,0.00011087162,0.0001637455,1.6440108e-05,0.00013033563,3.669047e-05,1.6660691e-05,0.00012470354,1.7248667e-05,0.0002702526,7.03567e-05,7.27798e-05,2.9803356e-05,8.34716e-05,8.047271e-06,1.9501942e-05,1.7027061e-05,0.00054007594,4.791608e-06,6.827406e-05,0.00019988698,5.0521347e-05,0.0014975929,2.9497838e-05,5.3197447e-05,4.989664e-05,0.57010055
sub_topic_22,0.00054156885,0.00018450523,0.00039873726,0.00014048342,1.7848759e-05,0.97629774,5.0614963e-05,1.8796877e-06,2.6481289e-06,0.0002619078,0.00027231287,0.00052148313,6.8865214e-05,0.00027816344,8.926462e-05,6.5382745e-05,0.00012419444,0.00016285665,6.917475e-05,9.571987e-06,0.00016541166,0.0002652978,0.0024245249,0.0,1.6342781e-05,1.4062516e-06,0.00011709257,0.00011940009,0.00029903176,0.00028701356,4.8151334e-05,1.2150808e-05,8.502191e-05,0.0025147733,0.0004545246,0.00013620834
sub_topic_23,0.002795038,0.00067340955,0.001221383,0.0014879344,0.0001524601,0.0006760108,5.756224e-05,0.00011368851,0.000111348636,0.0014088523,0.9674093,0.007143737,8.004016e-05,0.0011533854,0.0011221046,0.00042658122,0.00040354306,1.5548183e-05,0.00035613627,3.832178e-05,5.9444763e-05,0.00066288264,0.0012676733,3.3477485e-05,0.001589778,8.143719e-05,0.00092869886,0.00019184792,0.0012918186,0.00021653478,0.0013482433,0.0028534264,0.0022038475,0.004381751,0.0011476032,0.00055103353
sub_topic_24,0.00011669696,0.00040972547,0.0005959316,6.8152265e-05,3.0193263e-05,5.918269e-05,2.1550604e-05,1.0736605e-05,1.2336759e-05,2.5293222e-05,0.00074240257,0.00066643266,5.34781e-05,7.832659e-05,0.0002523604,0.0001062671,5.192998e-05,3.5909405e-05,0.000350365,8.268912e-06,4.968063e-05,0.0009992145,0.0003570401,5.926001e-06,3.2413132e-06,1.3714954e-05,0.97293377,1.4527264e-05,9.106592e-05,3.3112244e-06,5.7182933e-05,0.00034261553,0.0015262144,0.0053139296,0.0003885414,0.0001520144
sub_topic_25,0.0010501532,0.00024576997,0.00072818756,0.0002690986,0.0012000268,0.0001459359,0.0002425886,0.0003089642,0.0005408541,0.00024273028,0.00035509968,0.0024968942,0.00016550241,0.00056030316,0.00047240715,0.00063870405,0.00055208703,3.7235495e-05,0.00052415003,0.0030403072,4.7453137e-05,0.0003100167,0.00023235418,3.8333583e-05,0.0015112271,0.9809183,0.0005269178,0.0014725155,0.00038003866,0.00058907253,0.0005933419,0.0010070506,0.002785118,0.00048098122,0.0002793026,0.00050341553
sub_topic_26,8.9010806e-05,5.3433312e-05,4.405739e-05,3.563266e-05,9.463335e-06,8.095736e-05,1.3081492e-05,7.34406e-06,3.7457676e-07,0.94504774,9.686156e-05,1.8117462e-06,1.0582324e-05,0.008328727,0.00010642472,0.00016556734,5.4297863e-05,2.6902408e-05,8.460015e-06,9.009868e-07,1.4519788e-05,7.0518465e-05,6.637363e-05,2.332343e-06,0.00013856914,3.8420944e-07,2.6680606e-05,0.00018128629,0.0016671481,7.364599e-05,5.5360233e-06,1.747341e-05,2.0671683e-05,4.231958e-05,4.693591e-05,4.398101e-05
sub_topic_27,1.45734875e-05,0.9526701,1.3850712e-05,5.420636e-06,8.3594705e-06,2.8045051e-05,7.8893216e-05,1.5802605e-05,2.3818232e-06,5.185406e-05,8.875774e-05,2.6823895e-06,7.897253e-05,3.9832943e-05,0.00010590201,1.4730887e-06,2.6402857e-05,0.00015739132,4.2841893e-05,2.2642419e-06,4.5632543e-05,0.0001390641,4.6194004e-05,2.4282364e-05,6.7513756e-06,4.0207215e-06,0.000399316,1.5549062e-05,2.3239563e-05,2.2129543e-06,6.195836e-06,5.2684303e-05,1.0657212e-05,0.00020692984,1.6976926e-05,3.0202261e-06
sub_topic_28,1.702408e-05,0.00023242824,1.9736826e-05,1.4826057e-05,1.0587525e-05,6.123852e-05,0.9783858,1.157391e-05,1.1089174e-05,5.957633e-05,2.0988824e-05,1.1869691e-06,0.0001124336,8.991007e-05,1.3538538e-05,2.82707e-05,5.0595674e-05,9.8205994e-05,9.342484e-06,6.5041104e-06,2.0064483e-05,6.03606e-05,2.2432123e-05,4.4303408e-05,7.33217e-06,2.7833753e-06,3.1623313e-05,2.135973e-05,0.00019207768,3.6203958e-06,3.8258568e-06,4.237025e-06,6.353138e-05,4.382917e-05,4.397969e-06,1.3280751e-05
sub_topic_29,1.9383708e-05,0.00033957453,6.62537e-05,1.0160765e-05,8.1617045e-06,0.00010523388,4.1853e-05,6.479363e-06,2.5758895e-06,5.2316493e-05,0.00013544496,8.554695e-05,3.758131e-05,4.7250964e-05,0.00026508636,2.5923744e-05,6.719539e-05,8.9364505e-05,3.0064373e-05,3.10123e-07,3.69991e-05,0.97502637,0.00015314473,1.7842438e-05,1.2552487e-05,1.60682e-06,0.0006031867,7.794525e-06,3.523582e-05,4.6531995e-06,1.9408844e-05,5.7795463e-05,2.8402557e-05,0.00036366633,5.2749754e-05,9.394187e-06
sub_topic_30,0.0016633625,0.00093203224,0.0006170418,0.0014421659,0.0018961915,0.00019173315,0.0007083858,0.00037748314,0.38367257,0.0001564496,0.0007613612,0.0050712544,0.0002117629,0.0022257667,0.00026327794,0.00019776913,0.0015526998,0.00023860658,0.00477765,0.0005352833,0.00089001923,0.0009933804,0.0016111183,0.0030544323,0.00030952567,0.0018090119,0.0045042606,0.000896733,0.00074232375,0.00035256986,0.0005060649,0.0006838331,0.0006840951,0.006193321,0.00034633075,0.0019660362
sub_topic_31,0.0014143033,0.0024760147,0.00064162497,0.00039404712,0.0012968162,0.00046193565,0.0025015136,1.1345811e-05,0.00011118543,0.003114261,4.3980264e-05,0.0,0.003086046,0.00037546962,1.5976306e-05,4.047116e-06,0.0433154,0.0027686635,0.00096195925,0.14850812,0.047329154,0.00021681318,0.0013985486,1.2062983e-05,0.00011495583,0.0034342085,0.00027635152,0.00015792769,0.00030979858,0.020754201,3.811205e-05,6.2017316e-05,0.0016821685,0.0006045053,3.0771087e-06,0.008910069
sub_topic_32,0.00055027206,0.00037119177,0.00020135404,0.0002651047,0.00025299782,6.1531544e-05,0.00020405735,0.00037187562,9.535641e-05,0.0021099127,0.0019438292,0.0014341893,2.6207721e-05,0.0048070606,0.003207505,0.004407199,0.0001671858,3.7368904e-05,2.4603201e-05,6.998376e-05,1.3148054e-05,0.001210982,0.0026175189,5.1483614e-05,0.97315747,0.00070574787,7.104193e-05,0.00047086168,0.00088824367,6.1348e-05,0.0064479196,0.014811557,0.0010016027,0.00037623732,6.203004e-05,0.00034586506
sub_topic_33,0.0032959897,0.00155015,0.0019887667,0.00051834097,0.0044244244,0.00046713353,0.0032030335,0.09733029,0.15030158,0.0005412888,0.0030022464,0.014476458,0.00042745683,0.0025902365,0.0002396567,0.0021626812,0.0014962631,1.6223345e-05,0.000616835,0.0016156877,8.225934e-05,0.0011059855,0.00014811562,0.0023210947,0.007188414,0.006194879,0.0015921318,0.008357305,0.00201946,0.0011287284,0.0052916976,0.0029525391,0.00716393,0.0030286948,0.0018959955,0.001347102
sub_topic_34,0.0005176231,9.177436e-05,0.0013248506,0.00138111,0.00011934055,0.0027804147,1.0921112e-05,2.3006178e-05,4.1962926e-06,0.00044790152,0.0006575892,0.005793848,6.2983556e-05,0.0004970776,3.100122e-05,0.0008079707,1.9167483e-05,2.3947478e-06,0.0005942361,2.590186e-05,0.0005468939,0.00044900598,7.881753e-05,8.336713e-06,5.8361657e-06,1.1840611e-05,0.0007271721,2.3490775e-05,0.0042225216,0.000749342,5.338614e-05,0.00012180508,0.00031007285,0.0044130567,0.9795077,0.00020037328
sub_topic_35,1.9409074e-05,8.027008e-06,0.0012187243,1.8105517e-05,4.9758924e-06,9.460934e-06,2.3118369e-06,3.0194286e-07,4.1919843e-06,5.929408e-06,3.0751067e-05,0.71096665,1.740084e-05,1.2775651e-05,7.6471815e-06,1.7019355e-06,0.7299935,1.3965994e-06,2.601556e-05,2.230076e-06,3.1407812e-06,1.2291022e-05,1.5943668e-05,0.0,7.62293e-06,3.5614355e-06,2.0362517e-05,1.9794695e-06,1.0625791e-05,4.9901882e-06,3.145403e-05,7.3672863e-06,0.00016650795,0.00016586784,8.336208e-06,1.4705011e-05
sub_topic_36,0.000102620674,0.00013392324,0.003826464,3.463828e-05,8.770722e-05,0.00014866379,3.6203262e-05,7.4272866e-05,0.00014222901,4.935458e-05,0.0024448263,0.008342593,5.6729015e-05,9.1490416e-05,0.00068105926,0.00055783667,0.0005661825,1.4304423e-05,6.158292e-06,4.5994442e-05,5.0429785e-06,0.00027827977,0.0021641636,2.1437952e-05,0.0053837574,0.00014179845,0.00015067964,9.3128074e-05,4.0704588e-05,2.0682515e-05,0.97381794,0.0037737612,0.001540149,0.004635624,0.000111982605,0.00019196281
sub_topic_37,0.001031905,0.0007078992,0.0009076117,0.0008023183,0.9877945,0.0009866073,0.0005992862,6.7669757e-06,0.00045192565,0.00040848216,0.000820654,0.002159648,0.0006373948,0.00050216605,0.00023168774,0.00031966882,0.00047999996,5.43956e-05,0.00073027913,0.0002275994,0.0010665373,0.00060343,0.00023366064,1.8294822e-05,0.000102740945,0.00072724547,0.0012008754,0.00055713835,0.00069400476,0.00068753166,0.00020357611,0.00040723756,0.00054092327,0.0014776636,0.0022303218,0.00032976095
sub_topic_38,0.0002154809,0.0031701927,0.00043254628,6.5574146e-05,6.2140585e-05,0.00021943274,0.00014136963,2.6296293e-05,3.7143596e-05,0.0010153629,0.0021215063,0.0012847716,0.0003104554,0.0006281337,0.9777709,0.003234526,0.0003873358,0.0006197977,0.00012291576,1.1017847e-05,0.00011989197,0.0046855924,0.0022764173,2.5808582e-05,0.000977759,0.00019203701,0.002679378,0.00016829443,0.0005107401,6.502334e-05,0.0011271568,0.003945052,0.0006557509,0.00091242633,0.000118017895,0.0001695432
sub_topic_39,0.00011075651,0.002820357,0.00019185245,0.0003698784,6.973715e-05,0.0005578442,0.0013243246,9.045203e-06,7.903055e-06,0.00243685,4.7758702e-05,4.940161e-06,0.0012475627,0.00063276535,0.0016964473,1.2908483e-06,0.0064351503,0.48402295,0.00013814091,0.00015255593,0.005644032,0.0017393831,0.0017481828,6.5873544e-05,7.4495125e-05,4.9228e-05,0.0006017248,0.0005842688,0.00013234546,0.00015525699,3.524179e-05,4.181378e-05,8.748856e-05,0.00043817685,5.368041e-06,0.00058541255
