,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30
sub_topic_0,0.027575426,0.0008828386,0.012997338,0.008059985,0.0011622536,0.01089143,0.00049503386,1.7220214e-05,1.2827072e-05,0.02499577,0.0010913768,0.00031854011,0.0023604254,0.010011405,0.0005297052,0.0005079231,0.02324546,0.00011013689,0.0012545448,0.00037260345,0.004244765,0.0021632926,0.004086385,4.279797e-05,0.00090002693,0.00016776743,0.00018009926,0.00039600636,0.008614645,0.116303675,0.0014988324
sub_topic_1,0.00025181958,0.00021172315,0.00020319712,0.00034769627,0.00024046574,0.00022969056,3.5883902e-05,0.00015606235,0.00010773991,0.00011152881,0.9475779,0.0008765452,2.102549e-05,0.00018172312,0.0021138692,0.00037638718,0.0004788553,1.0162112e-05,9.5452175e-05,0.0037302175,1.9910141e-05,0.00024119287,0.00020594068,5.210155e-05,0.0013492319,5.3673128e-05,0.0008558795,6.729416e-05,0.00023947435,6.4779626e-05,0.00067578413
sub_topic_2,0.010658599,0.0007151197,0.011000557,0.0005867896,0.0007717971,0.012646764,0.0008064643,0.007082011,0.0023168812,0.0009887229,0.005486697,0.0077351118,0.00028870988,0.0015219098,0.00042048143,0.18475495,0.0020739844,1.5532803e-05,0.0001976682,0.0007762186,1.704938e-06,0.003470326,0.0009827852,0.00058910926,0.0012891879,0.0013878952,0.0069994237,0.0021973923,0.010053724,0.0010321246,0.0041700224
sub_topic_3,8.770215e-05,0.00017417602,0.042499267,0.0002259487,0.0004714818,0.000107040476,0.00022067454,0.00017579143,0.0013081558,7.136845e-05,0.0020958197,0.00089649943,0.0010992067,0.00019674409,0.0015852231,0.00017235662,0.0009684376,9.552907e-05,1.0736268e-05,0.003933204,4.786024e-05,0.00050827046,0.01308235,0.00013163211,0.09407801,0.00024061232,0.00025741954,0.00019721262,8.517163e-05,0.00013587743,0.026466526
sub_topic_4,0.000115737,7.088819e-05,0.000622733,2.6351734e-05,2.32235e-05,0.00012859967,1.2876618e-05,2.4614778e-06,6.699415e-06,2.8185284e-05,0.00020860966,0.00011297849,8.352345e-06,3.4278786e-05,4.583324e-05,5.3294338e-05,0.00015866566,3.2105625e-05,9.3301074e-05,0.0001324355,1.3416801e-05,8.877479e-05,0.0014698495,4.7836734e-06,3.4818197e-05,1.5347488e-06,0.0004798491,1.2564428e-05,2.4225723e-05,1.5387905e-05,0.9488171
sub_topic_5,9.344797e-05,1.4746424e-05,0.8905737,3.882719e-05,4.4739104e-06,4.9635088e-05,6.486301e-06,2.669982e-06,2.2888232e-06,2.9466013e-05,1.572371e-05,8.709169e-06,7.9358426e-05,1.8775749e-05,6.808115e-06,1.211167e-05,0.08519919,4.5492893e-06,4.245586e-06,3.7222213e-05,1.0767378e-05,0.00017324551,0.00012681313,0.0,5.1708666e-05,1.1560659e-05,0.00014092632,3.5315604e-06,3.1050316e-05,2.0140225e-05,0.00027751448
sub_topic_6,7.875915e-05,0.0077518877,0.00022115705,0.0001588484,1.8323244e-05,0.00011046524,0.0024159998,3.7137554e-05,6.087779e-06,0.0005770808,2.5786685e-05,3.953672e-06,0.011058446,0.00043877884,0.00021484177,6.7645915e-06,0.0010092956,0.6440518,7.0050286e-05,0.00031875016,0.0013663193,0.0005634703,0.0006927356,0.00016344286,1.1524917e-05,3.6997793e-05,0.00040184872,0.0005379553,0.00017350001,5.1820516e-05,8.642293e-05
sub_topic_7,0.0005860654,0.0004574972,0.0008854938,0.00012467091,7.255747e-05,0.0001413416,0.00026600246,0.8813762,0.0006236046,0.00016279549,0.00038904056,0.00034692886,0.00016942485,0.00097406673,7.675408e-05,8.865056e-05,0.0007901498,3.201305e-05,6.434563e-05,0.00084829156,4.1960607e-06,0.000569388,0.00028020155,0.0036318928,0.0015727192,0.00055287016,0.00067966006,0.0011864278,0.0005792718,0.00010541357,0.00036464256
sub_topic_8,4.442099e-05,6.212389e-05,6.312682e-05,5.5355937e-05,1.4480018e-05,0.00011988945,0.00010755165,2.7569517e-06,4.941117e-06,0.0012663525,1.983828e-05,8.315978e-06,3.3477187e-05,0.00069873413,0.00010723004,4.016891e-05,0.00013620446,2.5950123e-05,5.1677475e-06,5.4385127e-05,2.111564e-05,7.729449e-05,3.410853e-05,3.3361008e-05,1.932413e-05,2.6118184e-06,6.112996e-05,1.518363e-05,0.772244,0.00013503435,1.7733073e-05
sub_topic_9,0.00060500565,0.00012594915,5.9079997e-05,9.72415e-06,4.926608e-06,6.5245836e-06,2.3114853e-05,2.403534e-06,4.554214e-06,8.801978e-05,0.0004714666,0.00013904084,8.156508e-06,7.270963e-05,0.0006316889,1.7618098e-05,0.00013349066,6.0226732e-05,1.3382532e-05,0.0002811108,5.5309947e-06,0.00019396273,0.49577722,3.298023e-06,0.00049054547,4.724035e-08,0.00013917376,2.3068337e-06,3.236091e-05,2.480059e-06,0.004160125
