,file_name,words
1622,"Public_Transcript_of_Hearing_14th_March_2005_(English,_2_Pages).txt","['monday', 'march', 'appeal', 'proceedings', 'open', 'appellant', 'enter', 'commence', 'judge', 'weinberg', 'roca', 'good', 'morning', 'everybody', 'representative', 'read', 'case', 'good', 'morning', 'case', 'number', 'versus', 'miodrag', 'jokic', 'judge', 'weinberg', 'roca', 'thank', 'appearance', 'appellant', 'nikolic', 'good', 'morning', 'good', 'morning', 'learn', 'friend', 'prosecution', 'zarko', 'nikolic', 'right', 'jelena', 'nikolic', 'eugene', 'sullivan', 'represent', 'appellant', 'today', 'judge', 'weinberg', 'roca', 'sorry', 'repeat', 'problem', 'legal', 'officer', 'confer', 'judge', 'weinberg', 'roca', 'thank', 'nikolic', 'appellant', 'inform', 'hear', 'understand', 'proceeding', 'appellant', 'hear', 'understand', 'proceeding', 'judge', 'weinberg', 'roca', 'thank', 'appearance', 'prosecution', 'farrell', 'good', 'morning', 'good', 'morning', 'learn', 'colleague', 'appear', 'prosecution', 'norman', 'farrell', 'marie', 'ursula', 'kind', 'susan', 'grogan', 'thank', 'judge', 'weinberg', 'roca', 'thank', 'announcement', 'colleague', 'judge', 'schomburg', 'indispose', 'reason', 'able', 'proceed', 'hearing', 'today', 'adjourn', 'hearing', 'reschedule', 'inform', 'later', 'date', 'hearing', 'continue', 'thank', 'hearing', 'adjourn', 'reschedule', 'sine', 'die', 'appeal', 'proceedings', 'open', 'monday', 'march', 'case']"
5657,"Public_Transcript_of_Hearing_4th_March_1996_(English,_20_Pages).txt","['international', 'criminal', 'case', 'yugoslavia', 'trial', 'friday', 'march', 'claude', 'presiding', 'judge', 'judge', 'fouad', 'judge', 'odio', 'benito', 'djordje', 'djukic', 'eric', 'ostberg', 'michael', 'keagan', 'appear', 'behalf', 'office', 'milan', 'vujin', 'jelena', 'lopicic', 'appear', 'behalf', 'march', 'noon', 'judge', 'original', 'french', 'hearing', 'open', 'marro', 'case', 'number', 'original', 'french', 'thank', 'sir', 'case', 'number', 'djorde', 'djukic', 'judge', 'original', 'french', 'thank', 'marro', 'begin', 'like', 'care', 'technical', 'issue', 'know', 'everybody', 'hear', 'office', 'general', 'djukic', 'hear', 'hear', 'right', 'meet', 'today', 'initial', 'appearance', 'general', 'djukic', 'accordance', 'articles', 'forward', 'hearing', 'like', 'read', 'articles', 'adopt', 'security', 'council', 'commencement', 'conduct', 'trial', 'proceeding', 'trial', 'chambers', 'ensure', 'trial', 'fair', 'expeditious', 'proceeding', 'conduct', 'accordance', 'procedure', 'respect', 'right', 'accuse', 'regard', 'protection', 'victim', 'read', 'indictment', 'sure', 'right', 'accuse', 'respect', 'confirm', 'understand', 'content', 'indictment', 'order', 'plead', 'guilty', 'set', 'date', 'trial', 'right', 'individual', 'person', 'understand', 'vital', 'reason', 'inform', 'quickly', 'possible', 'language', 'understand', 'nature', 'cause', 'charge', 'adequate', 'time', 'facility', 'preparation', 'communicate', 'counsel', 'choosing', 'try', 'undue', 'delay', 'recall', 'apply', 'case', 'like', 'clear', 'identification', 'representative', 'office', 'counsel', 'floor', 'ostberg', 'eric', 'ostberg', 'appear', 'prosecution', 'michael', 'keegan', 'counsel', 'judge', 'original', 'french', 'thank', 'turn', 'vujin', 'vujin', 'vujin', 'today', 'assist', 'jelena', 'lopicic', 'judge', 'original', 'french', 'thank', 'like', 'lopicic', 'tell', 'would', 'rise', 'identify', 'lopicic', 'hello', 'jelena', 'lopicic', 'judge', 'original', 'french', 'correctly', 'marro', 'want', 'stumble', 'could', 'spell', 'lopicic', 'lopicic', 'judge', 'original', 'french', 'hear', 'microphone', 'thank', 'would', 'repeat', 'understand', 'lopicic', 'jelena', 'lopicic', 'assistant', 'lawyer', 'vujin', 'judge', 'original', 'french', 'microphone', 'ensure', 'transparency', 'identification', 'party', 'present', 'like', 'status', 'right', 'wear', 'ordinary', 'clothing', 'like', 'know', 'position', 'status', 'lawyer', 'could', 'prove', 'could', 'robe', 'today', 'course', 'believe', 'general', 'right', 'respect', 'accordance', 'high', 'standard', 'course', 'verify', 'confirm', 'lawyer', 'lawyer', 'lopicic', 'original', 'serb', 'legal', 'assistant', 'original', 'english', 'practice', 'judge', 'original', 'french', 'practice', 'ask', 'practice', 'lopicic', 'serbia', 'judge', 'original', 'french', 'suggest', 'hope', 'authorise', 'assume', 'general', 'djukic', 'believe', 'like', 'dress', 'proper', 'robe', 'element', 'accreditation', 'quickly', 'registration', 'bar', 'number', 'registration', 'belgrade', 'bar', 'think', 'come', 'dressed', 'robe', 'agree', 'thank', 'sit', 'like', 'ask', 'ask', 'vujin', 'order', 'ensure', 'respect', 'right', 'accuse', 'facilitate', 'task', 'sure', 'lawyer', 'lawyer', 'vujin', 'choose', 'general', 'djukic', 'can', 'confirm', 'vujin', 'lawyer', 'choose', 'general', 'vujin', 'original', 'serb', 'yes', 'lawyer', 'general', 'djukic', 'choose', 'toma', 'fila', 'counsel', 'fila', 'join', 'later', 'thank', 'course', 'miss', 'lopicic', 'appear', 'time', 'time', 'legal', 'assistant', 'judge', 'original', 'french', 'vujin', 'like', 'ensure', 'proper', 'relationship', 'like', 'lawyer', 'principal', 'interlocutor', 'correspondence', 'kind', 'communication', 'represent', 'bar', 'vujin', 'accept', 'like', 'leader', 'general', 'vujin', 'original', 'serb', 'yes', 'agree', 'colleague', 'fila', 'decide', 'lawyer', 'communication', 'address', 'thank', 'judge', 'original', 'french', 'thank', 'sir', 'remain', 'stand', 'number', 'like', 'ask', 'come', 'proceeding', 'initial', 'appearance', 'like', 'sure', 'accuse', 'receive', 'copy', 'indictment', 'accuse', 'receive', 'copy', 'indictment', 'friday', 'tell', 'language', 'can', 'confirm', 'vujin', 'original', 'serb', 'confirm', 'general', 'djukic', 'accuse', 'receive', 'copy', 'indictment', 'supplementary', 'document', 'english', 'serb', 'language', 'confirm', 'behalf', 'judge', 'original', 'french', 'can', 'confirm', 'able', 'speak', 'indictment', 'accuse', 'accuse', 'understand', 'content', 'indictment', 'ask', 'later', 'specific', 'term', 'protection', 'accuse', 'like', 'sure', 'ask', 'able', 'speak', 'indictment', 'vujin', 'original', 'serb', 'yes', 'time', 'discuss', 'count', 'indictment', 'behalf', 'discuss', 'general', 'djukic', 'understand', 'fully', 'count', 'indictment', 'completely', 'ready', 'today', 'hear', 'judge', 'original', 'french', 'thank', 'vujin', 'circumstance', 'sit', 'vujin', 'original', 'serb', 'allow', 'like', 'add', 'think', 'indictment', 'issue', 'procedure', 'provision', 'indictment', 'issue', 'right', 'way', 'formal', 'request', 'address', 'superior', 'sarajevo', 'deferral', 'investigation', 'know', 'superior', 'sarajevo', 'conduct', 'criminal', 'proceeding', 'accord', 'articles', 'decide', 'case', 'general', 'djukic', 'competence', 'sort', 'judicial', 'legal', 'nonsense', 'way', 'general', 'djukic', 'investigate', 'think', 'contrary', 'procedure', 'contrary', 'contrary', 'international', 'respect', 'prepare', 'couple', 'motion', 'file', 'registry', 'seven', 'copy', 'judge', 'original', 'french', 'point', 'sir', 'sit', 'note', 'sit', 'remind', 'friday', 'status', 'general', 'change', 'suspect', 'accuse', 'note', 'thing', 'clear', 'like', 'ask', 'marro', 'read', 'indictment', 'ensure', 'public', 'public', 'general', 'djukic', 'original', 'french', 'case', 'number', 'prosecution', 'djorde', 'djukic', 'international', 'criminal', 'yugoslavia', 'pursuant', 'authority', 'international', 'criminal', 'yugoslavia', 'charge', 'djorde', 'djukic', 'crime', 'humanity', 'violation', 'custom', 'war', 'set', 'forth', 'accuse', 'djorde', 'djukic', 'bear', 'march', 'village', 'petrovo', 'vrelo', 'glamoc', 'municipality', 'bosnia', 'herzegovina', 'personal', 'identification', 'number', 'possess', 'identification', 'card', 'republika', 'srpska', 'number', 'permanently', 'reside', 'belgrade', 'bulevar', 'lenjina', 'belgrade', 'yugoslav', 'people', 'army', 'hold', 'post', 'chief', 'technical', 'department', 'federal', 'secretariat', 'national', 'currently', 'hold', 'rank', 'lieutenant', 'general', 'bosnian', 'serb', 'army', 'yugoslav', 'army', 'serve', 'bosnian', 'serb', 'army', 'assistant', 'commander', 'logistics', 'ratko', 'mladic', 'commander', 'bosnian', 'serb', 'armed', 'force', 'djorde', 'djukic', 'member', 'bosnian', 'serb', 'army', 'may', 'present', 'responsible', 'planning', 'preparation', 'execution', 'bosnian', 'serb', 'military', 'operation', 'bosnia', 'herzegovina', 'capacity', 'assistant', 'commander', 'logistics', 'commander', 'bosnian', 'insert', 'ensure', 'pagination', 'correspond', 'french', 'english', 'transcript', 'pages', 'serb', 'armed', 'force', 'member', 'bosnian', 'serb', 'army', 'djorde', 'djukic', 'duty', 'include', 'limit', 'regulate', 'requirement', 'unit', 'issue', 'regard', 'logistic', 'supply', 'bosnian', 'serb', 'army', 'propose', 'appointment', 'personnel', 'issue', 'order', 'relate', 'supply', 'material', 'unit', 'bosnian', 'serb', 'army', 'regulate', 'transfer', 'material', 'logistic', 'basis', 'decision', 'removal', 'material', 'technical', 'equipment', 'bosnian', 'serb', 'army', 'stock', 'use', 'said', 'equipment', 'general', 'allegation', 'time', 'relevant', 'indictment', 'state', 'armed', 'conflict', 'partial', 'occupation', 'exist', 'bosnia', 'herzegovina', 'territory', 'yugoslavia', 'charge', 'crime', 'humanity', 'crime', 'recognise', 'allege', 'act', 'omission', 'widespread', 'systematic', 'large', 'scale', 'attack', 'direct', 'civilian', 'population', 'charge', 'count', 'crime', 'humanity', 'violation', 'custom', 'war', 'djorde', 'djukic', 'concert', 'plan', 'prepare', 'aid', 'abet', 'planning', 'preparation', 'act', 'operation', 'bosnian', 'serb', 'army', 'agent', 'act', 'operation', 'include', 'follow', 'crime', 'shell', 'civilian', 'target', 'may', 'december', 'sarajevo', 'bosnian', 'serb', 'military', 'force', 'widespread', 'systematic', 'basis', 'deliberately', 'indiscriminately', 'civilian', 'target', 'military', 'significance', 'order', 'kill', 'injure', 'terrorise', 'demoralise', 'civilian', 'population', 'sarajevo', 'act', 'omission', 'relation', 'shelling', 'civilian', 'target', 'sarajevo', 'djorde', 'djukic', 'commit', 'count', 'crime', 'humanity', 'punishable', 'inhumane', 'act', 'count', 'violation', 'custom', 'war', 'punishable', 'sign', 'richard', 'goldstone', 'february', 'judge', 'original', 'french', 'thank', 'marro', 'general', 'djukic', 'rise', 'indicate', 'element', 'identify', 'ask', 'count', 'would', 'tell', 'element', 'identification', 'general', 'djukic', 'original', 'serb', 'djorde', 'djukic', 'like', 'correct', 'rank', 'colonel', 'general', 'father', 'judge', 'original', 'french', 'excuse', 'sorry', 'like', 'begin', 'receive', 'beginning', 'general', 'djukic', 'original', 'serb', 'djorde', 'djukic', 'rank', 'army', 'general', 'lieutenant', 'assistant', 'commandant', 'general', 'army', 'republika', 'srpska', 'commander', 'armed', 'force', 'state', 'indictment', 'need', 'information', 'father', 'stavo', 'mother', 'boja', 'bear', 'march', 'village', 'petrovo', 'vrelo', 'municipality', 'glamoc', 'republic', 'bosnia', 'herzegovina', 'judge', 'original', 'french', 'thank', 'general', 'remain', 'stand', 'read', 'hear', 'language', 'understand', 'today', 'plead', 'guilty', 'innocent', 'entire', 'indictment', 'read', 'count', 'like', 'answer', 'prepared', 'plead', 'guilty', 'guilty', 'indictment', 'charge', 'understand', 'like', 'answer', 'general', 'djukic', 'original', 'serb', 'yes', 'thank', 'hear', 'ready', 'answer', 'clearly', 'understand', 'indictment', 'plead', 'guilty', 'today', 'like', 'emphasise', 'read', 'indictment', 'conclude', 'follow', 'fact', 'appear', 'mean', 'member', 'army', 'republika', 'srpska', 'appear', 'need', 'citizen', 'republika', 'srpska', 'end', 'far', 'civilian', 'happen', 'war', 'territory', 'republika', 'srpska', 'leave', 'solve', 'issue', 'solve', 'dilemma', 'leave', 'international', 'democratic', 'public', 'opinion', 'furthermore', 'like', 'add', 'capture', 'kidnap', 'civilian', 'wear', 'civilian', 'clothe', 'road', 'international', 'control', 'allow', 'emphasise', 'follow', 'hearing', 'discuss', 'lawfulness', 'transfer', 'handing', 'document', 'adopt', 'position', 'registry', 'general', 'djukic', 'possession', 'document', 'hand', 'behalf', 'registry', 'january', 'stamp', 'document', 'date', 'february', 'like', 'leave', 'like', 'convince', 'eventually', 'defend', 'justice', 'institution', 'status', 'know', 'know', 'try', 'international', 'hague', 'superior', 'sarajevo', 'explain', 'ready', 'operate', 'ready', 'answer', 'thank', 'judge', 'original', 'french', 'thank', 'general', 'statement', 'transcribe', 'far', 'discussion', 'today', 'substance', 'initial', 'appearance', 'accuse', 'record', 'sure', 'lawyer', 'base', 'time', 'right', 'assume', 'plead', 'guilty', 'count', 'crime', 'humanity', 'violation', 'custom', 'war', 'like', 'turn', 'comment', 'like', 'ask', 'far', 'happen', 'far', 'particular', 'like', 'ask', 'ostberg', 'judge', 'original', 'french', 'hearing', 'organise', 'work', 'party', 'able', 'claim', 'accuse', 'accordance', 'set', 'international', 'like', 'ask', 'preliminary', 'like', 'discuss', 'motion', 'like', 'remind', 'proper', 'understanding', 'proceeding', 'proceeding', 'important', 'legal', 'country', 'certain', 'number', 'preliminary', 'motion', 'raise', 'fact', 'ask', 'substance', 'trial', 'begin', 'provide', 'read', 'familiar', 'preside', 'judge', 'judges', 'sure', 'order', 'organise', 'work', 'preliminary', 'preliminary', 'like', 'raise', 'ostberg', 'file', 'motion', 'time', 'come', 'think', 'initiative', 'proceed', 'time', 'need', 'date', 'trial', 'set', 'judge', 'original', 'french', 'vujin', 'vujin', 'original', 'serb', 'preliminary', 'motion', 'accordance', 'procedure', 'accordance', 'point', 'moment', 'receive', 'behalf', 'prosecution', 'assess', 'quality', 'moment', 'course', 'use', 'right', 'file', 'preliminary', 'motion', 'judge', 'original', 'french', 'thank', 'vujin', 'like', 'recall', 'preliminary', 'motion', 'day', 'point', 'appearance', 'order', 'file', 'different', 'accusation', 'communicate', 'prosecution', 'order', 'work', 'clearly', 'organise', 'pre', 'trial', 'conference', 'set', 'quickly', 'think', 'accuse', 'recall', 'term', 'ensure', 'equitable', 'trial', 'want', 'sure', 'start', 'march', 'pre', 'trial', 'conference', 'believe', 'actually', 'sure', 'good', 'thing', 'colleague', 'set', 'friday', 'march', 'conference', 'close', 'allow', 'establish', 'vujin', 'vujin', 'original', 'serb', 'think', 'good', 'day', 'commitment', 'belgrade', 'would', 'possible', 'status', 'conference', 'monday', 'think', 'march', 'noon', 'judge', 'original', 'french', 'monday', 'tuesday', 'let', 'turn', 'vujin', 'original', 'serb', 'talk', 'march', 'suggest', 'march', 'suggest', 'march', 'monday', 'judge', 'original', 'french', 'wednesday', 'thursday', 'week', 'good', 'vujin', 'original', 'serb', 'tuesday', 'wednesday', 'tuesday', 'march', 'good', 'date', 'judge', 'original', 'french', 'would', 'thursday', 'right', 'vujin', 'vujin', 'original', 'serb', 'yes', 'judge', 'original', 'french', 'thursday', 'right', 'ostberg', 'yes', 'judge', 'original', 'french', 'scheduling', 'turn', 'marro', 'problem', 'would', 'prefer', 'morning', 'afternoon', 'morning', 'afternoon', 'vujin', 'original', 'serb', 'morning', 'afternoon', 'judge', 'original', 'french', 'right', 'thursday', 'march', 'meet', 'close', 'status', 'conference', 'file', 'preliminary', 'motion', 'plan', 'able', 'procedural', 'discussion', 'additional', 'hearing', 'set', 'date', 'trial', 'desire', 'start', 'quickly', 'possible', 'hurry', 'thing', 'think', 'early', 'today', 'marro', 'ask', 'set', 'date', 'trial', 'course', 'trial', 'date', 'depend', 'content', 'preliminary', 'motion', 'decide', 'agree', 'marro', 'condition', 'suggest', 'suspend', 'today', 'meet', 'march', 'thursday', 'adjourn', 'adjourn', 'initial', 'appearance', 'open', 'monday', 'march', 'case', 'initial', 'appearance', 'open']"
10534,"Public_Transcript_of_Pre-trial_Conference_08_November_1994_(English,_13_Pages).txt","['case', 'november', 'international', 'criminal', 'former', 'yugoslavia', 'application', 'formal', 'request', 'deferral', 'competence', 'international', 'matter', 'dusko', 'tadic', 'know', 'dusan', 'dule', 'tadic', 'decision', 'trial', 'judge', 'adolphus', 'preside', 'judge', 'judge', 'elisabeth', 'odio', 'benito', 'judge', 'claude', 'aides', 'justice', 'richard', 'goldstone', 'graham', 'blewitt', 'grant', 'representative', 'german', 'government', 'federal', 'republic', 'germany', 'peter', 'wilkitzki', 'griesbaum', 'otto', 'roever', 'representative', 'dusko', 'tadic', 'sklebitz', 'trial', 'resume', 'sitting', 'close', 'trial', 'rise', 'decision', 'closed', 'november', 'case', 'decision', 'closed']"
5775,"Public_Transcript_of_Hearing_5th_December_2003_(English,_5_Pages).txt","['friday', 'december', 'hearing', 'initial', 'appearance', 'accuse', 'enter', 'commence', 'judge', 'like', 'ask', 'madam', 'case', 'good', 'afternoon', 'case', 'number', 'versus', 'dusko', 'jovanovic', 'judge', 'ask', 'prosecution', 'introduce', 'romano', 'cristina', 'romano', 'prosecution', 'milbert', 'shin', 'case', 'manager', 'susan', 'grogan', 'judge', 'thank', 'like', 'ask', 'attorney', 'accuse', 'introduce', 'simic', 'sinisa', 'simic', 'attorney', 'belgrade', 'counsel', 'accuse', 'dusko', 'jovanovic', 'editor', 'chief', 'montenegrin', 'newspaper', 'dan', 'judge', 'thank', 'ask', 'accuse', 'stand', 'could', 'second', 'sorry', 'accused', 'dusko', 'jovanovic', 'judge', 'bear', 'accused', 'february', 'podgorica', 'judge', 'job', 'accused', 'degree', 'editor', 'chief', 'weekly', 'dan', 'judge', 'live', 'accused', 'podgorica', 'montenegro', 'judge', 'thank', 'indictment', 'serve', 'able', 'read', 'indictment', 'native', 'language', 'accused', 'yes', 'receive', 'indictment', 'read', 'judge', 'understand', 'content', 'thereof', 'accused', 'understand', 'content', 'judge', 'would', 'like', 'indictment', 'read', 'feel', 'know', 'indictment', 'contain', 'accused', 'need', 'read', 'understand', 'fully', 'judge', 'thank', 'pursuant', 'procedure', 'obligation', 'check', 'attorney', 'defend', 'case', 'regard', 'indictment', 'tell', 'read', 'let', 'know', 'day', 'initial', 'appearance', 'today', 'ask', 'want', 'plead', 'guilty', 'guilty', 'wish', 'plead', 'guilty', 'guilty', 'today', 'count', 'charge', 'could', 'let', 'know', 'position', 'would', 'like', 'settle', 'day', 'delay', 'like', 'enter', 'plea', 'today', 'state', 'enter', 'plea', 'guilty', 'guilty', 'accused', 'think', 'enter', 'plea', 'today', 'feel', 'guilty', 'guilty', 'judge', 'decide', 'accused', 'think', 'simple', 'answer', 'guilty', 'guilty', 'think', 'case', 'objective', 'responsibility', 'position', 'director', 'editor', 'chief', 'dan', 'guilt', 'intention', 'contempt', 'hurt', 'protect', 'order', 'explain', 'reason', 'little', 'time', 'need', 'consult', 'counsel', 'judge', 'fine', 'draw', 'follow', 'conclusion', 'plead', 'guilty', 'guilty', 'today', 'talk', 'plea', 'guilty', 'consequently', 'pursuant', 'procedure', 'pursuant', 'day', 'stipulate', 'position', 'undoubtedly', 'know', 'case', 'come', 'jurisdiction', 'iii', 'notify', 'day', 'registry', 'date', 'set', 'start', 'proceeding', 'pursuant', 'today', 'december', 'day', 'january', 'resume', 'january', 'date', 'set', 'proceeding', 'january', 'prosecution', 'stage', 'hearing', 'argument', 'submit', 'romano', 'judge', 'fine', 'floor', 'attorney', 'accuse', 'sir', 'comment', 'simic', 'like', 'behalf', 'client', 'dusko', 'jovanovic', 'apologise', 'appear', 'yesterday', 'objective', 'circumstance', 'receive', 'visa', 'kingdom', 'netherlands', 'time', 'appear', 'yesterday', 'owe', 'apology', 'like', 'pursuant', 'receive', 'material', 'relate', 'indictment', 'present', 'today', 'support', 'material', 'word', 'thank', 'judge', 'fine', 'turn', 'prosecution', 'pursuant', 'procedure', 'prosecution', 'obligation', 'send', 'day', 'date', 'initial', 'appearance', 'copy', 'support', 'material', 'document', 'can', 'confirm', 'time', 'frame', 'romano', 'support', 'material', 'available', 'immediately', 'accuse', 'believe', 'right', 'hearing', 'ready', 'deliver', 'judge', 'inform', 'fact', 'document', 'hand', 'like', 'thank', 'party', 'present', 'today', 'declare', 'initial', 'appearance', 'hearing', 'adjourn', 'registry', 'let', 'know', 'hearing', 'date', 'hear', 'initial', 'appearance', 'adjourn', 'hearing', 'initial', 'appearance', 'open', 'friday', 'december', 'case']"
584,"Public_Transcript_of_Hearing_08_December_2011_(English,_7_Pages).txt","['thursday', 'december', 'initial', 'appearance', 'open', 'accuse', 'enter', 'commence', 'judge', 'good', 'afternoon', 'madam', 'case', 'good', 'afternoon', 'versus', 'ratko', 'mladic', 'judge', 'thank', 'madam', 'mladic', 'kind', 'cap', 'hat', 'easy', 'listen', 'accused', 'microphone', 'activate', 'microphone', 'judge', 'lukic', 'ask', 'mladic', 'remain', 'silent', 'second', 'lukic', 'mladic', 'talk', 'confidential', 'communication', 'counsel', 'client', 'whisper', 'speak', 'aloud', 'want', 'address', 'course', 'need', 'microphone', 'switch', 'hear', 'address', 'ask', 'mladic', 'hat', 'counsel', 'accuse', 'confer', 'judge', 'lukic', 'lukic', 'yes', 'judge', 'mladic', 'willing', 'hat', 'counsel', 'accuse', 'confer', 'judge', 'lukic', 'lukic', 'tell', 'mladic', 'patience', 'limited', 'invite', 'hat', 'thank', 'seat', 'mladic', 'accused', 'microphone', 'activate', 'judge', 'mladic', 'want', 'speak', 'counsel', 'way', 'hear', 'consider', 'confidential', 'seat', 'start', 'appearance', 'appearance', 'prosecution', 'good', 'afternoon', 'prosecution', 'dermot', 'peter', 'roeland', 'janet', 'judge', 'thank', 'lukic', 'lukic', 'branko', 'lukic', 'milos', 'saljic', 'judge', 'thank', 'lukic', 'mladic', 'accuse', 'present', 'mladic', 'seek', 'communicate', 'body', 'language', 'gesture', 'public', 'gallery', 'public', 'gallery', 'public', 'proceeding', 'allow', 'mladic', 'communicate', 'uncontrolled', 'way', 'speak', 'public', 'gallery', 'mladic', 'refrain', 'eye', 'contact', 'gesture', 'cetera', 'public', 'gallery', 'screen', 'public', 'gallery', 'camera', 'able', 'anymore', 'communicate', 'way', 'minute', 'ago', 'use', 'public', 'gallery', 'purpose', 'clear', 'today', 'status', 'conference', 'schedule', 'status', 'conference', 'hold', 'appearance', 'accuse', 'enter', 'plea', 'new', 'charge', 'contain', 'operative', 'third', 'amended', 'indictment', 'initial', 'appearance', 'originally', 'schedule', 'status', 'conference', 'november', 'mladic', 'absence', 'appearance', 'postpone', 'consider', 'reschedule', 'future', 'appearance', 'november', 'year', 'inquire', 'united', 'nations', 'detention', 'unit', 'mladic', 'health', 'improve', 'attend', 'proceeding', 'november', 'receive', 'courtesy', 'copy', 'undu', 'report', 'medical', 'officer', 'report', 'indicate', 'mladic', 'current', 'health', 'condition', 'improve', 'point', 'able', 'attend', 'proceeding', 'report', 'formally', 'file', 'november', 'inform', 'scheduling', 'conflict', 'party', 'ultimately', 'determine', 'forward', 'november', 'date', 'subsequently', 'appearance', 'reschedule', 'today', 'status', 'conference', 'october', 'prosecution', 'file', 'third', 'amended', 'indictment', 'add', 'new', 'incident', 'bisina', 'incident', 'technical', 'correction', 'location', 'person', 'list', 'indictment', 'schedule', 'technical', 'correction', 'consist', 'mainly', 'add', 'diacritic', 'previously', 'omit', 'letter', 'certain', 'municipality', 'person', 'review', 'correction', 'accept', 'substantive', 'change', 'indictment', 'plea', 'new', 'charge', 'third', 'amended', 'indictment', 'october', 'issue', 'decision', 'consolidated', 'prosecution', 'motion', 'sever', 'indictment', 'conduct', 'separate', 'trial', 'amend', 'indictment', 'decision', 'amend', 'second', 'amended', 'indictment', 'include', 'bisina', 'incident', 'result', 'new', 'charge', 'order', 'appearance', 'hold', 'follow', 'filing', 'third', 'amended', 'indictment', 'enable', 'accuse', 'enter', 'plea', 'new', 'charge', 'state', 'third', 'amended', 'indictment', 'file', 'october', 'schedule', 'third', 'amended', 'indictment', 'title', 'srebrenica', 'killings', 'organise', 'killings', 'include', 'follow', 'incident', 'list', 'incident', 'quote', 'location', 'bisina', 'killing', 'thirty', 'bosnian', 'muslim', 'man', 'previously', 'detain', 'susica', 'prison', 'bisina', 'sekovici', 'municipality', 'date', 'july', 'bisina', 'incident', 'constitute', 'new', 'basis', 'conviction', 'accuse', 'third', 'amended', 'indictment', 'counts', 'deal', 'genocide', 'count', 'deal', 'persecution', 'crime', 'humanity', 'count', 'deal', 'extermination', 'crime', 'humanity', 'count', 'deal', 'murder', 'crime', 'humanity', 'count', 'deal', 'murder', 'war', 'crime', 'mladic', 'guilty', 'plea', 'enter', 'behalf', 'count', 'appearance', 'july', 'wish', 'guilty', 'plea', 'extend', 'new', 'bisina', 'charge', 'apply', 'count', 'wish', 'enter', 'plea', 'count', 'relation', 'bisina', 'charge', 'want', 'extend', 'guilty', 'plea', 'bisina', 'charge', 'want', 'enter', 'specific', 'plea', 'counts', 'relation', 'bisina', 'charge', 'prefer', 'counsel', 'accuse', 'confer', 'lukic', 'judge', 'lukic', 'lukic', 'offer', 'help', 'mladic', 'inform', 'enter', 'guilty', 'plea', 'bisina', 'charge', 'want', 'transcript', 'serb', 'try', 'explain', 'possible', 'follow', 'pretty', 'hard', 'audio', 'think', 'slow', 'talk', 'fast', 'hard', 'follow', 'verbally', 'judge', 'moment', 'mladic', 'like', 'slow', 'glad', 'simple', 'term', 'mladic', 'expect', 'enter', 'plea', 'bisina', 'incident', 'counts', 'enter', 'guilty', 'plea', 'count', 'guilty', 'plea', 'enter', 'behalf', 'count', 'want', 'extend', 'plea', 'guilty', 'bisina', 'charge', 'wish', 'tell', 'counsel', 'accuse', 'confer', 'accused', 'sir', 'slowly', 'clear', 'bisina', 'mean', 'term', 'mountain', 'river', 'brook', 'kind', 'bridge', 'movable', 'feature', 'bus', 'truck', 'plane', 'helicopter', 'bisina', 'mention', 'sekovici', 'know', 'sekovici', 'know', 'bisina', 'kind', 'place', 'village', 'judge', 'location', 'sekovici', 'municipality', 'charge', 'bring', 'bosnian', 'muslim', 'man', 'kill', 'man', 'previously', 'detain', 'susica', 'prison', 'charge', 'happen', 'july', 'counsel', 'accuse', 'confer', 'accused', 'thank', 'explanation', 'guilty', 'whatsoever', 'date', 'place', 'bisina', 'judge', 'record', 'guilty', 'plea', 'counts', 'extend', 'incident', 'schedule', 'third', 'amended', 'indictment', 'refer', 'killing', 'bosnian', 'muslim', 'man', 'bisina', 'guilty', 'plea', 'record', 'accordance', 'procedure', 'day', 'entering', 'plea', 'today', 'file', 'preliminary', 'motion', 'relate', 'new', 'charge', 'lukic', 'indicate', 'intend', 'file', 'motion', 'lukic', 'team', 'client', 'envisage', 'filing', 'separate', 'motion', 'incident', 'judge', 'thank', 'lukic', 'probably', 'inform', 'day', 'judge', 'yes', 'await', 'news', 'intention', 'respect', 'minute', 'allow', 'audio', 'visual', 'time', 'finish', 'preparation', 'status', 'conference', 'broadcast', 'break', 'resume', 'minute', 'further', 'initial', 'appearance', 'adjourn', 'initial', 'appearance', 'open', 'thursday', 'december', 'case']"
