,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34
sub_topic_0,0.0045594033,0.00065025955,0.0023551653,0.0012174845,9.568963e-05,0.75095457,0.00016195864,2.9895762e-06,3.44276e-06,0.0022348163,0.0048622666,0.00013103153,0.00039427812,0.0016449036,0.00029782404,0.00038734268,0.0009111733,0.00065564935,7.969051e-05,3.4604986e-05,0.00048227867,0.0008986067,0.0057097683,0.0,3.818232e-05,6.1467726e-06,0.00025641636,0.0003106063,0.0026104392,0.0046813446,0.00016595425,4.046549e-05,0.00020882416,0.002445562,0.001359579
sub_topic_1,0.00010069712,0.00036535985,0.0001283603,0.00024191129,0.0001491386,2.3532746e-05,6.0670634e-05,0.00024926258,0.00010213766,0.00028937118,0.042239014,0.00021649076,3.0879793e-05,0.00036322005,0.0025275885,0.0010926615,9.61301e-05,1.31876495e-05,7.2912924e-05,3.3014192e-05,1.6357933e-05,0.0007061318,0.00010612424,7.339615e-05,0.006769279,9.958055e-05,0.0006507904,8.839793e-05,0.00042993051,0.00013495499,0.0015637198,0.663897,9.240759e-05,0.00038095136,0.00044068173
sub_topic_2,0.0022006265,0.0018137892,0.0023406467,0.0007625369,0.0012238399,0.00053434906,0.0027991103,0.007414116,0.13190389,0.00056912715,0.012098357,0.0024591084,0.007333992,0.0017193132,0.0007469349,0.003397153,0.0005528382,6.85888e-05,0.00023724312,0.0005094457,5.4746404e-05,0.002006465,0.0005748677,0.002918787,0.003453939,0.0012206413,0.0016326187,0.0034183704,0.001604723,0.000403623,0.004751863,0.0010103276,0.09272903,0.00010047953,0.0013609552
sub_topic_3,0.00013106992,0.00021757168,0.0005376444,0.00015448492,0.00011332742,0.0022698585,7.773116e-05,6.000159e-06,5.1657913e-05,5.9216592e-05,0.00071109214,0.00017851508,0.000118869604,0.00014151871,0.00034059875,4.177251e-05,0.00038348942,0.00035534598,0.0001434903,0.00024236886,0.0001418456,0.0009979054,0.15862559,3.3591008e-05,0.00018381348,1.1930267e-05,0.0014963404,3.1063253e-05,6.625913e-05,4.4123426e-05,0.0136919655,0.0007837787,2.5511865e-06,0.45916155,0.00025554042
sub_topic_4,0.00038219927,4.6403744e-05,0.00093654834,2.8797427e-05,1.4146408e-05,3.44276e-05,2.3907303e-05,1.2916276e-05,8.511151e-06,2.8513317e-05,0.0011874513,8.5176085e-05,0.0001722109,5.827935e-05,2.3205786e-05,0.00015352524,0.00016511935,4.223692e-06,4.5745426e-05,3.2741907e-05,6.6108296e-06,7.111497e-05,0.00015379487,1.2825351e-06,1.01704345e-05,2.1866017e-05,0.001027872,2.5988847e-05,0.00012450274,2.1945732e-05,9.352361e-05,1.2563877e-05,0.8696386,0.49791017,0.00012002834
sub_topic_5,0.00017522612,1.8459648e-05,0.9713516,5.8301855e-05,1.1698132e-05,0.00014340496,8.3767745e-06,3.7190384e-06,3.019776e-06,3.9547464e-05,0.0010995483,6.632129e-05,5.3451364e-05,4.6261324e-05,2.098945e-05,6.694239e-05,0.0071083205,1.8085138e-06,1.5053371e-05,1.1093569e-05,4.250053e-06,6.2256375e-05,3.92602e-05,0.0,2.1464512e-05,1.10844085e-05,0.00022545282,6.4694445e-06,0.000101242265,6.391873e-05,0.0005397866,1.4515513e-05,0.00046668228,0.0015870811,0.00025722306
sub_topic_6,0.00010016367,0.011536809,0.00014545833,0.00030874807,3.245238e-05,0.005981872,0.0035497113,4.501847e-05,7.270869e-06,0.0007576988,6.52978e-05,6.450892e-07,0.15758705,0.000623022,0.00045585269,9.173636e-06,0.00076412194,0.57424736,4.918809e-05,0.00016849229,0.0015571379,0.0015384726,0.0034287209,0.000153163,3.1292504e-05,1.2661036e-05,0.0005201286,0.00077114545,0.0001664226,8.3681065e-05,4.5265275e-05,3.1129082e-05,0.00010428948,0.00041478212,4.7277725e-05
sub_topic_7,0.000259535,0.00037531237,0.00046640483,8.879347e-05,3.1824115e-05,2.5088635e-05,0.00013051389,0.81853133,0.0003032195,0.00014834148,0.00084937504,0.00013483017,0.0005679772,0.00075816846,8.703229e-05,8.142981e-05,0.0002243069,3.0001886e-05,9.2136936e-05,0.00031443202,3.4220068e-06,0.0004980938,0.00052757864,0.0047188443,0.0010754231,0.0003142622,0.0002844962,0.00086425606,0.0004685333,8.558987e-05,0.0011605631,0.0004088439,0.0092751505,5.7831592e-05,0.00025637218
sub_topic_8,0.0001874113,8.988933e-05,0.00038971304,0.0001598202,2.9960449e-05,0.00037634463,0.0003376083,5.655248e-06,6.216488e-06,0.0014957084,0.0014906836,1.9521203e-05,0.00015874267,0.0014487944,0.00014094099,0.00050782325,9.2456474e-05,2.9955701e-05,1.5910116e-05,8.477446e-06,1.4712004e-05,0.00017243443,3.713828e-05,1.6640213e-05,5.5060213e-05,8.572262e-06,0.00018121091,2.6405984e-05,0.97248167,0.0008062275,1.4986905e-05,5.9830414e-05,0.00015721278,0.00033126105,0.0018858862
sub_topic_9,0.00045998194,0.00013991624,4.9962295e-05,1.9600158e-05,4.3236373e-06,0.00052845996,9.428602e-06,2.183281e-06,8.080782e-07,0.000106949934,0.7883804,4.8658905e-05,9.921736e-06,7.859527e-05,0.0002811459,2.4741239e-05,6.364881e-05,2.862152e-05,7.5778985e-06,3.5192709e-06,3.5816336e-06,0.00024619917,0.7788163,0.0,0.00033851503,9.5092804e-07,0.00013664174,4.246803e-06,5.590063e-05,1.5245996e-05,0.0002917866,9.731674e-05,3.3686334e-05,0.0053749746,3.5796387e-05
sub_topic_10,0.00010541508,3.555488e-05,2.6725344e-05,4.7040463e-05,1.7900818e-05,5.6712306e-05,4.966858e-05,3.8898047e-06,5.631766e-06,0.0009177461,0.00025640486,5.0849962e-06,0.00011440032,0.9701375,6.314593e-05,0.0006669331,4.8228438e-05,1.8669829e-05,4.953179e-06,4.990046e-06,8.613302e-06,6.661463e-05,0.00019409215,1.6893019e-06,0.00029689202,8.146057e-06,3.0502248e-05,2.657501e-05,0.0007086784,5.907419e-05,9.7196e-06,2.8687966e-05,1.358753e-05,4.076131e-05,4.4966087e-05
sub_topic_11,0.002062529,8.6896456e-05,0.00092425937,0.0021720657,7.1560855e-05,0.00042232493,0.00014279714,1.9489691e-05,5.447516e-06,0.0018528812,0.000919549,6.109697e-05,0.00019688654,0.00056446897,8.390837e-05,0.00013655426,0.0015339869,3.2395088e-05,0.006787426,0.0007519228,0.00018840394,0.00015497349,0.00027328747,6.2826234e-06,0.00010553346,7.017036e-05,5.1615873e-05,6.992879e-05,0.000891199,0.52751154,4.516629e-05,0.000394498,7.2629606e-05,0.00018901975,0.0005479671
sub_topic_12,0.000131933,0.00012260581,0.00046928212,0.00035913975,5.2121348e-05,0.008480161,4.9898417e-06,1.5988148e-06,3.67345e-05,3.864075e-06,7.982085e-05,0.00084781274,8.032143e-06,1.3394343e-05,3.6187032e-06,3.1921859e-06,0.00021805736,2.7596761e-06,0.98157823,0.00019317283,5.9261944e-05,0.00018118478,1.8380693e-05,0.0,1.7245251e-06,7.360662e-05,0.00024358259,1.0257787e-05,1.243595e-05,0.00019647148,1.2406828e-06,4.7553403e-05,6.19413e-06,0.001784164,9.501099e-05
sub_topic_13,3.5029186e-06,4.8686234e-05,5.5803653e-06,0.00016734264,1.2884368e-06,0.00055127963,4.0652987e-05,9.003621e-05,1.2042976e-05,8.964325e-06,4.8674e-05,1.0329329e-07,4.1636435e-05,1.887603e-05,1.2413673e-05,6.6949144e-07,4.912277e-05,4.060017e-05,1.7383784e-06,3.783213e-05,5.0317587e-05,8.01148e-05,2.8883782e-05,0.9833792,7.1337e-06,1.3969629e-05,2.0016641e-05,1.0568349e-05,3.117602e-05,3.085742e-06,1.5670967e-05,3.3962784e-05,1.1396624e-05,8.293415e-06,0.00015507244
sub_topic_14,0.00013417547,0.0006198563,0.00019018004,0.00012854228,0.00010164783,0.007782193,0.00040925923,0.00010812483,0.00021458894,4.277045e-05,0.00026825172,5.7216104e-05,0.0033680745,0.00036501573,0.00020783248,5.3722113e-05,0.00023944903,0.0013827453,8.087588e-05,0.00057325244,0.00016782388,0.00025782964,0.00027759903,5.8723803e-05,0.00013302776,0.00057396386,0.000105829815,0.9748514,5.5351335e-05,0.00028317998,0.00011883595,8.601053e-05,0.00046675306,8.2659804e-05,6.472332e-05
sub_topic_15,0.0010795412,0.002505282,0.00073206535,0.0017652413,0.0006187493,0.0015038833,0.0014009497,4.4404467e-07,1.0751178e-05,0.00222061,3.4740293e-05,2.2651204e-06,0.002442853,0.00054906786,0.00022308154,3.0835313e-06,0.011456558,0.0048012524,0.0010280688,0.0031700444,0.92733413,0.00048011713,0.008015452,1.0509776e-05,7.033382e-05,0.00036766494,0.0002927753,7.3257914e-05,0.00037998092,0.005094414,2.4454812e-05,5.1428437e-05,0.00011550554,0.00048276447,0.00013757282
sub_topic_16,1.6400338e-05,3.008312e-05,0.0012072468,1.2762182e-05,3.4972793e-06,2.9815445e-05,1.3270146e-05,1.5190548e-06,1.5763583e-06,2.1000275e-05,2.945647e-05,0.0,0.8123399,2.0037014e-05,1.2742526e-05,7.805028e-07,0.84755725,5.2170657e-05,4.1206913e-06,1.1703747e-05,2.6501535e-05,1.8820592e-05,6.532603e-05,1.4175226e-06,5.787952e-06,5.3602353e-06,2.200956e-05,7.4127074e-06,2.3917342e-05,1.3902512e-05,2.3455756e-05,4.9099576e-06,0.000116423835,2.4213603e-05,4.4113076e-06
sub_topic_17,0.97153944,5.950936e-05,0.00023275088,0.0001250338,5.4531898e-05,0.00018283096,2.4912768e-05,6.5833856e-06,1.5684682e-05,0.0002408974,0.008905026,8.576456e-05,3.8149177e-05,0.00034254254,4.3384298e-05,0.00011702754,0.0002124311,6.316575e-06,9.1314534e-05,2.348776e-05,2.2031289e-05,6.741447e-05,0.0003949139,2.2692784e-06,0.00014171173,3.4794397e-05,9.386712e-05,3.8385668e-05,0.00025385217,0.00021307144,3.7152808e-05,2.6759506e-05,0.00013135085,0.0018684901,0.00016167664
sub_topic_18,7.179581e-05,0.00012273654,5.721403e-05,1.0935601e-05,4.0071413e-06,8.298614e-05,5.7795678e-05,1.6631867e-06,0.0,0.29891133,1.1073492e-05,0.0,3.1918105e-05,0.00010322603,0.00016277297,4.625128e-06,0.0001909811,0.0009941692,5.297925e-06,1.9389674e-05,0.00022200798,0.00014551524,0.0009723524,2.1025875e-05,2.0003885e-05,3.3241529e-06,4.2035354e-05,5.253347e-05,0.000108932516,9.179881e-05,4.7011395e-06,5.479175e-06,1.3256432e-05,9.752948e-06,9.146344e-06
sub_topic_19,0.00019257209,4.6617355e-05,0.00015918382,0.98239577,3.4850305e-05,0.00011140308,1.5893487e-05,6.9076073e-06,9.121455e-06,0.00038415764,0.0072170678,9.0827096e-05,3.105866e-05,0.0003382104,3.844446e-05,2.1731894e-05,0.00021005246,1.5693491e-05,0.0002695131,8.3410305e-05,0.0002639935,3.976075e-05,3.4943594e-05,7.115795e-05,0.000107352396,2.9877046e-05,4.0895615e-05,2.9344528e-05,0.00021989168,0.0005297744,2.4382345e-05,0.00045929133,1.2694897e-05,0.00022194718,0.004998813
sub_topic_20,0.0018962423,0.00036301586,0.0037953074,8.922353e-05,0.00018409739,0.0007681327,0.00028700416,0.00025684602,0.00012786107,0.00082230254,0.029964963,0.008446427,0.0010496642,0.0021578285,0.0063654194,0.9806481,1.4428349e-05,7.760059e-06,0.00011890989,5.896751e-05,1.4872708e-07,0.0024387238,0.00010632801,6.1390834e-05,0.0019818102,0.00024444214,0.0032990554,0.00033232622,0.0039886627,0.00039752308,0.0034247776,0.002915553,0.017593144,0.0026793461,0.004625788
sub_topic_21,2.102186e-05,6.9672926e-05,3.0707677e-05,0.0015980956,2.5688374e-05,9.645742e-06,2.5743062e-05,2.835205e-05,1.8458797e-05,4.6493667e-05,0.0043291757,0.0001796059,0.00015944011,0.0001623899,0.00038775636,0.0002320001,2.3424818e-05,2.2435075e-05,0.00094115705,0.0061183497,2.3625469e-06,0.00017137053,6.124465e-05,3.002243e-05,0.00026377413,1.1122836e-05,0.0032599738,7.628965e-06,0.00018226619,0.0006875517,0.00023618824,0.30115244,2.8330129e-05,0.00025140482,0.0016311288
