,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32
sub_topic_0,0.00015340719,1.3805413e-05,2.3026463e-05,4.103327e-05,2.2765527e-05,1.6928447e-05,3.939045e-05,4.7483354e-07,1.4252662e-06,0.0015750034,2.1376778e-05,1.0517473e-06,5.273402e-06,0.4122614,3.8546936e-05,0.00096887274,3.4999295e-05,6.016715e-06,4.656418e-06,7.0054034e-06,1.4038075e-05,2.6507447e-05,0.00010966587,1.3143286e-07,0.00022064114,6.1149526e-06,1.083493e-05,5.927752e-05,0.0005282522,9.901687e-05,1.2372836e-05,5.7867484e-05,8.58183e-07
sub_topic_1,4.3543634e-05,6.443553e-05,8.6788634e-05,0.000121897865,4.142734e-05,4.7156424e-05,1.5461197e-05,5.133181e-05,6.881168e-05,2.8731662e-05,0.0042236117,5.3779626e-05,9.890232e-06,4.4508215e-05,0.00030557078,6.552171e-05,2.7238806e-05,8.173261e-06,7.839672e-05,0.0008375203,1.7696982e-05,0.000121209676,0.000115337,2.76508e-05,0.00041473127,6.05275e-06,0.0011517211,3.567867e-05,3.462859e-05,4.3988915e-05,0.00022709624,0.43237823,1.263995e-05
sub_topic_2,0.0031215209,0.0008477258,0.003682323,0.0010723922,0.00028871902,0.0008971661,0.0014626335,0.04077968,0.027866108,0.0005101758,0.017153261,0.0014842316,0.00066496996,0.0016861544,0.0007801441,0.005440139,0.0003965032,5.4126824e-05,0.00017576964,0.00046774268,8.793125e-06,0.0015150157,0.00046692707,0.00078106526,0.011262084,0.00068574154,0.0012105823,0.004687464,0.0019016075,0.00030302437,0.0010450337,0.003615145,0.013864844
sub_topic_3,0.000842732,0.0009811209,0.0002240508,0.00068156,5.5861867e-05,0.00018790831,0.0009996083,0.0001957548,7.7276025e-05,0.0019848642,0.0021076167,4.2449145e-05,0.0007163487,0.07979367,0.0014841894,0.00044509047,0.00020338502,0.0006587956,0.0002676913,0.00024980283,0.0001803412,0.0027399987,0.0071480107,0.00018062694,0.0035505388,8.599405e-05,0.00060261344,0.00073754374,0.0011666064,3.858269e-05,0.0006131915,0.00034630462,0.00011631455
sub_topic_4,6.805263e-05,4.7085716e-05,0.00053974614,4.684257e-06,1.6847744e-05,9.155722e-05,1.2706808e-05,9.68124e-07,5.2374107e-06,1.941409e-05,0.00014699236,0.000109958186,3.5933085e-06,2.9583922e-05,1.754843e-05,4.5013083e-05,1.3163763e-05,1.7805636e-05,2.6988016e-06,1.4930537e-05,7.281267e-06,3.646408e-05,0.0012102239,1.3693815e-06,0.00028214167,4.500351e-06,5.295273e-05,2.0935586e-05,1.4133337e-05,5.4928674e-05,0.3638056,0.00016498794,8.559182e-06
sub_topic_5,0.006689145,0.00016323887,0.008935374,0.0013932097,3.1296066e-05,0.2995211,0.00013111811,1.431488e-05,5.630163e-07,0.006018569,0.0014387757,0.0005666823,6.010578e-05,0.00341481,5.0062852e-05,0.0011378768,0.00020111643,1.3159849e-05,0.0004443484,2.426848e-05,3.0468173e-05,0.00070655794,0.0009222929,2.0751359e-05,4.900303e-06,5.3328836e-06,0.00043137776,0.00016568581,0.0356098,0.008710882,0.00096224266,1.9274987e-05,0.0010940845
sub_topic_6,0.00013343953,0.01052805,0.00019350411,0.0001750906,1.2467692e-05,5.4209486e-05,0.0023610343,1.1052498e-05,2.024141e-06,0.000969951,6.7814817e-06,7.744131e-08,0.005672074,0.00043579162,0.00053111324,0.0,0.0024775926,0.5858248,0.00010915981,0.00018385897,0.0031460768,0.0010951303,0.0015902108,0.00010065371,1.3536776e-05,2.3113746e-05,0.00046220186,0.0005910627,0.00015899554,0.00013805354,7.114326e-05,1.5848365e-05,6.989644e-05
sub_topic_7,0.00034836153,0.00028499027,0.00046310367,7.639727e-05,5.081498e-05,0.00012180288,0.00022271396,0.94266844,0.0007743055,9.0982474e-05,0.00039419613,0.0001408575,9.968679e-05,0.0006385677,5.7223762e-05,5.2888594e-05,0.00014717176,1.3001047e-05,9.873172e-05,0.00024143838,6.0495317e-06,0.00037221008,0.00014203625,0.00060572627,0.0014815533,0.0004327055,0.00025242928,0.001017489,0.00032553007,7.722616e-05,0.00033256924,0.00053851306,0.0014790162
sub_topic_8,2.4852363e-05,3.909068e-05,3.507873e-05,3.622625e-05,4.4273056e-06,0.00010523261,7.22581e-05,8.724853e-07,1.3610518e-06,0.00074261136,1.3594044e-05,4.3634665e-07,8.200716e-06,0.00037758358,4.4504774e-05,2.9343577e-05,1.984731e-05,1.3197833e-05,7.915235e-06,4.29269e-06,1.3920508e-05,3.7606005e-05,2.0358044e-05,3.3440865e-05,8.23624e-06,1.2046056e-06,4.2483505e-05,1.2189764e-05,0.7627868,0.00011785632,9.933443e-06,2.6030708e-05,1.3641066e-05
sub_topic_9,0.00016405806,0.00069709815,0.0003732042,2.0461306e-05,1.04947885e-05,1.9551435e-05,0.00010900002,2.5723977e-05,1.3769405e-05,0.00035738593,0.003448873,7.094973e-05,3.7760758e-05,0.00014264116,0.5412626,0.00392882,8.6839806e-05,8.703838e-05,1.2238797e-05,8.281844e-05,2.4165236e-05,0.004278237,0.0012597248,4.826533e-05,0.0013545476,1.763133e-05,0.0008542818,8.1599384e-05,0.00020415586,1.983781e-05,0.0002585873,0.0030501254,0.00015131524
sub_topic_10,2.1270229e-05,1.9001529e-05,3.862488e-06,5.745088e-06,2.2171323e-06,1.0361538e-05,2.4676572e-05,1.2699034e-06,1.4342768e-06,0.00020639085,5.294209e-06,0.0,1.0855627e-05,0.4692063,2.5987818e-05,6.6058354e-05,4.7618964e-06,1.1288553e-05,2.4353023e-06,1.3568341e-06,2.645438e-06,2.5294636e-05,1.8361714e-05,8.5081297e-07,8.625215e-06,1.0861233e-06,1.0505299e-05,1.4836159e-05,0.00020334526,8.685527e-06,3.4123352e-06,5.0645995e-06,1.2986785e-06
sub_topic_11,0.00015974909,2.3537272e-05,0.00012357972,0.0007943731,1.5081073e-05,9.6862546e-05,9.635156e-05,3.6389913e-06,4.3992313e-06,0.0003285232,1.9497535e-05,5.1459985e-05,3.5539862e-05,0.00015538119,3.9865794e-05,1.4522084e-05,0.00010143798,1.7857437e-05,0.0005094377,0.0006946219,4.8728092e-05,2.6181653e-05,8.0676335e-05,9.19715e-06,1.5118156e-05,2.1792363e-05,0.00010558246,1.8236731e-05,0.00034291446,0.35819146,1.6158152e-05,0.00078447646,8.075382e-06
sub_topic_12,0.00019308121,0.00012985931,0.00030821192,0.00037173982,4.9749313e-05,3.4306206e-05,5.0029653e-06,1.6915753e-06,7.8283796e-05,1.9230843e-06,0.00011529154,0.0018393284,4.1950793e-06,2.1423632e-05,2.83104e-06,8.6304635e-07,0.00010105008,5.982108e-06,0.98311675,0.0001642909,7.709185e-05,0.00022116867,5.4141274e-05,3.4423113e-06,7.207996e-08,6.5586275e-05,0.00050268567,7.724864e-06,2.1182219e-05,3.4607918e-05,3.0574512e-05,4.700809e-05,1.6075095e-05
sub_topic_13,0.0012814817,0.000722178,0.005024203,0.00018290048,0.07781779,0.001166982,0.0008331731,2.089032e-06,0.0007962289,0.00028756526,0.004079529,0.004279978,0.0005975843,0.0029290596,0.00052974606,0.00384229,0.00020380339,5.7586974e-05,0.0029836935,0.00021537079,0.00014510394,0.0021561245,0.00026670913,0.000795459,1.0213527e-05,0.0013948467,0.0030945917,0.0013081981,0.0066863173,0.0022125053,0.0014867943,3.400609e-05,0.000735317
sub_topic_14,0.00013173462,0.00038766803,0.00015131933,9.433329e-05,5.5620258e-05,0.0001330793,0.00032754897,7.431476e-05,0.00017160975,4.890402e-05,7.2613795e-05,3.530074e-05,0.00035677332,0.0002900744,0.00015728515,1.8526454e-05,0.00015442207,0.0012875228,5.2092957e-05,0.00016480962,8.6017324e-05,0.00014742312,0.00035509258,4.3395212e-05,9.048905e-05,0.00048530652,5.999355e-05,0.95826244,4.270711e-05,0.00024475207,5.588852e-05,5.598363e-05,0.00014177381
sub_topic_15,0.00023955687,0.00079569605,0.00023683015,0.0010802198,0.0001208495,0.00096485054,0.00017670509,3.1379722e-07,1.1388616e-06,0.0005493244,7.734216e-06,0.0,0.0005769408,0.0001607355,8.687778e-05,0.0,0.0011331536,0.0016721147,0.00017015562,0.0006692625,0.9469799,0.00020259187,0.0006289893,4.360658e-05,1.0898276e-05,0.0001574412,0.00017925115,1.4700219e-05,0.00015436926,0.0005303963,3.1060856e-05,2.2809456e-05,1.5812568e-05
sub_topic_16,1.6295633e-05,0.00034710317,5.8118232e-05,5.7941807e-06,1.957127e-05,9.148959e-06,0.00014762481,9.089591e-06,4.353912e-06,4.7133613e-05,6.757811e-06,0.0,0.9751772,3.451347e-05,1.8436383e-05,6.3593035e-08,0.00020948407,0.002176582,2.0427267e-05,4.3110693e-05,0.00013251397,2.899883e-05,3.128069e-05,8.722943e-06,4.091735e-06,2.0802869e-05,3.7158137e-05,5.1244646e-05,4.075138e-05,4.7823305e-05,1.6097008e-05,4.8715024e-06,1.3963325e-05
sub_topic_17,0.90849906,3.0819985e-05,8.243063e-05,5.0536608e-05,2.1570318e-05,4.0935014e-05,1.6972845e-05,1.8859624e-06,6.565567e-06,0.00014651092,0.00021191199,3.164517e-05,7.3303277e-06,0.00017627531,2.4309244e-05,1.3940946e-05,5.681945e-05,5.8868923e-06,0.000118297125,1.3355124e-05,2.5214158e-05,3.873618e-05,0.00076701416,3.1034049e-06,7.641401e-05,1.4020487e-05,4.4666023e-05,2.5653491e-05,8.848636e-05,8.924708e-05,0.00014719144,1.5353966e-05,3.3682958e-05
sub_topic_18,6.553502e-05,0.00016811724,5.951746e-05,7.1847403e-06,3.1330817e-06,8.546914e-06,4.697762e-05,1.0819988e-06,0.0,0.28440356,4.960881e-07,0.0,5.770559e-05,9.178812e-05,0.00012893451,5.8336354e-07,0.00012753652,0.0013284748,7.4169516e-06,2.204487e-05,0.00028857897,0.00012325942,0.0002281836,2.2827058e-05,9.2838e-06,6.1426917e-06,3.6967616e-05,2.8885972e-05,9.3219714e-05,0.00010047308,7.9467645e-06,3.6581596e-06,4.9153027e-06
sub_topic_19,0.0010315742,0.00021433149,0.0004560158,0.27347454,3.2826778e-05,0.0011550413,5.034449e-05,5.077305e-06,3.0049391e-06,0.0030305055,0.000618348,4.8764392e-05,4.5143548e-05,0.0008810416,0.00015254047,1.0476251e-05,0.00032304868,8.753896e-05,9.047017e-05,3.798845e-05,0.0046330467,0.0001015237,0.00046252806,0.00010962469,6.994115e-05,1.2035301e-05,4.7070505e-05,0.000659243,0.00029280066,0.0011217602,6.838341e-05,0.00017803021,1.9893727e-05
sub_topic_20,0.04079578,0.0008849072,0.010695152,0.00032081152,0.00035253563,0.020730797,0.0005368966,0.00033195066,0.00061630853,0.0006848332,0.0045614787,0.015500317,0.0003734848,0.003206136,0.00037449764,0.10308228,0.000104324405,9.4403085e-06,0.00030818314,9.7175485e-05,1.229628e-06,0.0012277118,0.00031877626,7.9607235e-05,8.871829e-05,0.00043300158,0.0058777994,0.0017571886,0.003886683,0.00038638408,0.006755985,0.00013822781,0.02500411
sub_topic_21,1.5665988e-05,5.834382e-06,7.1644456e-05,0.0006433352,6.2472384e-07,8.567601e-05,7.5901585e-07,3.4879893e-06,2.5912663e-05,3.377191e-06,0.00016199358,1.4849239e-06,3.0301067e-07,5.6444587e-05,1.4206461e-05,0.0,4.549521e-05,5.8418086e-06,0.00030470156,0.7587402,0.00011336651,1.5872221e-05,0.0001470626,9.398066e-05,3.8878465e-05,5.5829178e-06,0.00039641405,2.2671104e-07,5.3543527e-06,5.440431e-06,0.00011300663,0.0019247894,6.538061e-06
sub_topic_22,0.00024993104,0.00044782736,0.00024648904,3.8399277e-05,0.00013353722,1.4065368e-05,0.00015634374,0.0,2.8973711e-06,0.00096279173,7.3882184e-06,3.438606e-06,0.0015355771,0.00048021777,0.00014729038,3.0988897e-06,0.001220277,0.001018917,0.00019886918,0.0005108821,0.0056182304,0.00017887566,0.0003393287,2.2420638e-06,2.155478e-05,0.00018250718,0.00011094314,4.266219e-05,0.0005393015,0.3162144,1.5516242e-05,7.6289456e-05,2.109557e-05
