,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31
sub_topic_22,0.00020635118,0.00067892944,0.0006991533,6.475212e-05,0.0003086133,2.4142424e-05,0.0002658416,1.0264414e-07,5.2019996e-06,0.0010482777,6.983249e-06,4.5115357e-05,0.0016655247,0.00082685566,0.00036126256,7.3135025e-06,0.0010389343,0.0027124602,0.0008995794,0.00073434465,0.005517222,0.0005326801,0.0027186726,4.2231773e-06,2.884453e-05,0.00013801755,0.00014594175,0.00012009022,0.00055662054,0.29406753,3.9808052e-05,8.6901e-05
sub_topic_23,0.017284997,0.0021506269,0.014500485,0.0020018918,0.0006568192,0.018597424,0.002713321,0.0029814122,0.0019642147,0.0025517468,0.018337367,0.0199435,0.0011883349,0.0060749375,0.0003421377,0.01555956,0.0006998876,6.625003e-05,0.0012166128,0.0014332308,5.6727302e-05,0.087896295,0.0005931033,0.000977435,0.00016435327,0.0013818031,0.029012583,0.0024739853,0.06285192,0.0012447673,0.0033236546,0.00014819944
sub_topic_24,1.9713416e-05,1.7891914e-05,0.00013759773,0.00072707876,6.5854774e-06,0.00010209372,1.0410478e-05,5.3977146e-06,2.2346621e-05,1.32280165e-05,0.0002430426,0.00012353274,6.360197e-06,9.228857e-05,4.8538375e-05,6.175445e-07,2.7566826e-05,2.077588e-05,0.0009584701,0.9801286,0.00014406018,0.00010455044,0.00035844598,8.7481545e-05,3.4134366e-05,1.2037024e-05,0.0008579213,2.8356305e-06,2.5313042e-05,8.4002604e-05,0.0001160117,0.001718406
sub_topic_25,0.0006260488,0.00018408985,0.0006480759,0.00013415283,0.00050224765,8.527876e-05,0.00023806148,0.00028840394,0.00025757865,9.943713e-05,0.000107500266,0.00045376547,0.0001611817,0.0001723889,8.379478e-05,0.00018317212,0.00026016394,6.478778e-05,0.0005282655,0.00061827304,5.7985442e-05,0.000886603,0.0001585872,5.4908858e-05,0.0005146402,0.8924837,0.00030484874,0.0013611757,0.00017337447,0.0005130855,8.579843e-05,0.00021113029
sub_topic_26,7.355695e-05,4.467904e-05,3.9839513e-05,5.0510185e-05,1.1300481e-05,3.50135e-05,1.765113e-05,5.9448034e-06,2.9186344e-07,0.7851006,2.5029127e-05,3.8560997e-06,5.5630853e-06,0.0017203772,0.00013260663,0.00018990692,1.52550465e-05,1.0419366e-05,1.9727491e-05,1.1217808e-05,1.2372063e-05,9.783219e-05,0.00013582266,2.524986e-06,3.848695e-05,6.253392e-07,2.2606142e-05,0.00062591315,0.0018838524,6.877103e-05,1.3597142e-05,3.670555e-05
sub_topic_27,1.3472286e-05,0.96410125,2.401992e-05,7.839861e-06,8.982226e-06,1.7347931e-05,0.00014776667,2.5903822e-05,3.148212e-06,4.8200487e-05,2.9064242e-05,5.684333e-06,0.00012089709,4.5268484e-05,0.0001423264,6.2998106e-07,1.4318332e-05,0.00043702885,7.281814e-05,9.952901e-06,6.0048842e-05,0.00038320458,0.000105771185,2.34587e-05,7.3238143e-06,3.9584306e-06,0.00036119905,3.073644e-05,3.00237e-05,4.0486243e-06,3.1469644e-05,2.3922667e-05
sub_topic_28,2.647153e-05,0.00037293116,3.506205e-05,2.2363643e-05,1.7227812e-05,1.3829005e-05,0.981505,2.1573978e-05,1.7113394e-05,5.702656e-05,1.4288934e-05,1.3465454e-05,0.0001520346,0.00013848695,2.47919e-05,1.2507314e-05,3.5204688e-05,0.00020364475,4.4714034e-05,2.2910843e-05,2.747806e-05,0.00084157655,6.91004e-05,3.5257828e-05,1.1275138e-05,6.702555e-06,4.997099e-05,4.475387e-05,0.0002430579,1.3590487e-05,1.7507446e-05,9.837404e-06
sub_topic_29,6.584968e-05,5.733052e-05,6.155097e-05,5.073053e-06,1.9096076e-06,2.093555e-05,1.15752155e-05,2.4706117e-07,6.844881e-07,1.9136716e-05,3.7759088e-05,0.00036245547,3.0924375e-06,2.187844e-05,6.338012e-05,1.9798865e-06,1.4876023e-05,5.797623e-05,2.5857216e-05,1.4845031e-05,1.3990587e-05,0.81194866,0.8474826,1.6876093e-06,1.7291579e-05,0.0,0.000117199226,2.4035921e-06,1.267336e-05,4.302852e-06,0.00027146202,1.3901586e-05
sub_topic_30,0.0014295563,0.000970471,0.0010347675,0.0011219245,0.0014186875,0.0002528594,0.0005063749,0.0002643325,0.4578784,0.0002337906,0.0014363764,0.0012001538,0.0004717643,0.0017556864,0.0004968794,0.00026873653,0.0014452036,0.00023245811,0.007176544,0.0008237784,0.00046537153,0.0027787113,0.0016566005,0.0026604207,0.0009764575,0.0011640597,0.0043927925,0.0012905388,0.0011098875,0.00070630584,0.0011497884,0.00083566847
sub_topic_31,0.00038207948,0.0006167686,0.0011265667,0.00014566608,0.000391582,3.6214642e-05,0.00035783648,4.800588e-05,9.503232e-06,0.0011546259,1.5307619e-06,5.2996543e-06,0.0061691036,8.152862e-05,2.1948888e-05,2.4786848e-07,0.0024186794,0.00073110254,0.0007364055,0.0048961462,0.070720814,0.00070552516,0.00059196295,1.461777e-05,4.0907846e-05,0.09689524,0.00012407133,4.1550094e-05,0.00020023478,0.0026986275,4.916024e-06,1.1500524e-05
sub_topic_32,0.0004868982,0.00034804424,0.0007608014,0.00031885676,0.0004830044,2.9138342e-05,0.00024308334,0.0009072081,0.00032534002,0.0013372384,0.0010157827,0.0016733805,8.023215e-05,0.0025327082,0.003958798,0.0052590366,0.00016461407,1.3700015e-05,2.360221e-05,0.000113022164,2.0740805e-05,0.0031965896,0.0007844529,6.645838e-05,0.5471997,0.00060695916,9.2700895e-05,0.001099037,0.00069035497,0.00014221657,0.00055072166,0.036111604
sub_topic_33,0.0018798374,0.0015941396,0.0010950725,0.0005685123,0.0023215204,0.00064534956,0.00324662,0.013289583,0.52661073,0.00029695308,0.002311717,0.0024642355,0.000852851,0.0023227106,0.00038316837,0.00089241314,0.0013555436,6.795257e-05,0.0018723933,0.0004563715,0.00018391671,0.0053186887,0.00022324112,0.002606218,0.0020166207,0.0019733873,0.0019823671,0.0036146715,0.0014704819,0.00081915245,0.0010654225,0.0010909623
sub_topic_34,0.00084535644,0.00011869035,0.0010275025,0.0020939545,0.000110707464,0.95270425,3.5538433e-05,1.6857848e-05,2.1670287e-06,0.0007989249,0.0017388281,0.0076573207,2.7173874e-05,0.0005433229,2.6590096e-05,0.00027056882,4.593711e-05,1.1742581e-05,0.000249649,0.00013539374,0.00052757526,0.0024568813,0.00034085402,2.8504608e-05,3.898992e-06,1.0735635e-05,0.0008207308,5.6269422e-05,0.0060507436,0.0008734793,0.00043040878,2.0858783e-05
sub_topic_35,0.000109265355,1.4734507e-05,0.937193,4.429312e-05,7.697503e-06,6.8925794e-05,1.11484505e-05,5.008827e-06,4.5608563e-06,2.3137445e-05,8.35607e-05,0.05971,2.788217e-05,2.4405934e-05,1.5437876e-05,1.9757643e-05,0.00069279654,2.413698e-06,1.3749597e-05,2.464947e-05,7.4953095e-06,0.0014161589,0.00017413525,5.515829e-07,0.00010217756,1.2318791e-05,0.00020400622,5.4179013e-06,3.679003e-05,2.6430971e-05,0.00067130796,1.5157745e-05
sub_topic_36,0.00054764317,0.0014985509,0.0033924768,0.0001965326,0.00023101289,0.002486326,0.0008115037,4.0565752e-05,5.3355525e-05,0.0017700094,0.008084438,0.15797491,0.00014724236,0.00042230435,0.049517144,0.019056503,0.00032050727,0.0010105667,0.00013009351,0.0012584041,6.620367e-05,0.002622608,0.05873038,0.00018788512,0.0008252165,2.2759323e-05,0.0046529183,0.00027996962,0.0014037361,0.0006325174,0.027337033,0.002352086
sub_topic_37,0.0009487333,0.00066061853,0.0009447616,0.00089123286,0.9866753,0.0017085087,0.00066336425,1.0332181e-05,0.0004455033,0.00038989802,0.00084518775,0.0007280066,0.0010852705,0.00047799756,0.00031807186,0.00025134216,0.0005215018,6.6699155e-05,0.0020862406,0.00031029427,0.0011326908,0.0031112134,0.00030171685,8.442638e-05,0.00015667595,0.00065763603,0.0013478922,0.00073304464,0.00082455087,0.00071677234,0.00044867562,0.00033108753
sub_topic_38,0.00018732861,0.002832979,0.00036486387,5.3115724e-05,6.49799e-05,3.7190213e-05,0.00016631426,2.4743416e-05,2.1548729e-05,0.0008035366,0.0013900497,4.097827e-05,8.385098e-05,0.00035319984,0.9231989,0.0012755151,0.0001286943,0.00056217844,0.00010602356,0.00026801892,0.00011273263,0.0073779062,0.0015199416,6.853293e-05,0.0008155578,3.489669e-05,0.0030601444,0.0001157201,0.00042097247,6.040561e-05,0.00019506997,0.002600009
sub_topic_39,0.00022944328,0.004597624,0.00069919776,0.00044957717,0.00018989116,4.4083987e-05,0.002078528,5.187054e-06,1.0271207e-05,0.0023064918,6.7865058e-06,6.220509e-05,0.0018264985,0.0007954616,0.0039265985,1.9383765e-06,0.0068236575,0.39254755,0.0004860052,0.00081560435,0.01594923,0.005524746,0.0025706564,0.00011688438,0.0001271112,0.00011326069,0.001312614,0.00044917085,0.00035362874,0.0007213536,9.8317454e-05,5.94184e-05
