,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28
sub_topic_0,0.17226584,0.00013102044,0.00020402839,2.626927e-05,0.00015119575,0.0004826703,1.5859992e-05,1.3721826e-06,4.2426154e-06,0.00037372118,0.00021067284,2.4531833e-05,1.5083508e-05,0.00029641023,3.1492804e-05,8.698551e-05,0.00011474212,1.8796953e-05,0.0006923313,3.643502e-05,0.00021948347,0.00010519594,0.00036838054,4.5640445e-06,7.005344e-05,2.6411076e-06,1.7788725e-05,8.3162995e-05,0.00016290114
sub_topic_1,0.0017674336,0.0023479324,0.0044511044,0.00023794251,0.0014198049,0.000294315,0.00082896394,0.0040727328,0.00089734636,0.0035816652,0.009669909,0.0006509158,0.0049045184,0.0031601044,0.0050383853,0.00021042115,0.009686567,0.00021072634,0.0005858304,0.012270294,0.00022755741,0.0010175746,0.0026995433,0.0005110225,0.13394707,0.00052489544,0.0006380256,0.0037232658,0.0022034105
sub_topic_2,0.003909309,0.00032346047,0.004473749,7.929599e-05,0.00016989435,0.005661041,0.00042434168,0.0008479609,0.00018899608,0.0005098165,0.0040027634,0.007966727,3.1244635e-05,0.0006491897,0.00034742686,0.4665531,0.0002974845,3.1431425e-06,0.00037319094,0.0005909413,1.2481425e-05,0.0023563073,0.00058301433,4.440564e-05,9.449475e-05,0.00017734441,0.0044863652,0.0005126611,0.0057822983
sub_topic_3,0.00012852905,2.9904864e-05,0.0004164059,0.00022695791,1.6436732e-05,4.9181657e-05,6.604387e-06,2.6076916e-06,5.537541e-05,8.769597e-06,0.0001584115,0.0001504041,1.69171e-05,1.6769056e-05,8.98985e-06,1.6463395e-05,1.3508757e-05,1.4909827e-05,2.1070295e-05,0.00011373842,7.605206e-06,0.19651477,0.018803608,7.73856e-06,3.3469732e-06,5.1583784e-06,0.0008960288,9.842837e-06,1.3546142e-05
sub_topic_4,0.0039316546,0.001364565,0.01236222,0.00051475357,8.681762e-05,0.0016236937,0.00040534438,3.70985e-05,2.2202044e-05,0.00034730084,0.00032792453,0.00037041804,0.0001622168,0.00056017836,9.0285095e-05,0.0035553481,0.00011780736,0.00012649872,8.663471e-05,0.0019150547,8.591212e-05,0.007295438,0.004720223,3.6904807e-05,2.9704436e-06,3.2698583e-05,0.3027598,6.0777595e-05,0.0010846683
sub_topic_5,4.7552825e-05,9.978078e-06,0.94471973,1.3512189e-05,2.1381563e-06,3.559659e-05,3.5776416e-06,9.722894e-07,2.087797e-06,1.7958238e-05,0.00012996893,2.2852446e-05,0.000121787874,1.1746304e-05,3.4395935e-06,8.121966e-06,6.5787885e-05,3.9305237e-06,1.2913557e-05,2.3631825e-05,5.4696998e-06,0.00013718539,0.00011133192,0.0,5.3622774e-05,9.297057e-06,7.107077e-05,1.6359422e-06,1.7666087e-05
sub_topic_6,6.894788e-05,0.006233792,0.00018751419,0.0001138492,1.1166242e-05,0.00014833505,0.0017092187,1.9856405e-05,2.787385e-06,0.00045178426,1.0804508e-05,1.2168083e-06,0.0034620895,0.00026891523,0.00011650902,1.8502858e-06,0.00021081534,0.53928703,1.2981455e-05,0.00010847137,0.00063452125,0.00022800914,0.0004491182,0.0001234472,9.855089e-06,3.128617e-05,0.00032892957,0.00033330274,0.00011243912
sub_topic_7,0.0003256367,0.0002225947,0.00044544667,1.111981e-05,0.00025667623,9.976485e-05,0.00023897884,0.7264527,0.0009522845,8.282073e-05,0.00045401347,0.00041420606,0.00010323698,0.0007548681,7.3576564e-05,0.00012760003,0.00043243272,5.2243267e-06,0.00021053599,0.00047821854,5.8046817e-06,0.00025120587,0.0001369558,0.00028815755,0.001879338,0.00046955113,0.00026241617,0.0010215413,0.00037086
sub_topic_8,4.8696267e-05,4.304609e-05,7.886106e-05,3.7049947e-05,1.3911783e-05,0.00018594528,0.00016735656,1.853936e-06,2.8141985e-06,0.0010053524,6.496099e-06,1.3519599e-05,1.8640843e-05,0.0005119196,0.000101307036,7.991395e-05,7.900687e-05,1.7697037e-05,5.60874e-05,9.199643e-05,6.488623e-05,5.317064e-05,2.721151e-05,4.1223015e-05,1.5071721e-05,2.7641588e-06,9.571204e-05,1.8115848e-05,0.8470852
sub_topic_9,3.9049788e-05,0.00017358024,0.00044372992,6.3403255e-05,1.5329777e-05,3.6254336e-05,4.49711e-05,3.4220532e-06,7.0121416e-05,5.477345e-05,0.0019039816,4.503535e-05,3.9164275e-05,9.389589e-05,0.00037129907,1.2658722e-05,2.8613216e-05,0.00029338425,3.7589223e-06,0.0023455434,1.202694e-05,0.000235215,0.25390774,5.6217585e-05,0.0006687655,4.962065e-06,0.00039377224,1.2481307e-05,5.0506478e-05
