,file_name,words
8334,"Public_Transcript_of_Hearing_February_18th,_2004_(English,_1_Pages).txt","['tuesday', 'february', 'open', 'commence', 'accuse', 'present', 'judge', 'evident', 'accuse', 'present', 'receive', 'information', 'short', 'ago', 'detention', 'unit', 'accuse', 'indispose', 'position', 'attend', 'today', 'expect', 'medical', 'report', 'hour', 'party', 'abreast', 'situation', 'matter', 'wish', 'raise', 'adjourn', 'adjourn', 'hearing', 'adjourn', 'sine', 'die', 'procedural', 'matter', 'open', 'wednesday', 'february', 'case']"
8114,"Public_Transcript_of_Hearing_December_10th,_2001_(English,_76_Pages).txt","['monday', 'december', 'open', 'accuse', 'enter', 'commence', 'judge', 'case', 'good', 'morning', 'case', 'number', 'versus', 'mitar', 'judge', 'ready', 'yes', 'prosecution', 'entire', 'subject', 'testimony', 'judge', 'yes', 'thank', 'pages', 'hearing', 'adjourn', 'reconvene', 'tuesday', 'day', 'december', 'cross', 'examine', 'domazet', 'monday', 'december', 'case', 'cross', 'examine', 'domazet']"
3883,"Public_Transcript_of_Hearing_24th_June,_1996_(English,_17_Pages).txt","['international', 'criminal', 'case', 'yugoslavia', 'trial', 'monday', 'june', 'judge', 'presiding', 'judge', 'judge', 'odio', 'benito', 'judge', 'drazen', 'erdemovic', 'eric', 'ostberg', 'mark', 'appear', 'behalf', 'office', 'jovan', 'babic', 'appear', 'behalf', 'closed', 'pages', 'close', 'hearing', 'adjourn', 'status', 'conference', 'close', 'monday', 'june', 'case']"
5255,"Public_transcript_of_Hearing_30_August_2001_(English,_5_Pages).txt","['thursday', 'august', 'open', 'accuse', 'enter', 'commence', 'judge', 'sir', 'ivan', 'lawrence', 'may', 'judge', 'yes', 'yes', 'pages', 'hearing', 'adjourn', 'reconvene', 'tuesday', 'day', 'august', 'procedural', 'matter', 'thursday', 'august', 'case', 'procedural', 'matter']"
9289,"Public_Transcript_of_Hearing_March_14,_2006_(English,_1_Pages).txt","['tuesday', 'march', 'open', 'commence', 'judge', 'advise', 'death', 'accuse', 'slobodan', 'milosevic', 'express', 'regret', 'passing', 'regret', 'untimely', 'death', 'deprive', 'interested', 'party', 'judgement', 'allegation', 'indictment', 'death', 'terminate', 'proceeding', 'express', 'thank', 'participate', 'long', 'difficult', 'proceeding', 'past', 'year', 'contribute', 'consideration', 'issue', 'arise', 'trial', 'regard', 'mention', 'team', 'counsel', 'assign', 'accuse', 'amici', 'curiae', 'legal', 'associate', 'milosevic', 'pro', 'liaison', 'officer', 'registry', 'official', 'victim', 'witnesses', 'section', 'translator', 'reporter', 'technical', 'support', 'wish', 'express', 'gratitude', 'prosecution', 'case', 'order', 'issue', 'shortly', 'terminate', 'proceeding', 'hearing', 'adjourn', 'hearing', 'adjourn', 'procedural', 'matter', 'open', 'tuesday', 'march', 'case']"
