,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
sub_topic_0,0.15847576,0.0002580942,0.0003503724,0.0007739788,7.840704e-05,0.0008099012,7.963558e-05,5.6568955e-05,0.00025817694,0.0011214429
sub_topic_1,0.0006910069,0.0034524065,0.0015422931,0.00028537144,0.00095923635,0.0038672828,0.0020749047,0.042915862,0.0035367843,0.00695919
sub_topic_2,0.107233584,0.0009264172,0.006247967,0.00047404165,0.0076281745,0.020012276,2.6207847e-05,0.009331767,0.002742303,0.004143749
sub_topic_3,0.00014907206,0.0002485813,0.0012056493,0.00015618236,0.00054784934,0.00011076518,8.872144e-05,0.0014848692,0.26962417,0.00016324104
sub_topic_4,0.29590926,0.00013913182,0.0025861512,0.00011942648,9.544216e-05,0.00037511459,7.876518e-05,0.0006352337,0.00025702553,0.00030869496
sub_topic_5,0.011334568,0.0002556779,0.13551503,0.00029982053,7.930192e-05,0.00848584,5.1406034e-05,0.0010772859,0.00018351871,0.001330932
sub_topic_6,0.00010277814,0.00461576,0.00031657447,0.0003598082,7.783535e-05,0.00043321957,0.34065047,4.426253e-05,7.8241406e-05,0.000578807
sub_topic_7,0.0014379593,0.0021997278,0.0035603656,0.00061661657,0.27272812,0.0008136499,0.0002395682,0.0025553708,0.00522015,0.0008172227
sub_topic_8,9.154976e-05,0.00014301462,8.7980516e-05,7.085126e-05,0.00013877563,0.00044460804,0.00022575672,0.00015238262,4.384293e-05,0.18459363
sub_topic_9,0.0006460135,0.00034557766,9.1225156e-05,4.150904e-05,8.6044696e-05,2.9804301e-05,2.2306496e-05,0.0010687243,0.18595113,0.00028152383
sub_topic_10,3.9428418e-05,5.030604e-05,2.9093868e-05,1.4518418e-05,0.24132945,3.544787e-05,7.525519e-05,0.00011623049,0.00014907261,0.0019716672
sub_topic_11,0.018202173,0.00028337364,0.0051003844,0.0045233336,0.00011659833,0.07998584,5.546796e-05,0.00031837221,4.604424e-05,0.07667391
sub_topic_12,0.09333241,0.0020651673,0.013636756,0.00020518558,0.000804296,0.0017288526,0.00024426836,0.023408499,0.00048686602,0.00061245123
sub_topic_13,0.00013390239,7.112551e-05,0.00017192595,0.0021378503,1.4798002e-05,0.022046834,3.3265744e-05,9.500544e-05,0.008365741,5.3621734e-05
sub_topic_14,0.0017181131,0.00065290416,0.0029612,0.09444029,0.0022767049,0.000215742,0.0023327142,0.00017113378,0.0042053186,0.00047530443
sub_topic_15,0.00226198,0.0057823127,0.0069157067,0.05200241,0.00024061977,0.0011435623,0.015482737,0.00040363104,0.0012763345,0.0063828374
sub_topic_16,0.00054473826,0.01945472,0.004866592,0.0018152734,4.906492e-05,0.0011339496,0.24126275,6.732148e-05,0.000107978405,0.0046956865
sub_topic_17,0.00400002,0.007617241,0.0043332297,0.0049235583,0.079729065,0.00420788,0.0011394606,0.002976414,0.11970055,0.0011761507
sub_topic_18,5.5711203e-05,0.00071099144,0.00017305856,9.066996e-05,2.27514e-05,7.091247e-05,0.0031848336,2.8866814e-05,3.76629e-05,0.13219637
sub_topic_19,2.5169024e-05,9.998561e-05,5.4294727e-05,0.00033567307,1.2471671e-05,0.27429134,0.00015797974,8.047973e-05,1.6330063e-05,0.00014637859
