,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35
sub_topic_0,0.0047021676,0.00039194484,0.0021559221,0.00065978535,0.0003944756,0.0025727942,0.00038687393,3.554152e-06,8.072096e-07,0.005063432,0.00014410495,1.286848e-05,0.00040630373,0.0010795651,0.00021107483,6.3978856e-05,0.00458114,0.00057056866,0.00037090975,0.00060295576,0.0040276684,0.00034560182,0.0010407334,0.0,0.00031810062,0.00024363934,4.1184183e-05,3.5180292e-05,0.001029098,0.4313316,6.1092156e-05,0.00014576342,4.2526393e-05,0.00039389924,0.00023192717,0.007813387
sub_topic_1,3.1490854e-05,0.00026308314,5.0856605e-05,0.00013948588,4.8504677e-05,1.2083884e-05,2.6720254e-05,0.00010749333,4.2164647e-05,0.000102847865,0.0017305054,0.00014195054,2.0946733e-05,0.00017067205,0.0016975172,0.00078058906,1.9027133e-05,5.606592e-06,0.00014485892,2.0277375e-05,2.1047468e-05,0.0005466067,0.00023260275,2.298143e-05,0.0024756321,7.093014e-05,0.001416093,2.0549802e-05,0.00015499035,1.5281064e-05,0.0010235228,0.9525696,2.2005599e-05,0.00016659469,0.00030128667,0.0008957071
sub_topic_2,0.0021750124,0.0016540856,0.002146783,0.00049454405,0.0019701342,0.00061929174,0.0024002623,0.0077359783,0.19554952,0.0005647374,0.003362478,0.002570472,0.00072139915,0.0018101233,0.001179983,0.0034299335,0.0008696117,6.996399e-05,0.0003587532,0.0005189268,0.00010521809,0.0015059973,0.00029398408,0.0021770613,0.004250607,0.001887291,0.0016353747,0.005047407,0.001326753,0.00037686402,0.006473075,0.0019565688,0.004529136,0.0007621109,0.0011115439,0.0005279726
sub_topic_3,0.00026242848,0.00011693863,2.356488e-05,2.9194336e-05,1.898944e-05,0.00014702047,5.4239328e-05,1.6023785e-05,1.505481e-05,0.0023879355,0.00023383665,9.206984e-06,4.863019e-05,0.27072662,0.00024830407,0.00090556,2.3952467e-05,2.6900363e-05,1.972362e-05,1.404009e-06,6.1774836e-06,0.00021426874,0.00033612768,3.730658e-06,0.001004371,1.1854024e-05,7.229015e-05,5.2673095e-05,0.00072488183,1.114986e-05,3.5640496e-05,4.6575366e-05,1.0618949e-05,7.038402e-05,2.806831e-05,1.1988036e-05
sub_topic_4,0.005708986,0.0009827793,0.0059150537,8.452916e-05,5.5228506e-05,0.0004334282,0.00059154816,0.000829935,0.00026374927,0.00071297406,0.00051737693,0.00035687257,0.0003931942,0.00093008735,0.00012224501,0.0012450911,0.00028771104,1.1317353e-05,0.00044821447,0.00085025135,6.0946968e-05,0.0011613785,0.0008513191,0.00016228485,1.5338894e-05,0.0001649167,0.02129509,0.00034243453,0.0027674593,3.49839e-05,0.0003472028,1.20364475e-05,0.43217632,0.0018788504,0.0007972699,0.00080605334
sub_topic_5,9.300178e-05,1.00275065e-05,0.9406917,2.4248093e-05,4.978275e-06,7.469522e-05,3.9640254e-06,1.4421695e-06,1.7708446e-06,2.1363974e-05,7.784601e-05,4.396949e-05,1.27600915e-05,2.1555943e-05,1.4165642e-05,3.317428e-05,0.00082442793,7.350621e-07,1.3048013e-05,4.8561888e-06,3.7259624e-06,3.9242364e-05,3.7166046e-05,0.0,1.0904421e-05,4.2560528e-06,0.00017918511,1.7368511e-06,3.3472596e-05,1.1613845e-05,0.0004491493,5.585777e-06,9.373209e-05,0.00042018358,0.00010792389,2.3577912e-05
sub_topic_6,0.00014275886,0.02052498,0.0001528234,0.0003120711,2.7325408e-05,0.0028531228,0.006619296,2.3456962e-05,5.9371723e-06,0.0010487655,5.431953e-05,0.0,0.016018545,0.0006466307,0.0003167726,3.6236643e-06,0.0022696077,0.34486118,8.4628155e-05,0.00020330287,0.0029625979,0.0016770896,0.001371503,5.6456305e-05,4.4229906e-05,5.650128e-06,0.0003241619,0.000725453,0.00016874057,0.00011157371,2.532343e-05,1.4992393e-05,8.914291e-05,0.00022648586,1.1787974e-05,0.00013315723
sub_topic_7,0.00018037278,0.00022786074,0.00030841219,4.2892985e-05,2.1852202e-05,2.3215338e-05,9.387558e-05,0.7297147,0.0003178378,0.000115756695,0.00030611202,7.68829e-05,9.4359355e-05,0.00049185305,7.433131e-05,4.182888e-05,9.7515185e-05,1.0860901e-05,0.000107513755,0.0001446412,4.7528706e-06,0.00034584326,0.00016508694,0.0024628409,0.0007047867,0.00021278467,0.00021988148,0.000588476,0.00025167444,1.5885358e-05,0.0007493444,0.00025804935,0.0010057058,0.00011871173,0.00010018179,0.00016102524
sub_topic_8,4.0184226e-05,5.537102e-05,8.211359e-05,6.497721e-05,1.3268104e-05,0.00012783227,0.00017214345,1.5216856e-06,3.3543824e-06,0.001122285,3.472295e-05,2.395432e-06,1.8321052e-05,0.0006465653,9.787361e-05,0.00010538652,2.7008346e-05,2.7302427e-05,2.470089e-05,5.158942e-07,2.217575e-05,8.424357e-05,2.2194874e-05,7.1203112e-06,3.0659103e-05,5.5282476e-06,8.205316e-05,8.0958935e-06,0.8919199,0.00014041405,3.9343004e-06,3.320254e-05,2.0078682e-05,3.3328295e-05,0.00026559643,9.528113e-05
sub_topic_9,0.00071666215,0.00018213002,2.1731403e-05,2.8186064e-06,7.2896387e-07,0.0001784009,2.9675362e-05,1.1441507e-06,0.0,0.00018961851,0.0027548594,0.00010053739,7.052742e-06,5.9439884e-05,0.0010073961,5.1895426e-05,1.5764685e-05,0.000105461804,2.0936093e-05,0.0,3.7497691e-06,0.0005981974,0.4998386,0.0,0.0007491134,0.0,8.560547e-05,1.3403393e-06,2.856032e-05,6.17848e-06,0.00064770575,0.00028245017,2.9679106e-06,0.0016491892,3.1272953e-06,2.0458889e-05
sub_topic_10,8.472441e-05,8.418445e-05,0.00014325531,3.3401815e-05,1.9881845e-05,6.738388e-05,0.000101743,7.1560986e-05,1.7173123e-05,4.646658e-05,9.494994e-06,6.074499e-06,7.325688e-05,2.9318126e-05,5.6161e-06,5.1319544e-06,0.000135691,0.0001350429,5.639537e-05,0.54861355,3.4420744e-05,2.6156724e-05,5.0294697e-05,1.5112146e-05,2.326314e-05,0.0015039727,3.9374816e-05,0.0008594386,2.4824332e-05,0.00016547955,1.922724e-05,1.1633083e-05,0.00027434714,2.0575204e-05,8.4516405e-06,0.00018632827
sub_topic_11,7.940047e-05,3.444299e-05,7.652595e-05,0.0005405863,1.1243559e-05,0.00015246622,0.0001105804,5.507004e-06,3.0016456e-06,0.00031519536,4.2974945e-05,1.815945e-05,3.725044e-05,0.00019875326,5.3891974e-05,2.9199726e-05,0.00011450986,6.129354e-05,0.00013986415,5.193814e-05,8.589028e-05,3.808659e-05,6.0301907e-05,1.0816794e-06,6.1533254e-05,2.893797e-05,5.6500245e-05,2.50533e-05,0.000227985,0.0140683465,2.298897e-05,4.2935048e-05,8.478436e-06,1.1142318e-05,3.3658063e-05,0.5759187
sub_topic_12,0.0001272204,0.0001678926,0.0004190069,0.0007989223,3.347888e-05,0.0001232009,2.4269173e-06,1.0739085e-06,5.159796e-05,2.7499616e-06,6.8611414e-05,0.000966843,2.5895515e-06,1.7260545e-05,6.166441e-06,1.8732886e-06,6.0982e-05,3.8985736e-06,0.9876034,1.8185989e-05,6.415026e-05,0.00022726873,1.6949041e-05,0.0,2.500933e-07,3.9827653e-05,0.00025117007,4.951394e-06,1.6117781e-05,7.736132e-06,1.1104225e-06,9.238932e-05,1.0708559e-05,0.00020537677,7.950964e-05,0.000109955065
sub_topic_13,1.6090715e-05,0.00034485952,5.8040896e-05,1.9864354e-05,1.9672987e-06,3.0014514e-06,0.00011466699,0.0070212483,0.0003742972,3.0657942e-05,2.653432e-05,1.7126995e-05,6.662513e-05,0.00018295007,7.351877e-06,3.7458515e-06,4.7765865e-05,9.427272e-05,2.8314398e-05,3.6155972e-05,1.8514174e-05,0.0003136124,0.00011033478,0.5479089,8.3162064e-05,2.573939e-05,6.351605e-05,0.00012428217,7.73595e-05,3.1986983e-06,0.00017438906,9.185053e-05,0.0001429588,1.661416e-05,5.068584e-05,5.6836594e-05
sub_topic_14,0.00010775698,0.00048100526,0.00015313612,9.251603e-05,7.1303584e-05,0.0014928154,0.00036636842,8.8582434e-05,0.00019182081,4.4177163e-05,0.000104322484,4.5163993e-05,0.0007686664,0.0003017188,0.00021974008,4.4311197e-05,0.0001490731,0.0010105644,5.5799603e-05,0.0005159774,7.3980416e-05,0.00022780859,0.00012168058,3.6691566e-05,0.000105000865,0.0002771232,8.998869e-05,0.9750653,4.1241725e-05,0.00011103101,9.652033e-05,5.6870722e-05,0.00014810104,5.8956004e-05,4.6539284e-05,0.00040176715
sub_topic_15,0.00016084412,0.0005971696,0.0001675221,0.0013634725,0.00014101312,0.00089883414,0.0001615764,9.743594e-08,3.201127e-06,0.0003247833,2.3416264e-05,0.0,0.00019276606,0.00012889705,9.6306576e-05,6.561265e-08,0.0006168888,0.0010822965,0.00015558976,0.00045015896,0.92182416,0.00019938967,0.00041249127,7.686013e-06,9.328114e-06,2.3042452e-05,0.00022434234,9.86313e-06,0.000107684944,0.00030710007,1.1437964e-05,3.0330462e-05,9.420219e-06,0.00013878649,0.0012144839,0.00017339397
sub_topic_16,5.385872e-06,0.00020899627,2.70412e-05,7.934323e-06,3.7632547e-06,3.9008668e-05,0.0001028276,9.050357e-06,1.4964785e-06,3.085624e-05,9.882279e-06,0.0,0.97456473,4.2507498e-05,4.926554e-05,3.2727182e-06,5.591635e-05,0.0009281068,1.7976121e-05,5.5093255e-06,3.5934543e-05,6.0611314e-05,1.8149383e-05,9.35488e-06,1.1101786e-06,1.7353973e-06,6.6027256e-05,4.0358456e-05,2.3422956e-05,4.5034876e-06,1.8684454e-05,9.020057e-06,6.10806e-06,1.9932453e-05,1.3229569e-05,1.1013568e-05
sub_topic_17,0.9540151,3.4047516e-05,0.00012135152,4.237091e-05,2.9082514e-05,0.00017411697,1.4894122e-05,3.38385e-06,1.1697876e-05,0.0001573224,0.0004907343,6.79051e-05,8.573267e-06,0.00017053033,3.433641e-05,6.3501946e-05,4.191973e-05,4.65461e-06,0.00010982253,8.076167e-06,1.6266178e-05,3.822576e-05,0.00035304748,0.0,7.732222e-05,2.1368876e-05,8.150481e-05,1.7938039e-05,0.00011796448,8.349616e-05,2.2717817e-05,1.6657083e-05,4.3048334e-05,0.00036893872,6.732789e-05,5.659268e-05
sub_topic_18,0.000833063,0.0038631458,0.00093441136,0.00067068933,3.4789053e-05,0.0025634184,0.0013642686,5.173472e-07,4.9400296e-07,0.020341132,5.1511583e-05,0.0,0.0014313717,0.00074400834,0.0021211826,3.6523863e-06,0.020838879,0.2411056,0.00026295325,0.0008681084,0.048952688,0.0016343308,0.0038841157,5.959195e-06,3.1497217e-05,5.00153e-05,0.0004150307,0.00011326422,0.0004956621,0.0048832917,1.2055595e-05,1.3100017e-05,0.00019891607,0.00026412564,3.4249917e-06,0.0017016559
sub_topic_19,0.00021817957,7.598555e-05,0.00012815122,0.46389532,1.7459068e-05,0.0007295446,1.8615912e-05,1.48205145e-05,1.9114661e-06,0.0012184622,0.0016551121,8.355979e-05,2.3991826e-05,0.00034098182,7.561632e-05,1.1299689e-05,9.037986e-05,2.733081e-05,0.00014218682,1.8110193e-05,0.0051170895,4.1411986e-05,3.1276326e-05,5.6152014e-05,0.00015909411,2.093951e-05,2.0520396e-05,4.3396216e-05,0.00018836245,0.00029109098,1.3275223e-05,0.00016876867,5.3747553e-06,9.647071e-05,0.004495297,0.00082267297
