,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25
sub_topic_0,0.00040282815,5.2700394e-05,0.00013267825,3.16379e-05,1.0730654e-05,0.0001393567,0.0005421776,0.00014918219,9.341049e-06,0.0026963432,0.00011246022,0.00030676008,1.0274346e-05,0.0046543707,0.00171996,0.8964655,0.00020592214,5.4943102e-06,9.513411e-05,0.00013211061,2.378643e-05,0.00010225364,0.0001837624,4.479284e-06,0.00021049922,1.0219244e-05
sub_topic_1,0.00017160992,0.00053709786,0.0019649921,6.433944e-05,0.0012295892,5.3559816e-05,0.0002720635,0.00020472283,0.00023869306,0.0010522803,0.0046956865,0.00048847316,0.0007437338,0.00079321064,0.0018789015,0.00040144476,0.001271306,9.962808e-05,0.00026554335,0.0019330105,6.9596914e-05,0.00047303966,0.00077919237,0.00011791599,0.44209385,0.0005223497
sub_topic_2,0.0040721083,0.00025329055,0.0023423226,5.07491e-05,0.0027314876,0.002318533,0.0012533866,0.005044166,0.0014038213,0.0004226171,0.006749188,0.47822264,1.7138846e-05,0.00047595106,0.0020082148,0.010047196,0.00019494919,2.2037264e-06,0.00027596357,0.00042989646,9.215217e-06,0.0025291955,0.00019611164,0.0002190394,0.0010136125,0.0005348208
sub_topic_3,0.0004945522,6.0097922e-05,0.0005028598,0.001148562,8.502037e-06,0.0002347214,0.00077082583,0.0011591117,8.140202e-05,3.613902e-05,0.001058744,0.48023555,4.572365e-06,6.685024e-05,0.0004282551,0.00077138114,9.738793e-05,4.3042346e-06,8.708426e-05,0.0002368025,8.524612e-06,0.0006664338,0.00040222556,2.5176423e-06,5.1107465e-05,3.832857e-05
sub_topic_4,0.028990636,0.0011426505,0.035445243,0.0003445256,0.00017115653,0.0047991243,0.004545479,0.1914926,0.00010359574,0.0012798345,0.00048802933,0.012043066,0.0001159664,0.002253074,0.00019848898,0.006349967,0.00013325563,8.149017e-05,0.0001444103,0.0014460018,7.2633775e-05,0.022180233,0.0059725665,8.950377e-05,7.76511e-06,0.00015501393
sub_topic_5,2.5847057e-05,1.953431e-05,0.0087617235,9.205986e-06,2.2104166e-06,4.634095e-06,3.1613155e-05,2.1020896e-05,2.1689095e-05,1.7257307e-05,7.801786e-06,6.10982e-06,0.00039946774,9.321348e-06,3.3610438e-06,2.5212346e-05,0.05616539,3.0521423e-05,9.044794e-06,1.9598248e-05,1.139475e-05,9.35749e-05,4.5455097e-05,7.2482017e-06,1.29988e-05,1.4410689e-05
sub_topic_6,4.2389023e-05,0.008500766,0.0001544478,4.1065217e-05,5.5071338e-05,9.3077084e-05,0.000688358,0.00016155631,4.9034643e-06,0.0004294952,1.8477884e-05,0.0,0.0014512936,0.0006620043,9.327319e-05,1.3675521e-05,0.00020723873,0.47981486,1.2753878e-05,0.00016144155,0.00031625177,0.00028562537,0.0005394726,0.000115671995,2.6191698e-05,2.537834e-05
sub_topic_7,0.0001651293,0.00029838557,0.00040654995,1.698413e-05,0.72048414,2.5533134e-05,0.00023636561,0.00083195645,0.0004013492,0.00031876087,0.00011946985,0.00022872536,2.6355583e-05,0.0010885558,3.0129915e-05,4.925386e-05,0.00016548768,2.6381596e-05,7.949334e-05,0.00042005937,3.997034e-06,0.00038784416,0.00018951009,0.0044546234,0.001993892,0.00026352963
sub_topic_8,2.2579572e-05,5.7952228e-05,5.0129398e-05,3.0000307e-05,4.087598e-06,7.897876e-05,0.9386516,6.388647e-05,3.735761e-06,0.0004797638,3.7980349e-06,8.492295e-06,1.2808327e-05,7.825671e-05,4.129904e-05,0.00045341146,3.809309e-05,2.3925526e-05,1.720131e-05,6.4652835e-05,3.0351554e-05,6.363535e-05,2.1091879e-05,5.0911527e-05,4.1475296e-06,2.3734221e-06
sub_topic_9,0.0003917664,0.0007663431,0.0007893137,7.46434e-05,1.6090738e-05,0.00012580852,8.62278e-05,0.00094997394,1.6183554e-05,0.0002418981,0.21539597,0.00052489544,1.02212225e-05,1.4484455e-05,0.0017407776,0.0002187678,6.145898e-05,8.827854e-05,7.6704004e-05,0.0015342676,2.7671622e-05,0.00045074776,0.03012592,1.1388613e-05,0.0010973092,4.062634e-06
sub_topic_10,2.3074594e-05,3.1874308e-05,1.8092434e-05,9.4289835e-06,1.5107325e-05,7.406899e-06,0.00014144044,5.2266343e-05,1.3936065e-05,0.000114071925,7.4128443e-06,6.520007e-06,1.1892215e-05,0.39318714,0.00011611371,0.01421916,2.9453886e-05,5.3242038e-05,2.7052945e-06,7.171746e-05,9.577073e-06,2.8066896e-05,9.33431e-05,1.0180899e-05,6.105606e-05,7.807934e-06
sub_topic_11,0.0002732758,5.065574e-05,0.0003822396,0.00023567546,2.6348574e-05,5.1588806e-05,5.2775784e-05,2.437838e-05,9.538574e-06,0.0005116299,8.637504e-06,1.17415875e-05,4.3304513e-05,2.182182e-05,2.774369e-05,0.00020168838,0.00015374302,1.7402308e-05,0.621374,0.00025742652,0.0040287036,7.530804e-05,0.00013353508,2.2723348e-06,4.9964536e-05,0.0003772157
sub_topic_12,2.3795496e-05,6.047208e-05,0.00021220234,0.9688009,0.0,0.00015936373,1.1691644e-05,8.651465e-05,2.5189518e-05,1.0166806e-06,5.9632193e-06,6.1005314e-05,1.2388917e-05,2.09018e-06,7.9359097e-07,2.9138232e-06,0.00024293375,5.0399917e-06,2.6983591e-05,0.00018174473,1.1913339e-05,0.00011720939,7.727694e-05,9.1148473e-07,4.1881513e-08,4.775097e-05
sub_topic_13,4.1789367e-06,6.160837e-05,1.4818076e-05,1.9688781e-05,5.4824628e-05,0.00011889362,9.780705e-05,3.1564163e-05,1.7436516e-05,2.110373e-05,8.659113e-06,1.6527548e-06,6.2447116e-06,2.4328036e-05,5.038797e-06,1.8432524e-06,0.00039268486,5.338422e-05,6.013808e-07,0.00011486358,8.049215e-06,4.22993e-05,1.9428744e-05,0.98363155,1.7087874e-05,2.1737627e-05
sub_topic_14,0.00013538786,0.00022516477,0.0002947844,4.366259e-05,0.00028434495,2.351878e-05,0.00020354179,5.7897465e-05,0.000132178,0.00015349913,3.72549e-05,7.760833e-05,0.0003764717,0.00064532284,2.1869237e-05,3.4438155e-05,4.6437624e-05,0.00041188707,0.0009146865,4.5533903e-05,0.0006790221,0.00017557153,5.9853824e-05,4.870722e-05,0.0002442229,0.30116448
sub_topic_15,0.0009077085,0.002241959,0.00087342423,0.0045320773,1.38802825e-05,4.582709e-05,0.0008226806,0.0002236741,5.400445e-05,0.0014440679,0.00011272241,3.3097947e-07,0.035992555,9.5538046e-05,0.000340531,0.00015425842,0.0021485605,0.0006554427,0.001196519,0.0006406575,0.10737196,0.00048709256,0.0024673664,5.399581e-05,0.0006408182,0.0010267198
sub_topic_16,3.768569e-05,0.00012493435,5.1796276e-05,4.8614947e-06,3.044988e-06,1.4641935e-05,0.00010267847,3.4445216e-05,4.8004085e-07,0.25213507,2.6885828e-06,0.0,1.4644191e-05,6.966629e-05,6.199806e-05,1.9836367e-05,7.1072927e-06,0.001046182,4.3202003e-06,3.553166e-05,9.449957e-05,7.265159e-05,0.0001068619,5.353962e-05,1.5966862e-05,3.904146e-06
sub_topic_17,0.7301845,4.7474998e-05,0.000119175704,4.5537705e-05,7.0044193e-06,7.2991555e-05,9.172056e-05,0.00013080258,2.049713e-05,0.00019352681,4.1475672e-05,9.837365e-05,1.8737786e-05,5.880644e-05,2.3636838e-05,0.00024439435,0.00010615887,9.568565e-06,0.00015779996,5.2902808e-05,1.2684833e-05,8.205369e-05,0.00084393844,2.960675e-06,6.809702e-05,2.2365874e-05
sub_topic_18,0.0006794642,0.007070864,0.0043666502,0.0006243813,2.949824e-06,0.00035921807,0.0009010712,0.00012269926,4.1884323e-07,0.0073898765,5.267875e-06,0.0,0.00209292,0.00026063703,0.0002893718,0.00015544417,0.004274259,0.17523532,0.0003396467,0.0002863213,0.07982175,0.0007544994,0.0021853494,5.6963017e-05,3.7705948e-05,0.00033643626
sub_topic_19,0.000120884295,8.952873e-05,0.00018623353,0.0027279954,1.8723022e-05,0.0014674152,6.59193e-05,4.5975776e-05,8.8525085e-06,0.0006868075,0.00011851978,5.4223376e-05,3.9729337e-05,6.5347595e-05,6.857232e-05,0.00059905136,0.9106805,5.5398403e-05,0.00048343284,0.0009920818,0.0001248765,3.459603e-05,0.00014805247,9.3213035e-05,0.00018875804,4.0922474e-05
sub_topic_20,2.5094016e-05,0.00053532294,2.1002772e-05,5.9261994e-05,4.6876663e-05,1.0914511e-05,0.0007457156,0.0007472068,8.7255075e-06,0.0017418968,0.002617024,0.0020782338,1.8927662e-06,0.0005465187,0.7271783,0.009715582,0.00024942748,9.069477e-05,2.9586756e-05,0.0030096334,6.492481e-05,0.00015382575,0.00022114837,5.3092866e-05,0.0051565613,0.000100842655
sub_topic_21,1.3018292e-05,4.95814e-05,5.5285556e-05,0.0007731788,7.175212e-06,0.00013413173,1.9938261e-05,0.0011704606,1.31959705e-05,1.8495186e-05,0.0014807705,2.2357126e-05,3.1179482e-06,3.165832e-05,0.00019875354,2.4009449e-05,0.00055430445,3.2293465e-05,1.808768e-05,0.72981805,1.2533287e-05,5.9774433e-05,0.00017930116,8.910264e-05,0.00010557756,1.645199e-05
sub_topic_22,0.00016268042,0.0005520769,0.0005878654,0.00030303808,1.911608e-06,9.415051e-05,0.00056265236,2.3208298e-05,3.5365006e-06,0.0011093301,2.5864168e-05,3.4246986e-07,0.00031973387,0.0001541703,0.00017738808,0.00017185743,0.0001533901,0.0011320553,0.0047965283,0.00034054523,0.78559226,0.00016226618,0.00023140198,3.165716e-06,2.8739925e-05,0.00027343063
sub_topic_23,0.0018197357,0.0009117222,0.003303498,0.0022909488,0.00055043667,0.04681351,0.018598398,0.0066736597,0.00015657749,0.0029076803,0.004008969,0.0065191025,5.214057e-05,0.0015651343,0.0006808579,0.0125864735,0.0028522797,0.00013031616,0.0018322429,0.014208407,7.302976e-05,0.002226318,0.0017179276,0.00019152243,0.00031004357,0.00010459131
sub_topic_24,3.5212226e-05,8.7104825e-05,5.9954775e-05,0.0008051274,3.3493786e-06,8.076066e-05,0.00043267215,0.000792747,4.2091e-06,0.00018515448,7.0566566e-05,2.2790475e-05,7.843207e-06,4.5457964e-05,0.0004922797,0.00029094145,0.00022165598,0.00014179856,0.0029814248,0.2213395,0.0027511057,5.103451e-05,0.00016057516,1.4969991e-05,1.9879559e-05,5.1232278e-06
sub_topic_25,0.0006129318,0.00021512834,0.00050593645,0.0005718551,0.00018801425,0.0001471011,0.00022317104,0.0007354721,0.00060319714,0.00021478994,0.00019433923,0.0009143875,0.00022511714,0.00026864663,0.00049057056,0.00028573824,0.00018462173,4.8636983e-05,0.0004733716,0.00033016133,4.7592504e-05,0.00032550064,0.00019811814,5.0941406e-05,0.0010003458,0.42276862
sub_topic_26,7.2842595e-05,7.7678895e-05,5.4111104e-05,8.2217875e-06,1.6233165e-05,3.421004e-05,0.00042540015,4.74059e-05,1.7891249e-06,0.6979932,1.561164e-05,2.4496785e-06,1.0510463e-05,7.150145e-05,0.00012081414,0.0045847483,0.00013808136,1.6397591e-05,4.2372187e-05,7.637303e-05,2.5097346e-05,3.8641127e-05,6.34439e-05,2.7809776e-06,3.7840586e-05,1.7520963e-06
sub_topic_27,1.026691e-05,0.59571534,1.701993e-05,7.817746e-06,1.1595315e-05,1.0252315e-05,6.0803544e-05,0.00037403347,1.4302537e-06,6.141656e-05,2.251431e-05,5.3767786e-07,4.2689102e-05,2.6608197e-05,3.8764003e-05,3.2525816e-06,1.3922968e-05,0.00034873126,1.6322532e-06,3.8196333e-05,1.1141742e-05,3.2358308e-05,5.1647567e-05,2.7647493e-05,7.941343e-06,4.2904553e-06
sub_topic_28,4.4946228e-05,0.0003585158,3.6342582e-05,1.5021678e-05,4.202818e-05,5.6942834e-05,0.00015167845,3.8394403e-05,0.0001520917,0.0002254266,1.7876506e-05,8.232045e-06,0.00018294978,0.5781645,6.1029972e-05,1.9861256e-05,7.212535e-05,0.0010245863,2.1166283e-05,4.3939446e-05,0.00023074423,0.00012659759,0.00016943815,3.1477393e-05,7.3165545e-05,0.00014063565
sub_topic_29,3.2792006e-05,0.00011718157,0.00015683155,1.5562679e-05,1.3147161e-06,2.836348e-05,5.0806582e-05,0.00033354192,3.147649e-06,1.8631155e-05,2.9254194e-05,1.1835883e-05,6.79281e-06,1.08147315e-05,2.8565042e-05,1.2084034e-05,1.0321179e-05,3.77434e-05,1.5251256e-06,5.5197666e-05,3.3426275e-06,0.94759434,6.4071006e-05,1.339675e-05,5.519708e-06,1.4892056e-06
sub_topic_30,0.0007079656,0.00082309253,0.002658611,0.00031650398,0.0021810776,0.0003204652,0.0009481169,0.001466962,0.06998717,0.00066764146,0.0044337558,0.0013214673,0.0021538935,0.0027871877,0.0007362739,0.0009522521,0.0010132266,0.00018369792,0.0004990382,0.0020355284,0.00016117393,0.001134933,0.0019448318,0.00076218625,0.040663417,0.0014787759
sub_topic_31,6.7394256e-05,8.8159235e-05,0.00047036388,0.00020939759,0.00011500553,0.00033477534,4.5902732e-05,6.840681e-05,8.757922e-06,0.00016173185,3.9458658e-07,5.5050145e-07,0.0001789842,1.0155165e-05,3.298932e-06,4.80501e-06,0.00012799061,0.00011598897,0.000104855586,0.0001720438,0.0012271117,4.595903e-05,4.2072625e-05,7.215193e-05,6.6327004e-05,0.25899154
sub_topic_32,0.00045689606,0.00013267154,0.00018355448,9.4427e-06,0.00015797885,4.911133e-06,4.7963997e-05,4.8311173e-05,6.362134e-05,0.00071075076,0.0053513036,0.002070847,1.8324634e-05,0.0007524035,0.0104199285,0.0030157089,0.00021582337,1.7672573e-05,3.8728125e-05,0.00023317501,1.441619e-05,0.00023499163,0.0012824784,8.306101e-06,0.489395,0.00015458898
