,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37
sub_topic_0,0.00032298645,8.71362e-05,0.0001449362,8.116107e-05,7.656668e-05,6.542637e-05,9.476052e-05,8.4994435e-06,6.480877e-06,0.00035831286,1.6110287e-05,5.6518693e-06,0.0001053863,2.2969045e-05,5.655032e-05,1.21481635e-05,0.0002571826,0.00010935551,8.099605e-05,0.0011775658,0.0008888541,9.729955e-05,0.00012784995,0.0,4.2691194e-05,9.141465e-05,2.5277359e-05,8.308848e-05,3.8407616e-05,0.0064825634,5.014713e-05,6.843099e-06,3.484316e-05,3.4484692e-05,4.459804e-06,0.0017414063,0.9531199,5.961333e-05
sub_topic_1,6.6191045e-05,9.34071e-05,5.4972974e-05,7.616596e-05,9.589095e-05,8.612576e-05,1.4720214e-05,3.661745e-05,0.00011976945,3.0280078e-05,0.0007437107,4.3998378e-05,3.017898e-05,6.2646955e-05,0.0001247729,6.9295624e-05,3.4919463e-05,1.1129322e-05,6.809633e-05,8.078952e-06,4.456098e-06,0.00011612801,0.00014085104,5.078269e-06,0.000111762056,2.2915958e-05,0.0015109642,2.9547082e-05,4.7072605e-05,1.6619406e-05,0.00025345088,0.31375504,2.4453471e-05,0.00010845769,0.00012786654,0.00039714645,4.777134e-06,5.7150854e-05
sub_topic_2,4.110912e-06,4.991613e-05,9.38487e-06,0.0008580587,1.1674489e-05,0.2788199,4.915705e-07,1.1310567e-05,1.1960461e-06,4.573112e-06,3.1648729e-06,0.0,5.388843e-06,3.6558413e-06,1.3714562e-05,0.0,4.8872907e-06,2.2482014e-05,7.3649967e-06,8.948249e-05,0.00032933347,6.716442e-05,1.6788083e-05,3.1078354e-05,9.735885e-08,6.2024487e-06,8.402709e-05,0.0,3.411451e-06,0.0,5.5233313e-06,4.8092912e-05,0.0,1.17637055e-05,0.002090527,3.4009418e-06,0.0,0.0006320999
sub_topic_3,0.0001876544,0.00017562855,1.3697668e-05,2.2693408e-05,1.3254514e-05,2.6580374e-05,9.6669486e-05,2.1038637e-05,1.2619408e-05,0.00079109933,0.00023503894,5.996123e-06,0.00012076293,0.2235317,0.00011841741,0.00021595962,1.4331648e-05,0.000110741166,2.6582986e-05,3.6172187e-06,2.3369819e-06,0.00041002993,0.00078424485,1.2844372e-05,0.00031469,7.64681e-06,6.604883e-05,7.36666e-05,0.0002123023,4.048187e-06,3.361825e-05,2.6324971e-05,1.7825747e-05,9.3351046e-05,1.8012775e-05,9.953945e-06,1.1258939e-05,0.000323254
sub_topic_4,0.0004976676,6.088604e-05,0.0012289932,2.4893752e-05,1.2603794e-05,1.4989475e-05,5.8852922e-05,4.8640504e-05,3.471739e-05,4.9700546e-05,0.00013301849,6.242627e-05,5.0782917e-05,8.807433e-05,2.5248164e-05,0.00023710082,0.00019795667,2.9321038e-06,2.9053617e-05,7.257314e-05,4.4607177e-07,7.948918e-05,0.0001627407,2.2661232e-05,1.6685672e-05,2.6792623e-05,0.00091615546,3.0628322e-05,0.00026905927,3.9338784e-06,0.00024495996,1.5920057e-05,0.9470462,0.0001363648,6.0288152e-05,7.402987e-05,2.3517106e-05,9.409378e-05
sub_topic_5,0.007173255,0.0002888466,0.007950616,0.000777122,2.0390225e-05,0.0037270242,3.091581e-05,8.813468e-06,1.5260301e-07,0.0124823805,0.0012624395,8.220613e-05,0.00022930597,0.007225516,6.145168e-05,0.002331724,0.0002561114,2.7736112e-06,0.00055769255,6.9532716e-06,2.0474772e-06,0.0011877381,6.903888e-05,0.0,1.7895003e-06,3.0028107e-06,0.00024367981,4.5900477e-05,0.038846813,0.029451614,1.8751147e-05,3.4275376e-06,0.0018744053,0.0013684198,0.18118781,0.0003257647,3.0191664e-05,0.0447786
sub_topic_6,8.193417e-05,0.0098742,0.00018018605,0.00019048004,1.3150254e-05,0.00059461896,0.0028993678,1.33351205e-05,1.6947897e-06,0.00082553626,0.000111471236,0.0,0.005298594,0.0003147341,0.00050235714,6.2969098e-06,0.0018440313,0.60801095,4.98681e-05,7.4709955e-05,0.0012458297,0.0017965764,0.0016386119,5.762496e-05,2.9654784e-05,3.5434955e-06,0.00041846908,0.0005922273,0.00016815483,4.231104e-05,2.0792388e-05,1.7779503e-05,6.837115e-05,0.000210208,2.5762824e-06,0.00010171301,0.00019444502,0.0016198102
sub_topic_7,0.00020379387,0.00014165124,0.00021708266,3.286138e-05,2.6462607e-05,3.9585673e-05,5.753615e-05,0.634044,0.00032385127,8.3492545e-05,0.0001858563,6.0820745e-05,8.724968e-05,0.00039976469,5.3533808e-05,7.148522e-05,8.714491e-05,8.33769e-06,0.000101936836,0.00014595843,0.0,0.00027890923,0.0001779179,0.0053075454,0.0003517735,0.00017602077,0.00015746194,0.0005432707,0.00019056519,1.5292158e-05,0.000492254,0.00018325628,0.001024507,0.00010854997,5.659731e-05,0.0002090136,1.0916543e-05,8.16656e-05
sub_topic_8,2.9381927e-05,5.003598e-05,4.4742937e-05,3.578579e-05,6.996735e-06,0.00018973215,0.0002138025,1.6032816e-06,2.1821995e-06,0.0009818219,1.6673095e-05,0.0,1.3823609e-05,0.0006571604,8.0897495e-05,6.825149e-05,2.3757717e-05,2.564362e-05,1.035603e-05,2.0026087e-07,4.9923046e-06,6.4661e-05,2.263229e-05,9.698273e-07,3.3205666e-05,3.5052194e-06,6.24237e-05,6.9141743e-06,0.904566,0.00012487374,2.9914129e-06,2.5294392e-05,1.9234643e-05,1.7653958e-05,8.830965e-05,0.00010097968,3.8407707e-06,5.7933434e-05
sub_topic_9,0.00011779515,0.0004765072,0.00030710103,2.3952542e-05,1.109015e-05,0.00026617266,4.2869204e-05,2.4413122e-05,1.5262967e-05,0.00048092354,0.0015632488,0.00020329707,0.00010573372,0.0002846194,0.5066667,0.0046367897,0.00011033781,0.00020127806,2.6444333e-05,4.240234e-06,8.469174e-06,0.0045101987,0.0028463453,3.9949896e-06,0.0013295879,0.00012307499,0.00077215343,8.204605e-05,0.00024306205,2.5453404e-05,0.0016356709,0.0048931274,0.00016618356,0.00017477476,2.8715649e-05,0.000121218996,1.9168563e-05,5.911911e-05
sub_topic_10,4.039543e-05,3.771618e-05,0.00010268821,5.7813e-05,7.862909e-06,6.711924e-05,2.949528e-05,5.9738075e-05,6.344501e-06,2.5079979e-05,5.6619683e-06,3.5989955e-09,3.6180318e-05,8.2092465e-06,3.3663127e-06,2.0783132e-06,6.770706e-05,5.273491e-05,3.1654512e-05,0.7962448,4.7656755e-05,1.269303e-05,4.02437e-05,2.5689877e-05,1.43855705e-05,0.0014208229,2.8637647e-05,0.00019939012,1.2119138e-05,1.6692202e-05,1.0484299e-05,9.712796e-06,0.000104962375,8.923464e-06,8.825937e-06,3.1284337e-05,0.00010044941,6.13961e-05
