,file_name,words
840,"Public_Transcript_of_Hearing_10_July_2001_(English,_1_Pages).txt","['tuesday', 'july', 'open', 'status', 'conference', 'accuse', 'present', 'commence', 'judge', 'may', 'could', 'ask', 'matter', 'want', 'raise', 'relation', 'detention', 'condition', 'accuse', 'review', 'pavich', 'brashich', 'judge', 'may', 'thank', 'consider', 'motion', 'decision', 'writing', 'fix', 'date', 'hearing', 'anticipate', 'beginning', 'september', 'meeting', 'senior', 'legal', 'officer', 'trial', 'legal', 'officer', 'confer', 'judge', 'may', 'remind', 'fact', 'status', 'conference', 'timetable', 'september', 'matter', 'adjourn', 'september', 'meeting', 'senior', 'legal', 'officer', 'party', 'matter', 'require', 'attention', 'order', 'hearing', 'status', 'conference', 'adjourn', 'status', 'conference', 'open', 'tuesday', 'july', 'case']"
6696,"Public_Transcript_of_Hearing_August_29th_2003._(English,_91_Pages).txt","['friday', 'august', 'close', 'pages', 'close', 'open', 'judge', 'protect', 'protect', 'yes', 'believe', 'think', 'judge', 'remember', 'honestly', 'matter', 'think', 'know', 'judge', 'tell', 'need', 'hand', 'write', 'decision', 'matter', 'past', 'need', 'communicate', 'abroad', 'authority', 'know', 'cooperate', 'expect', 'follow', 'form', 'write', 'decision', 'number', 'matter', 'discuss', 'yesterday', 'little', 'bit', 'today', 'reason', 'depart', 'practice', 'date', 'submit', 'time', 'chief', 'conclude', 'open', 'difference', 'fact', 'cross', 'examination', 'relay', 'videolink', 'prejudice', 'chief', 'cross', 'previous', 'occasion', 'prejudice', 'course', 'right', 'want', 'prosecution', 'send', 'representative', 'ensure', 'certain', 'matter', 'free', 'change', 'longer', 'videolink', 'videolink', 'change', 'attitude', 'decision', 'hand', 'writing', 'instruction', 'roberts', 'sure', 'draft', 'prepared', 'available', 'file', 'week', 'like', 'raise', 'sun', 'judge', 'judge', 'right', 'thank', 'sun', 'judge', 'know', 'pity', 'adjourn', 'think', 'october', 'judge', 'october', 'tell', 'videolink', 'place', 'preference', 'yes', 'think', 'probably', 'simple', 'microphone', 'microphone', 'judge', 'remind', 'decision', 'precisely', 'subject', 'certification', 'medical', 'clearance', 'yes', 'judge', 'right', 'consultant', 'medical', 'advisor', 'obviously', 'yes', 'judge', 'right', 'relevant', 'inquiry', 'thank', 'judge', 'okay', 'thank', 'weekend', 'meet', 'conclude', 'labour', 'motion', 'thank', 'hearing', 'adjourn', 'reconvene', 'thursday', 'day', 'october', 'closed', 'friday', 'august', 'case', 'procedural', 'matter', 'closed', 'procedural', 'matter', 'procedural', 'matter', 'open']"
8353,"Public_Transcript_of_Hearing_February_1st,_2005_(English,_2_Pages).txt","['tuesday', 'february', 'open', 'commence', 'judge', 'accuse', 'inform', 'receive', 'report', 'detention', 'unit', 'accuse', 'ill', 'flu', 'doctor', 'submit', 'report', 'fax', 'later', 'today', 'condition', 'number', 'day', 'absent', 'happen', 'issue', 'order', 'resumption', 'trial', 'later', 'today', 'oblige', 'administrative', 'issue', 'follow', 'raise', 'event', 'mention', 'anoya', 'dare', 'rescheduling', 'sitting', 'day', 'interruption', 'disturbance', 'present', 'arrangement', 'conclusion', 'balevic', 'difficulty', 'possible', 'far', 'meet', 'spirit', 'order', 'suggest', 'roughly', 'rough', 'order', 'order', 'request', 'inform', 'particular', 'change', 'order', 'consequent', 'ill', 'health', 'accuse', 'generally', 'compliance', 'order', 'rough', 'order', 'forthcoming', 'judge', 'ensure', 'accuse', 'complie', 'yes', 'list', 'likely', 'running', 'order', 'difficult', 'course', 'territory', 'place', 'come', 'hope', 'understand', 'sure', 'experience', 'thing', 'change', 'people', 'drop', 'passage', 'time', 'fit', 'schedule', 'material', 'effect', 'list', 'point', 'understanding', 'difficulty', 'face', 'deal', 'run', 'order', 'judge', 'good', 'understanding', 'difficulty', 'face', 'accuse', 'face', 'prosecution', 'account', 'difficulty', 'thank', 'judge', 'adjourn', 'hearing', 'adjourn', 'sine', 'die', 'procedural', 'matters', 'open', 'tuesday', 'february', 'case']"
3884,"Public_Transcript_of_Hearing_24th_June_2002_(English,_17_Pages).txt","['monday', 'june', 'hearing', 'open', 'enter', 'commence', 'judge', 'may', 'transcript', 'record', 'present', 'purpose', 'hearing', 'review', 'position', 'contempt', 'counsel', 'represent', 'opportunity', 'submission', 'bear', 'mind', 'trial', 'act', 'summarily', 'exercise', 'inherent', 'power', 'relation', 'contempt', 'face', 'ask', 'introduce', 'heemskerk', 'could', 'like', 'record', 'heemskerk', 'thank', 'excellency', 'may', 'rebecca', 'heemskerk', 'lawyer', 'attorney', 'netherlands', 'maastricht', 'judge', 'may', 'thank', 'want', 'add', 'think', 'ask', 'report', 'yes', 'ask', 'report', 'aware', 'provide', 'reason', 'provide', 'thing', 'life', 'request', 'clarification', 'think', 'june', 'short', 'closed', 'notice', 'appeal', 'follow', 'fairly', 'shortly', 'application', 'delay', 'hearten', 'know', 'heemskerk', 'involve', 'contact', 'meeting', 'hague', 'week', 'good', 'turn', 'come', 'able', 'identify', 'certain', 'transcript', 'transcript', 'later', 'transcript', 'closed', 'previously', 'able', 'transcript', 'day', 'meeting', 'look', 'access', 'transcript', 'able', 'resolve', 'common', 'approach', 'factual', 'legal', 'position', 'sensible', 'course', 'representation', 'leave', 'reply', 'course', 'judge', 'may', 'yes', 'translation', 'magazine', 'wave', 'request', 'judge', 'course', 'proceeding', 'judge', 'may', 'fact', 'hand', 'judge', 'may', 'heemskerk', 'like', 'matter', 'accuse', 'represent', 'finding', 'hear', 'submission', 'think', 'proper', 'could', 'remember', 'microphone', 'heemskerk', 'sorry', 'thank', 'excellency', 'submission', 'like', 'point', 'proceeding', 'june', 'believe', 'june', 'trial', 'notify', 'hear', 'file', 'appeal', 'way', 'proceeding', 'happen', 'today', 'think', 'issue', 'truly', 'position', 'client', 'refuse', 'testify', 'concede', 'june', 'actually', 'try', 'explain', 'talk', 'client', 'long', 'hard', 'difficulty', 'brother', 'hint', 'think', 'time', 'trial', 'explain', 'position', 'judge', 'may', 'yes', 'heemskerk', 'okay', 'thing', 'judge', 'may', 'open', 'want', 'want', 'closed', 'heemskerk', 'yes', 'like', 'application', 'closed', 'discuss', 'delicacy', 'judge', 'may', 'yes', 'close', 'pages', 'closed', 'open', 'judge', 'may', 'course', 'closed', 'submission', 'counsel', 'address', 'prosecution', 'address', 'position', 'proceeding', 'adjourn', 'adjourn', 'date', 'fix', 'discussion', 'adjourn', 'hearing', 'adjourn', 'hearing', 'open', 'monday', 'june', 'case', 'hearing', 'closed', 'hearing', 'open']"
4039,"Public_Transcript_of_Hearing_24_November_2000_(English,_17_Pages).txt","['friday', 'november', 'status', 'conference', 'open', 'accuse', 'enter', 'commence', 'judge', 'case', 'yes', 'case', 'number', 'versus', 'nikolic', 'judge', 'appearance', 'prosecution', 'dirk', 'prosecution', 'counsel', 'dermot', 'daryl', 'mundis', 'judge', 'thank', 'accuse', 'morrison', 'morrison', 'yes', 'howard', 'morrison', 'accuse', 'dragan', 'nikolic', 'judge', 'thank', 'nikolic', 'able', 'hear', 'proceeding', 'language', 'understand', 'accused', 'yes', 'judge', 'thank', 'raise', 'issue', 'protective', 'measure', 'later', 'closed', 'stage', 'proceeding', 'hold', 'pursuant', 'morrison', 'matter', 'wish', 'raise', 'accordance', 'morrison', 'specific', 'matter', 'outside', 'ambit', 'protective', 'measure', 'wish', 'raise', 'probably', 'raise', 'closed', 'judge', 'thank', 'matter', 'want', 'raise', 'thank', 'judge', 'right', 'closed', 'matter', 'courtroom', 'like', 'shoebox', 'pages', 'status', 'conference', 'adjourn', 'status', 'conference', 'open', 'friday', 'november', 'case', 'status', 'conference']"
