,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
sub_topic_0,0.00014654607,6.603521e-05,4.3513544e-05,1.30764865e-05,3.7922614e-06,6.218073e-05,0.00037362348,7.489495e-05,3.4036137e-05,0.0016527846,0.00014513567,0.00028605215,4.2730717e-06,1.209518e-05,0.0002772305,0.74403703,5.620144e-05,1.267507e-05,3.4209832e-05,3.7338061e-06
sub_topic_1,0.0114292605,0.00092687074,0.00901976,0.00040061542,0.0005259556,0.003615216,0.00163594,0.00090237433,0.0014442912,0.02852864,0.0036629236,0.007068792,0.0026007867,0.0005318734,0.0015152699,0.0107648615,0.023669876,8.1757455e-05,0.008808624,0.00043012958
sub_topic_2,0.0025398596,0.0010656638,0.0024325587,0.00012553939,0.052096765,0.00063710887,0.0025784683,0.0020433466,0.0040971115,0.0015586228,0.0006062733,0.012908372,0.0015777815,0.06826279,0.0007499048,0.0013214459,0.0012647718,4.981509e-05,0.0006108784,0.0010282622
sub_topic_3,5.779711e-05,0.00022258206,0.0012639869,4.760654e-05,3.2546464e-05,5.740048e-05,3.7218393e-05,0.00036328792,0.0003713442,6.683508e-05,0.24528709,0.0024770459,1.0933539e-05,5.3228465e-05,0.002037683,0.00014312602,0.00026646676,7.743843e-05,2.3896364e-05,1.43805655e-05
sub_topic_4,0.38950557,0.000103158105,0.0024678016,3.464861e-05,1.1284786e-05,0.00025494493,0.00061285926,0.001332079,9.0110974e-05,0.00015514014,0.00035472348,0.00018397532,1.252661e-05,1.140279e-05,4.8327685e-05,0.0005155503,5.5661378e-05,8.270974e-06,4.1758332e-05,2.1678174e-05
sub_topic_5,0.0018869891,0.00020395366,0.19977932,0.00022160153,8.704003e-06,0.0036749167,0.00060141424,0.0013300414,3.2760432e-05,0.0004727909,0.0020581952,3.2537493e-05,1.0536586e-05,2.2050617e-06,4.7263828e-05,0.00062564877,0.00021960295,1.7468466e-05,0.00035313555,1.3664114e-05
sub_topic_6,5.8664413e-05,0.0060509215,0.00022865503,0.00024046362,3.559475e-05,9.620563e-05,0.00045944183,7.402909e-05,6.7052642e-06,0.00065078755,0.00023329322,1.9581482e-06,0.0021363168,1.7590653e-05,0.00022311753,0.0001601321,0.0005945407,0.7414193,0.0001066556,0.00019100451
sub_topic_7,0.00028167688,0.00020290713,0.00043693453,2.2089856e-05,0.63077474,5.0782575e-05,0.00022370892,0.00057562994,0.00019993057,0.00030899793,0.0003522637,0.00055804517,1.822026e-05,0.0013591063,0.000119503726,0.00022190715,0.0003145251,1.1463957e-05,7.9052945e-05,0.00023384884
sub_topic_8,4.20453e-05,8.409743e-05,4.785515e-05,3.116327e-05,4.4768567e-06,9.547371e-05,0.8866039,7.041336e-05,7.749353e-06,0.0006567074,2.1142065e-05,1.0466413e-05,1.3941013e-05,8.976001e-06,7.034997e-05,0.00060182245,0.00015972542,2.3492254e-05,4.4017303e-05,2.589437e-06
sub_topic_9,3.6588444e-05,6.1472356e-06,1.1213605e-05,0.00037081874,1.1500062e-07,1.6926876e-06,0.0005790105,1.20725035e-05,0.29477146,3.172576e-06,0.00032977015,2.4660489e-05,2.2112313e-06,2.5602867e-06,1.3016971e-05,4.515207e-06,3.19384e-06,7.390969e-07,6.925606e-06,0.0
sub_topic_10,0.028891424,0.0032568313,0.010303786,0.00053323666,0.0068439697,0.0008212298,0.014890834,0.02194838,0.0007836289,0.0041296454,0.0013072364,0.00011665153,0.00033212846,0.001316209,2.0076412e-05,0.0030769163,0.0005407515,0.00010544,0.0006824833,0.013817458
sub_topic_11,0.00019772605,3.635448e-05,0.00024757796,0.0015123886,1.3720713e-05,0.0003600876,0.00039565697,0.00024970178,1.7011667e-05,0.00074768334,7.370762e-05,6.0207276e-05,3.60627e-05,6.7134856e-06,0.00060369424,0.000578234,0.0034916105,2.745735e-05,0.35612926,4.858367e-05
sub_topic_12,2.5003146e-05,0.00014133935,0.00019274151,0.97247636,3.528714e-08,0.00017087579,1.7825589e-05,0.00017840207,7.5409436e-05,2.0541847e-06,4.1121886e-05,3.984055e-06,2.0442241e-05,1.1915793e-05,2.8955828e-06,4.564767e-06,0.00026138063,1.1862199e-05,6.445172e-05,7.920431e-05
sub_topic_13,0.0063052713,0.0008219098,0.022400925,0.00063941797,0.000106013176,0.0062517053,0.0017682011,0.008407673,0.009841311,0.00046179804,0.004675949,0.007925477,1.2420956e-05,0.00044955726,0.00096896966,0.0034644117,0.00030440648,2.5887673e-05,0.00033651837,8.2207145e-05
sub_topic_14,0.00018372833,0.00027737115,0.000112114154,8.093176e-05,0.00059582706,0.00016871942,0.00012270806,2.5338844e-05,0.0054864637,0.00024962222,4.4943405e-05,4.6463898e-05,0.00017189943,0.0016896001,0.000492747,0.00084814447,0.00015713033,0.024303894,0.0006829675,0.020867376
sub_topic_15,0.0008480948,0.0006967102,0.00067524787,0.0039102016,7.2002455e-05,0.00024417893,0.0014954804,0.00042936968,0.0003604258,0.0011843987,0.0016791434,0.0002798025,0.50504786,0.00031503965,0.0010868541,0.00044097492,0.0027068097,0.00017506958,0.0015381037,0.0015492189
sub_topic_16,0.0009791175,0.011474576,0.0029302083,0.0036252588,7.766413e-06,0.0007611207,0.0015560692,0.0006624426,3.313232e-05,0.008720538,0.0017694616,2.4066767e-06,0.009635182,1.35804685e-05,0.00092014176,0.0008805336,0.0024163248,0.19702667,0.00055135804,0.0003025618
sub_topic_17,0.52587515,4.9584774e-05,8.566243e-05,4.3999975e-05,5.5128553e-06,9.042604e-05,7.7486766e-05,8.87259e-05,0.00014807162,0.00020276141,0.000618439,8.236143e-05,2.2201126e-05,1.2553416e-05,2.3551307e-05,0.0002044059,9.7699965e-05,9.349158e-06,0.000106346524,1.8627641e-05
sub_topic_18,4.334899e-05,0.0002044754,5.685868e-05,1.9121691e-05,4.4587186e-06,1.6627933e-05,0.00012065109,2.0306783e-05,2.2305544e-06,0.28861606,6.305307e-05,3.3428535e-06,5.838834e-05,1.139945e-06,0.00010917372,0.0001113787,6.299974e-05,0.00090691366,4.5341752e-05,7.836771e-06
sub_topic_19,1.7595537e-05,7.337765e-05,3.9190232e-05,7.4528034e-05,2.1171854e-06,0.0017318883,8.805427e-05,3.7436203e-05,6.6596162e-06,0.00013635693,3.5464785e-05,3.5415699e-06,7.434724e-05,8.1995836e-07,3.309416e-05,4.719311e-05,0.49554807,0.00015615947,3.501127e-05,0.000119263714
sub_topic_20,0.00020395458,0.00028817076,0.00019975135,3.1630214e-05,0.0004680573,4.239604e-05,0.00037159096,0.0005330052,0.0011613625,0.0015487984,0.0012516377,0.37419814,1.0246849e-05,0.0001390391,0.02492047,0.0045863925,0.0002989557,4.481751e-06,8.8138055e-05,0.00016936673
sub_topic_21,5.6529574e-05,0.00015582764,7.365876e-05,0.0007599915,4.6161686e-06,0.0005829529,5.7791338e-05,0.22886668,2.3874003e-05,2.7156908e-05,0.0014463328,0.00030505203,2.0491805e-06,1.823442e-05,0.0016063733,7.083701e-05,0.005665188,3.0928262e-05,0.0006859983,0.00060945755
sub_topic_22,9.233031e-05,0.00013510165,0.00031379075,0.0015118156,1.2469479e-06,0.00014428899,0.00043122764,3.658564e-05,1.2702088e-05,0.0006638965,0.00011056443,6.8728305e-06,0.0013214046,3.7769203e-06,0.00043308016,0.0004164693,0.00029603805,0.00054554443,0.28889954,0.00017407961
