,file_name,words
10562,"Public_Transcript_of_Status_Conference_11_Dec.1997_(English,_30_Pages).txt","['thursday', 'december', 'closed', 'closed', 'status', 'conference', 'colleague', 'additional', 'observation', 'judge', 'judge', 'shahabuddeen', 'comment', 'case', 'present', 'status', 'conference', 'adjourn', 'meet', 'tomorrow', 'thank', 'hearing', 'adjourn', 'status', 'conference', 'closed', 'thursday', 'december', 'case']"
3679,"Public_Transcript_of_Hearing_23_April_2001_(English,_18_Pages).txt","['monday', 'april', 'open', 'accuse', 'enter', 'commence', 'judge', 'vucicevic', 'receipt', 'application', 'respect', 'client', 'today', 'hear', 'briefly', 'matter', 'hear', 'closed', 'close', 'pages', 'closed', 'hearing', 'adjourn', 'reconvene', 'tuesday', 'day', 'april', 'evidentiary', 'matters', 'closed', 'monday', 'april', 'case']"
4631,"Public_Transcript_of_Hearing_27_March_2002_(English,_11_Pages).txt","['wednesday', 'march', 'status', 'conference', 'open', 'commence', 'judge', 'status', 'conference', 'matter', 'need', 'deal', 'proceeding', 'continue', 'necessary', 'discuss', 'want', 'hold', 'status', 'conference', 'pages', 'status', 'conference', 'adjourn', 'status', 'conference', 'wednesday', 'march', 'case', 'status', 'conference']"
8334,"Public_Transcript_of_Hearing_February_18th,_2004_(English,_1_Pages).txt","['tuesday', 'february', 'open', 'commence', 'accuse', 'present', 'judge', 'evident', 'accuse', 'present', 'receive', 'information', 'short', 'ago', 'detention', 'unit', 'accuse', 'indispose', 'position', 'attend', 'today', 'expect', 'medical', 'report', 'hour', 'party', 'abreast', 'situation', 'matter', 'wish', 'raise', 'adjourn', 'adjourn', 'hearing', 'adjourn', 'sine', 'die', 'procedural', 'matter', 'open', 'wednesday', 'february', 'case']"
4662,"Public_Transcript_of_Hearing_27_November_1998_(English,_94_Pages).txt","['friday', 'november', 'open', 'commence', 'judge', 'seat', 'accuse', 'bring', 'accuse', 'entered', 'judge', 'good', 'morning', 'want', 'sure', 'everybody', 'hear', 'equipment', 'work', 'right', 'good', 'morning', 'good', 'morning', 'prosecution', 'good', 'morning', 'accuse', 'welcome', 'roeland', 'hope', 'spend', 'time', 'like', 'usual', 'family', 'problem', 'today', 'leave', 'thank', 'agree', 'replace', 'floor', 'introduction', 'new', 'morning', 'work', 'usually', 'friday', 'break', 'minute', 'break', 'ahead', 'thank', 'president', 'good', 'morning', 'president', 'morning', 'ask', 'testify', 'close', 'explain', 'rational', 'moment', 'judge', 'right', 'let', 'explain', 'want', 'close', 'close', 'closed', 'proceeding', 'adjourn', 'reconvene', 'monday', 'day', 'december', 'procedural', 'matter', 'open', 'friday', 'november', 'case', 'procedural', 'matter', 'closed']"
