,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34
sub_topic_0,0.020287616,0.00024682685,0.0006595952,0.00013016355,0.00013179531,0.005389192,4.7966165e-05,2.4172882e-06,1.0376248e-06,0.0013567827,0.00021511408,2.711081e-05,0.000107030384,0.00078546134,0.00013336402,0.00016236301,0.00017457828,5.8568276e-05,8.5675856e-05,3.1045267e-05,0.000283698,0.00022613704,0.0006621643,5.1862802e-08,4.480955e-05,4.6991678e-05,3.384858e-05,9.5440286e-05,0.0007375218,0.008214704,0.0042957496,2.7542133e-05,6.488004e-05,0.0002890783,0.0004257712
sub_topic_1,6.312321e-05,0.00030841306,7.9635545e-05,0.00018648224,0.00011501447,1.5786507e-05,5.019538e-05,0.00018098514,7.050803e-05,0.0002282597,0.0021041404,0.00016806791,1.607621e-05,0.0003066007,0.0022737347,0.0008218585,3.2256958e-05,1.0592337e-05,5.5318345e-05,1.70437e-05,1.1716382e-05,0.00062785007,0.00013593656,5.211557e-05,0.005733584,7.588051e-05,0.00066487293,5.6383942e-05,0.00029580313,9.836795e-05,0.0009374739,0.6581675,3.055434e-05,0.00014989868,0.00020056854
sub_topic_2,0.002070962,0.0015507174,0.0020380951,0.0003806376,0.0010836069,0.000453814,0.0017273407,0.014665129,0.08090939,0.00036799163,0.0018298734,0.0044555594,0.00076230295,0.0011376204,0.00094757235,0.010292437,0.0002428521,3.2829037e-05,0.0002139192,0.00021574007,1.3261226e-05,0.0014528041,0.00015662517,0.0014749805,0.0031753064,0.0013110738,0.0013482331,0.0034187213,0.0012847951,0.0003950561,0.0048129307,0.0013409215,0.010993403,0.0004514873,0.0013179112
sub_topic_3,5.100035e-05,0.00020586184,0.0027432872,0.00036993076,0.00018599218,0.00010848019,8.985201e-05,0.00016438989,0.00032307545,9.9403725e-05,0.0007759239,0.000106650055,0.00019457919,0.000533861,0.00058016856,1.579114e-05,0.00106907,6.912448e-05,3.7852064e-05,0.0013067969,2.7364676e-05,0.0003374592,0.00643777,0.0001245902,0.0035462666,0.00010766996,0.000183554,0.00018268693,0.0001161642,0.0003046323,0.19418423,0.002656681,0.000112311034,0.0011863272,0.00018139467
sub_topic_4,0.00060327584,9.550223e-05,0.0014161589,3.1372674e-05,1.6736542e-05,6.052953e-05,8.799515e-05,5.9333765e-05,2.5343546e-05,6.9012276e-05,0.00010752049,9.133877e-05,9.423404e-05,0.00011394275,2.3567563e-05,0.00019159328,0.00019210264,5.9390345e-06,3.9228915e-05,0.00017590515,7.8324e-06,0.00012607824,0.00014077703,8.870918e-06,6.163329e-06,6.8279056e-05,0.0015611327,4.9430608e-05,0.0003876228,3.8341233e-05,0.00015376315,4.8227867e-06,0.8732093,0.00024904218,0.000102097736
sub_topic_5,0.000102845435,1.1625657e-05,0.9356296,2.9217561e-05,5.107121e-06,9.588927e-05,4.135627e-06,1.4697039e-06,8.5234e-07,2.4677005e-05,7.492441e-05,4.2321622e-05,3.6391684e-05,2.4288864e-05,1.2873825e-05,3.4697023e-05,0.0008305285,1.1057172e-06,9.182219e-06,5.465403e-06,2.479085e-06,4.293092e-05,3.5566736e-05,0.0,7.906789e-06,5.355134e-06,0.00017624069,1.8925175e-06,5.0053408e-05,3.4495006e-05,0.00029427695,6.1489363e-06,0.00014535655,0.00040477855,0.00011755785
sub_topic_6,8.983804e-05,0.010288903,0.00014081644,0.0002501198,2.2751587e-05,0.0011426918,0.003040315,2.731901e-05,2.385447e-06,0.0009787602,4.060489e-05,1.8554e-07,0.003480611,0.000457287,0.0005576947,4.2194333e-06,0.002457116,0.6671255,3.8419832e-05,0.00017885418,0.0017602375,0.0017099123,0.0015837154,9.374393e-05,3.3748765e-05,1.622681e-05,0.00055552454,0.0006888304,0.00015345502,8.145553e-05,2.1910271e-05,2.6982287e-05,7.367002e-05,0.00023822857,2.3357527e-05
sub_topic_7,0.00017792666,0.00023839161,0.0003082847,5.3868665e-05,1.8309467e-05,1.7362736e-05,9.163987e-05,0.716046,0.00026057602,9.8899545e-05,0.00021245761,7.9348385e-05,0.000111944275,0.0005322525,6.169835e-05,3.579468e-05,0.00010249987,2.216637e-05,7.008607e-05,0.00020924892,1.8334897e-06,0.00037521648,0.00016668288,0.0017913837,0.0005769301,0.00021151037,0.00019838006,0.00060338195,0.00026539902,5.1497518e-05,0.0005554318,0.00023234045,0.0014460447,0.000106749874,9.4368224e-05
sub_topic_8,7.884387e-05,6.207105e-05,0.00016989635,8.2363375e-05,1.3775672e-05,0.00031327145,0.00028040123,2.067796e-06,2.2497525e-06,0.0012552765,6.2333704e-05,5.8002943e-06,2.164816e-05,0.00090190966,0.00010172963,0.000190266,3.3622542e-05,2.562326e-05,6.513478e-06,3.6102492e-06,1.1902052e-05,0.00011060062,2.5459472e-05,7.879005e-06,3.1713364e-05,3.820692e-06,0.00011275547,1.0113396e-05,0.90243626,0.00043870218,3.8628386e-06,3.082196e-05,3.9769806e-05,5.8919944e-05,0.0005184023
sub_topic_9,9.7885095e-05,8.622875e-05,3.2403776e-05,7.963587e-06,3.4134591e-06,0.00029143307,1.7243921e-05,4.3643016e-07,5.9988434e-07,6.801148e-05,0.00063525577,6.5561903e-06,4.665548e-06,6.526359e-05,0.0001845718,7.3735673e-06,3.2918255e-05,0.00011447699,5.3101085e-06,8.821422e-06,1.4434912e-05,0.00022958798,0.96278524,0.0,0.00024417607,7.747419e-07,0.00011029832,4.907464e-06,2.2288184e-05,8.510937e-06,0.00020571866,4.032999e-05,7.003992e-06,0.0013072803,6.4657684e-06
