,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33
sub_topic_0,0.028386008,0.00036068534,0.011664802,0.0074656797,0.00046249642,0.0121138515,0.00015479959,2.8186707e-05,1.06390835e-05,0.029073523,0.0019982196,0.0006434508,0.00032048926,0.030909138,0.00032009845,0.001914674,0.0035395112,1.68571e-05,0.00025507077,4.7367874e-05,0.0003474864,0.0006138063,0.0017346608,8.541659e-05,0.0017670355,9.463719e-05,0.00015409307,0.00061673234,0.0296091,0.023126429,0.00045640196,0.00069771666,0.0013756136,0.006059904
sub_topic_1,5.9993516e-05,0.00031387765,6.867169e-05,0.00018465218,7.483488e-05,5.5515375e-05,6.1798986e-05,0.0002158173,4.690378e-05,0.0003036955,0.0021383127,0.00018297751,1.586434e-05,0.00034759208,0.0027902399,0.00090996106,3.082214e-05,7.0521296e-06,6.669669e-05,1.0379829e-05,9.793612e-06,0.0012030412,0.00037081467,8.207573e-05,0.0073083523,6.742709e-05,0.00046138672,4.769106e-05,0.0004029781,8.275095e-05,0.001082857,0.6103115,2.2299459e-05,6.5760636e-05
sub_topic_2,0.0034934431,0.0012766379,0.0025705998,0.0005823074,0.0010567452,0.0011571639,0.0015438315,0.022847194,0.05143375,0.00040532855,0.0050636847,0.0037710664,0.00047364164,0.0010975364,0.00044167534,0.015450702,0.00027217178,1.9119747e-05,0.00021584156,0.00029218613,6.532306e-06,0.0013331226,0.00013599568,0.00067442295,0.005900047,0.0022953001,0.0010823789,0.0042707687,0.0020581044,0.00069177244,0.0044411733,0.0014272201,0.015954904,0.0011440914
sub_topic_3,0.00039018647,8.8343615e-05,0.00028557266,6.220277e-05,4.0062864e-06,0.000783569,2.5544456e-05,1.527659e-06,7.375252e-07,9.638536e-05,8.1296435e-05,6.995956e-05,2.394565e-05,0.000120475925,4.3828604e-05,5.369441e-05,2.3174098e-05,0.00018497491,2.3607816e-05,1.7229908e-06,2.0837942e-05,0.00021628922,0.0028960067,1.2023849e-06,9.24331e-06,1.7450362e-06,9.961234e-05,8.475495e-05,0.00024434188,0.00011373285,8.0271835e-05,9.796894e-06,3.2306194e-05,0.43357587
sub_topic_4,0.00072164385,8.958924e-05,0.0017025333,4.9950555e-05,1.3307972e-05,7.0175876e-05,9.648507e-05,7.077995e-05,3.268927e-05,7.19877e-05,0.00015310221,0.0001143458,7.002242e-05,0.0001242147,2.3007664e-05,0.00027173862,0.00019345612,6.197291e-06,3.9481074e-05,0.00015561297,4.5459933e-06,0.00012614412,0.00016111045,1.23667e-05,2.0801013e-05,6.333973e-05,0.0014265241,5.781346e-05,0.00041232776,3.1350548e-05,0.000333414,1.180641e-05,0.94954103,0.0002840001
sub_topic_5,0.00010535273,1.1363967e-05,0.9498562,3.5433357e-05,3.404397e-06,9.761346e-05,4.9982077e-06,2.0490143e-06,1.5108473e-06,2.2396467e-05,5.6138415e-05,5.939487e-05,1.5605121e-05,2.4984232e-05,1.4021778e-05,2.7492768e-05,0.00084473053,1.3073488e-06,1.24903945e-05,5.0659105e-06,2.6782184e-06,3.8053386e-05,5.8264395e-05,1.4586979e-07,1.586229e-05,5.788089e-06,0.00017670836,2.9422679e-06,5.2468084e-05,3.092813e-05,0.00045597146,8.828764e-06,0.00013244686,0.00031856395
sub_topic_6,9.6541866e-05,0.010099183,0.00016792395,0.00019910437,2.2175438e-05,7.195274e-05,0.002482631,2.5070469e-05,3.4507002e-06,0.00097555114,1.9218247e-05,4.873976e-07,0.004896312,0.00044788272,0.0011562369,3.92075e-07,0.0026813215,0.69534165,5.8782152e-05,9.5523625e-05,0.0022471477,0.0013043876,0.0013990663,0.00027219407,3.9662278e-05,2.1950036e-05,0.0005551382,0.00063105574,0.00013159444,5.3464984e-05,2.733389e-05,2.0529455e-05,8.310442e-05,0.00031175182
sub_topic_7,0.00018531333,0.00032060727,0.00033205943,6.241544e-05,1.4216233e-05,6.201262e-05,0.00012987484,0.73250777,0.00036020813,9.421239e-05,0.00012631739,8.127374e-05,0.00012311732,0.00052180357,5.9191025e-05,2.5097508e-05,0.00011132479,2.9819239e-05,9.7786775e-05,0.00018235389,8.638882e-07,0.00046478017,0.00015734219,0.0019646937,0.0006347824,0.00021730026,0.00022351336,0.00063572166,0.00028426776,4.4519365e-05,0.00055347197,0.00020556293,0.001654082,0.00010036472
sub_topic_8,9.1023845e-05,6.648077e-05,0.0001782041,7.7859e-05,1.3324719e-05,0.0010058752,0.0003258769,3.913594e-06,3.075686e-06,0.0011344214,5.075027e-05,2.2875078e-05,2.0312453e-05,0.0008837729,0.0001307392,0.00021210345,3.304345e-05,2.1693559e-05,2.5022795e-05,2.0068253e-06,9.00885e-06,0.000118220836,3.870061e-05,3.427043e-05,2.7475004e-05,4.7298217e-06,0.00013856612,1.5699108e-05,0.9371871,0.00041294855,9.414443e-06,4.677318e-05,5.338936e-05,0.00014440947
sub_topic_9,0.0003306644,0.0006748254,5.0273076e-05,3.2069875e-05,0.00011514569,7.590197e-05,5.7597276e-06,7.309008e-06,5.777735e-05,1.5402078e-05,0.57442045,0.0001561662,1.3821202e-05,3.580242e-05,0.00050494145,3.5678455e-05,3.589887e-05,3.6276936e-06,0.00018275602,6.8501e-06,1.118928e-05,0.00054161804,0.00034088257,2.5792313e-05,3.5630397e-05,5.2032698e-05,0.001317799,1.9726724e-05,7.565396e-05,1.3714012e-05,9.870616e-05,0.001287398,2.7309497e-05,0.00020181213
sub_topic_10,7.422852e-05,3.7866474e-05,1.44604655e-05,2.6877076e-05,2.9329765e-06,1.7787723e-05,8.534964e-05,8.550056e-06,3.2558444e-06,0.0010897913,2.8184611e-05,2.9099065e-06,1.2023381e-05,0.38825715,0.00018494458,0.0002844921,1.8369237e-05,1.8937542e-05,6.378718e-06,1.5318157e-06,2.5461325e-06,6.105264e-05,9.4936026e-05,6.8442714e-06,0.0003382127,5.9615472e-06,2.5231397e-05,3.1533993e-05,0.0015033917,1.8460689e-05,7.766314e-06,3.0624553e-05,5.4069274e-06,2.942696e-05
sub_topic_11,0.00027716215,3.7436825e-05,0.00028791893,0.0025405358,2.1529164e-05,0.0002409557,0.00011227365,1.1000564e-05,4.08784e-06,0.00058348215,8.50175e-05,0.00013175773,5.0982602e-05,0.00042600348,0.00011626591,5.3174364e-05,0.00010413729,2.4159408e-05,0.001095766,7.4641e-05,5.467639e-05,5.336247e-05,0.0001330857,2.3508226e-05,7.003529e-05,1.2745243e-05,0.00016133704,3.3657783e-05,0.0008932156,0.3247991,2.9327057e-05,0.001549333,1.9721349e-05,6.021904e-05
sub_topic_12,9.88278e-05,8.9318e-05,0.00028319648,0.0003050848,2.1391928e-05,5.2108975e-05,2.4493e-06,8.977547e-07,4.184073e-05,1.2099247e-06,0.00016811107,0.0010676145,1.361194e-06,1.2165617e-05,3.3051708e-06,1.0918128e-06,6.402311e-05,2.5007444e-06,0.9815647,4.429733e-05,2.0244845e-05,0.00017196874,1.5235467e-05,2.6914581e-06,3.765226e-07,3.1837644e-05,0.0003139218,3.2811472e-06,1.1762399e-05,2.7563747e-05,1.156298e-06,5.695737e-05,7.763223e-06,0.000277499
sub_topic_13,0.0034744546,0.0010071765,0.0043657613,0.0005986958,0.16558841,0.001375363,0.0012078373,7.776502e-06,0.001368172,0.00036250858,0.009165931,0.008717822,0.0010224815,0.0035578227,0.00029643494,0.0028598804,0.00052202906,3.763024e-05,0.002934064,0.00044735472,0.000727097,0.0020396116,0.00019960602,0.0010182913,7.468711e-05,0.004851125,0.004738738,0.0027956471,0.003084983,0.0020185239,0.00050739094,0.00022781485,0.0011798132,0.004188572
sub_topic_14,0.00011734017,0.00042495286,0.0001465946,0.00011507367,5.2240663e-05,6.895825e-05,0.0003440802,7.0597176e-05,0.00014296136,3.368253e-05,9.4513714e-05,4.062472e-05,0.00047840254,0.00031308955,0.00019636824,2.8253491e-05,0.0001537202,0.0015917906,5.4893535e-05,0.0003381686,0.0002191345,0.00017424842,0.00012745823,6.749028e-05,9.664635e-05,0.00041501917,6.2388266e-05,0.9661354,4.011161e-05,0.00022996542,7.68824e-05,4.96221e-05,0.00017074893,0.0002583758
sub_topic_15,0.0008248621,0.0020351044,0.00063408166,0.0007896958,0.0007041228,0.0001706981,0.0011062339,0.0,5.0605795e-06,0.0019913248,7.0050833e-06,1.0567521e-06,0.0020132086,0.00048800735,0.00030767536,2.4950364e-07,0.0047836658,0.0029928198,0.0004611287,0.004360718,0.85177547,0.00027393177,0.0014223388,2.001131e-05,5.4373122e-05,0.00030462505,0.0002186053,5.292865e-05,0.00029177562,0.0047507263,2.5768166e-05,4.2075382e-05,5.9764523e-05,0.00026724473
sub_topic_16,6.14474e-06,0.00026031936,2.9109404e-05,8.018248e-06,3.4966938e-06,1.9081153e-05,0.00010586042,1.1323358e-05,1.5464974e-06,2.3475057e-05,1.5632768e-05,0.0,0.98296636,4.5803008e-05,5.0134022e-05,1.1473095e-06,5.582992e-05,0.0017854321,1.06502775e-05,1.0902847e-05,2.5283585e-05,4.5124896e-05,1.9694538e-05,2.0237343e-05,1.3821484e-06,2.535931e-06,5.7060515e-05,4.7684043e-05,2.3167753e-05,7.0098513e-06,1.745826e-05,6.587976e-06,9.232938e-06,2.7169528e-05
sub_topic_17,0.93314964,3.6397098e-05,0.00013764261,6.7171175e-05,2.218801e-05,7.203939e-05,1.8422032e-05,4.4436174e-06,1.0623589e-05,0.00016370855,0.00018511334,8.794293e-05,8.650989e-06,0.00021545005,3.971324e-05,5.8380443e-05,5.098169e-05,4.898092e-06,9.8018216e-05,1.3607503e-05,1.33190815e-05,5.3308693e-05,0.0007105837,6.826111e-06,0.00010860446,2.3292328e-05,7.543721e-05,2.7125754e-05,0.0001508498,9.531052e-05,2.756632e-05,2.2536236e-05,6.928463e-05,0.0003525644
sub_topic_18,4.2083095e-05,0.00014267788,5.0218812e-05,6.1936325e-06,1.9595432e-06,1.6263677e-05,4.9871574e-05,2.5715804e-06,0.0,0.207218,1.61359e-07,0.0,3.0786483e-05,7.023946e-05,0.00021750364,8.04008e-07,7.121031e-05,0.0016393459,5.5240334e-06,8.743616e-06,0.00022602471,0.0001017777,0.00025824865,4.2927513e-05,1.2295103e-05,3.433702e-06,4.8628033e-05,2.4094043e-05,4.138008e-05,3.786578e-05,4.802433e-06,3.6263943e-06,5.930669e-06,1.35655655e-05
sub_topic_19,0.00077867723,0.00022142733,0.00046358266,0.2898716,3.196074e-05,0.0046047517,4.731512e-05,1.2228835e-05,2.4482256e-06,0.0020257125,0.0005150833,8.3590436e-05,6.74508e-05,0.00064847455,0.00024447788,1.0187072e-05,0.00022790505,0.00013949707,0.00013799981,2.1638516e-05,0.0016797871,9.599829e-05,0.00019456338,0.00017968175,0.00012796179,1.5812731e-05,6.1917526e-05,0.00022934192,0.00036389864,0.0010009563,1.804468e-05,0.00018460667,2.2078912e-05,0.00045318287
sub_topic_20,0.001315214,0.00025554912,0.0022171794,6.642686e-05,9.290723e-05,0.0013605182,0.00026692808,0.00014322433,7.8004e-05,0.00056913006,0.0028438368,0.007688669,4.6901623e-05,0.0015488524,0.0032232169,0.944027,1.1050545e-05,2.6717332e-06,8.081529e-05,4.341237e-05,0.0,0.0017734296,0.00029071572,6.529458e-05,0.0007799229,0.0001599649,0.0023843062,0.00019476101,0.0025611036,0.00020264744,0.0024380728,0.002271933,0.004042072,0.0017386125
sub_topic_21,9.350693e-06,2.5535335e-05,2.0664667e-05,0.0012202354,5.438487e-06,0.00016366257,7.995561e-06,1.2711591e-05,9.141883e-06,1.5510732e-05,0.0015059576,5.6066212e-05,5.824879e-06,7.419897e-05,0.00021932178,4.5984092e-05,7.113148e-06,4.1264043e-06,0.0009109364,0.0037879548,7.873037e-07,7.510378e-05,0.000106540865,3.26639e-05,8.3496314e-05,2.7290932e-06,0.0013915895,8.244723e-07,4.972028e-05,0.00012641848,0.00017174067,0.33711272,3.1222391e-06,3.0394689e-05
sub_topic_22,7.307492e-05,8.074903e-05,9.970899e-05,4.080271e-05,3.575226e-05,3.247293e-05,8.097856e-05,6.5284485e-07,6.015326e-06,0.00027956814,1.0583143e-05,6.989143e-06,8.169217e-05,0.00029038833,0.00017747967,8.009706e-06,0.00019035778,0.00014121384,0.00013904172,0.00018722123,0.0019614806,6.5120825e-05,8.20468e-05,8.044162e-06,1.5482397e-05,3.7388632e-05,9.071405e-05,3.147318e-05,0.00032848472,0.33288336,2.713627e-05,9.154229e-05,6.778162e-06,3.8866845e-05
sub_topic_23,0.0008649016,0.00023069613,0.0011167469,0.0031650693,0.00016526,0.017228292,8.395612e-05,0.00023559661,0.00015795887,0.00022179444,0.37082964,0.00614692,0.00015659703,0.0009508827,6.787642e-05,0.0026829639,3.9058134e-05,1.48115705e-05,0.0019120802,8.941519e-05,3.620814e-06,0.0013796474,0.000119688295,7.1869006e-05,0.00010087473,0.0001606193,0.0020260878,0.00015610892,0.0022509492,0.0007561372,0.00037716696,0.0020570457,0.00040598068,0.0019013231
sub_topic_24,3.634464e-05,1.3323878e-05,8.350744e-06,1.2295304e-05,1.1563764e-05,1.6837856e-05,2.0872452e-05,6.022442e-07,2.920804e-06,0.00036841404,1.1850915e-05,2.0593534e-06,1.3290692e-05,0.5498406,2.4600831e-05,0.00013999217,8.12735e-06,1.0153982e-05,3.2833761e-06,2.9412365e-07,5.852994e-06,2.691542e-05,5.0823906e-05,1.3740777e-06,0.00010295465,3.4751417e-06,1.4272364e-05,1.2333029e-05,0.00013004016,2.9486342e-05,4.2361276e-06,1.25622255e-05,1.0734971e-06,2.25203e-05
sub_topic_25,0.0007368568,0.00018477469,0.00055354,0.00016895075,0.00067573605,9.194881e-05,0.00018365127,0.00023979157,0.00030242908,0.00013122016,0.00024390053,0.0002056061,0.00014325042,0.00025264965,0.00021143824,0.0002721458,0.00026814427,4.193549e-05,0.0003422108,0.0014202461,9.494606e-05,0.00016574177,0.00012257963,6.324892e-05,0.0009354477,0.9758539,0.00027676712,0.0010623118,0.00020453052,0.00036575008,0.00026883226,0.000314717,0.00058503903,0.00015642734
sub_topic_26,6.419251e-05,3.4842094e-05,2.4657464e-05,3.1223633e-05,4.7928625e-06,2.6340915e-05,7.792413e-06,5.412594e-06,0.0,0.73997545,1.39492e-05,0.0,4.7616936e-06,0.0015882838,0.0001136861,8.734866e-05,1.2193631e-05,7.838325e-06,2.2071808e-06,7.258349e-07,4.3079713e-06,4.138208e-05,3.8355218e-05,1.0332908e-06,9.9171935e-05,0.0,1.5645519e-05,0.00040169767,0.0023549234,6.0690927e-05,4.468418e-06,2.1680955e-05,2.9226578e-06,1.7968732e-05
sub_topic_27,1.2636904e-05,0.9663339,1.3428579e-05,5.103665e-06,3.958887e-06,1.64322e-05,0.00010021365,1.9550054e-05,1.8261312e-06,3.8809358e-05,3.2562337e-05,0.0,0.00012004363,3.2179443e-05,9.948465e-05,1.4571648e-07,1.1517061e-05,0.0003318923,1.46382245e-05,1.5533315e-06,2.5220228e-05,0.00022511846,4.2433585e-05,1.5624837e-05,5.468087e-06,2.8902548e-06,0.00029269233,1.8854847e-05,1.9223917e-05,1.8437752e-06,5.57976e-06,2.601998e-05,3.5080654e-06,4.0624105e-05
