,file_name,words
695,"Public_Transcript_of_Hearing_09_January_2008_(English,_108_Pages).txt","['wednesday', 'january', 'open', 'accuse', 'enter', 'accuse', 'pusic', 'present', 'commence', 'judge', 'kindly', 'case', 'good', 'morning', 'good', 'morning', 'courtroom', 'case', 'number', 'versus', 'prlic', 'thank', 'judge', 'thank', 'today', 'wednesday', 'greeting', 'people', 'courtroom', 'prosecution', 'team', 'team', 'accuse', 'good', 'wish', 'pusic', 'absent', 'today', 'proceed', 'work', 'believe', 'somebody', 'want', 'good', 'morning', 'president', 'good', 'morning', 'good', 'morning', 'brief', 'matter', 'close', 'pages', 'closed', 'hearing', 'adjourn', 'reconvene', 'thursday', 'day', 'january', 'resume', 'closed', 'cross', 'examination', 'wednesday', 'january', 'case', 'resume', 'closed', 'cross', 'examination']"
5255,"Public_transcript_of_Hearing_30_August_2001_(English,_5_Pages).txt","['thursday', 'august', 'open', 'accuse', 'enter', 'commence', 'judge', 'sir', 'ivan', 'lawrence', 'may', 'judge', 'yes', 'yes', 'pages', 'hearing', 'adjourn', 'reconvene', 'tuesday', 'day', 'august', 'procedural', 'matter', 'thursday', 'august', 'case', 'procedural', 'matter']"
8114,"Public_Transcript_of_Hearing_December_10th,_2001_(English,_76_Pages).txt","['monday', 'december', 'open', 'accuse', 'enter', 'commence', 'judge', 'case', 'good', 'morning', 'case', 'number', 'versus', 'mitar', 'judge', 'ready', 'yes', 'prosecution', 'entire', 'subject', 'testimony', 'judge', 'yes', 'thank', 'pages', 'hearing', 'adjourn', 'reconvene', 'tuesday', 'day', 'december', 'cross', 'examine', 'domazet', 'monday', 'december', 'case', 'cross', 'examine', 'domazet']"
8334,"Public_Transcript_of_Hearing_February_18th,_2004_(English,_1_Pages).txt","['tuesday', 'february', 'open', 'commence', 'accuse', 'present', 'judge', 'evident', 'accuse', 'present', 'receive', 'information', 'short', 'ago', 'detention', 'unit', 'accuse', 'indispose', 'position', 'attend', 'today', 'expect', 'medical', 'report', 'hour', 'party', 'abreast', 'situation', 'matter', 'wish', 'raise', 'adjourn', 'adjourn', 'hearing', 'adjourn', 'sine', 'die', 'procedural', 'matter', 'open', 'wednesday', 'february', 'case']"
1412,"Public_Transcript_of_Hearing_12_September_2007_(English,_107_Pages).txt","['wednesday', 'september', 'open', 'accuse', 'enter', 'commence', 'judge', 'kindly', 'case', 'good', 'morning', 'case', 'number', 'versus', 'prlic', 'thank', 'judge', 'thank', 'today', 'wednesday', 'september', 'resume', 'hearing', 'like', 'greet', 'representative', 'prosecution', 'counsel', 'accuse', 'people', 'assist', 'like', 'closed', 'bring', 'blind', 'close', 'pages', 'closed', 'hearing', 'adjourn', 'reconvene', 'thursday', 'day', 'september', 'resumed', 'closed', 'wednesday', 'september', 'case', 'procedural', 'matter', 'closed']"
