,file_name,words
5255,"Public_transcript_of_Hearing_30_August_2001_(English,_5_Pages).txt","['thursday', 'august', 'open', 'accuse', 'enter', 'commence', 'judge', 'sir', 'ivan', 'lawrence', 'may', 'judge', 'yes', 'yes', 'pages', 'hearing', 'adjourn', 'reconvene', 'tuesday', 'day', 'august', 'procedural', 'matter', 'thursday', 'august', 'case', 'procedural', 'matter']"
388,"Public_Transcript_of_Hearing_06_April_2009_(English,_81_Pages).txt","['monday', 'april', 'close', 'pages', 'closed', 'open', 'open', 'judge', 'moloto', 'can', 'come', 'close', 'madam', 'trial', 'confer', 'judge', 'moloto', 'cannata', 'foot', 'ask', 'open', 'somebody', 'help', 'curtain', 'blind', 'yes', 'cannata', 'cannata', 'good', 'morning', 'afraid', 'need', 'judge', 'moloto', 'yeah', 'cannata', 'yes', 'thank', 'judge', 'moloto', 'may', 'pages', 'open', 'open', 'judge', 'moloto', 'thank', 'sir', 'warn', 'suppose', 'discuss', 'case', 'stand', 'tomorrow', 'adjourn', 'tomorrow', 'morning', 'courtroom', 'adjourn', 'hearing', 'adjourn', 'reconvene', 'tuesday', 'day', 'april', 'procedural', 'matters', 'closed', 'monday', 'april', 'case', 'resume', 'closed', 'examination', 'bolton', 'cross', 'examination', 'lukic', 'procedural', 'matter', 'open']"
8656,"Public_Transcript_of_Hearing_January_24,_2006_(English,_95_Pages).txt","['tuesday', 'january', 'open', 'accuse', 'enter', 'enter', 'commence', 'judge', 'case', 'good', 'afternoon', 'case', 'number', 'versus', 'momcilo', 'krajisnik', 'pages', 'pages', 'hearing', 'adjourn', 'reconvene', 'wednesday', 'day', 'january', 'procedural', 'matter', 'open', 'tuesday', 'january', 'case', 'resume', 'open', 'cross', 'examine', 'continued', 'resume', 'cross', 'examine', 'continued']"
3599,"Public_Transcript_of_Hearing_22_May_2006_(English,_85_Pages).txt","['monday', 'may', 'open', 'accuse', 'enter', 'commence', 'judge', 'moloto', 'good', 'morning', 'everybody', 'milovancevic', 'hope', 'martic', 'recover', 'pass', 'good', 'wish', 'congratulation', 'recovery', 'guess', 'whiting', 'whiting', 'yes', 'handle', 'richterova', 'testify', 'closed', 'judge', 'moloto', 'richterova', 'richterova', 'ready', 'prosecution', 'like', 'judge', 'moloto', 'thank', 'richterova', 'come', 'close', 'pages', 'closed', 'hearing', 'adjourn', 'reconvene', 'tuesday', 'day', 'may', 'closed', 'examination', 'richterova', 'monday', 'may', 'case', 'closed', 'cross', 'examination', 'milovancevic']"
9534,"Public_Transcript_of_Hearing_March_6th,_2006_(English,_3_Pages).txt","['monday', 'march', 'open', 'accuse', 'enter', 'commence', 'judge', 'moloto', 'may', 'closed', 'close', 'open', 'open', 'judge', 'moloto', 'thank', 'matter', 'stand', 'adjourn', 'wednesday', 'march', 'quarter', 'past', 'courtroom', 'adjourn', 'hearing', 'adjourn', 'reconvene', 'wednesday', 'day', 'march', 'procedural', 'matter', 'closed', 'monday', 'march', 'case', 'procedural', 'matter', 'open']"
