,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27
sub_topic_0,0.013869926,0.0006152331,0.0074982233,0.00020537892,0.0006952863,0.023972133,0.0043504857,9.9869816e-05,5.9119706e-05,0.0010726072,0.0016887565,0.014136978,9.588487e-05,0.0007901776,0.00017272875,0.27744526,0.0007523494,1.0391076e-05,0.0023782554,0.00072881836,9.986987e-05,0.0035401476,0.0017737978,0.00013845367,4.2356623e-05,0.00012171643,0.003044694,0.004651735
sub_topic_1,0.0008803579,0.0006550613,0.0031108384,4.990418e-05,0.0024721043,9.679571e-05,0.00039500746,0.001981385,0.0010351769,0.00045314248,0.008648449,0.0012628817,0.0014282962,0.0011603166,0.002419845,0.00060173444,0.0043764804,5.7521178e-05,0.00062611717,0.0035281493,5.7957568e-05,0.00053063844,0.0009818616,0.00018870096,0.32637882,0.000876365,0.00016186181,0.005634925
sub_topic_2,4.32052e-06,2.4311486e-05,1.5051244e-05,5.426118e-06,7.1986046e-06,6.7509436e-06,0.00064146356,0.00014919142,4.460413e-05,1.9996145e-05,3.1144214e-06,1.4919316e-06,8.889885e-06,0.00040415974,4.326103e-05,1.6180597e-05,4.404886e-05,2.0188163e-05,8.1894495e-06,9.0575806e-05,8.320328e-06,1.104562e-05,1.137841e-05,0.23827566,8.455048e-06,1.6534138e-06,2.2181997e-05,3.6075366e-05
sub_topic_3,0.00023413052,4.3391596e-05,0.0005090663,0.00028885313,3.1495986e-06,6.0765506e-05,1.3073036e-05,3.068635e-06,4.944248e-05,8.826729e-06,0.00028295422,0.0001231052,1.3265201e-05,1.6625738e-05,1.3901581e-05,1.9099776e-05,1.3765422e-05,2.42223e-05,1.4671213e-05,8.453244e-05,6.4300657e-06,0.058171887,0.06924141,9.234871e-06,8.958948e-06,4.248626e-06,0.0009893681,1.861779e-05
sub_topic_4,0.009748181,0.0012894848,0.023056936,0.00042022328,3.1703894e-05,0.0034902687,0.0011459793,7.6440265e-05,6.561264e-05,0.0003225384,0.001646459,0.0033238549,9.284709e-05,0.0005996954,0.00024243795,0.011149825,0.00013762312,7.8851226e-05,0.00010274969,0.0006298786,5.099892e-05,0.016653517,0.004640446,4.3568296e-05,6.5488366e-06,5.2792595e-05,0.27135092,0.0001726621
sub_topic_5,5.8508194e-05,2.1236323e-05,0.05341726,5.423425e-06,2.507151e-06,1.0657735e-05,2.5625513e-05,5.8097595e-07,5.598947e-06,2.6849602e-05,1.4788496e-05,1.1411418e-05,0.0012600732,3.310721e-05,9.366415e-06,1.2987584e-05,0.010935485,2.1672962e-05,1.6145552e-05,2.3614435e-05,1.4288858e-05,9.870657e-05,5.8687983e-05,6.1194255e-06,3.2770837e-05,9.5293235e-06,2.7188938e-05,4.5413366e-05
sub_topic_6,6.6709305e-05,0.007900156,0.0001680976,7.367824e-05,8.0205955e-06,0.0001074557,0.0007806161,4.9802395e-05,4.1247577e-06,0.00084774557,1.2510101e-05,0.0,0.0016235866,0.0005381925,9.5749514e-05,6.6578573e-06,0.00023769589,0.60071313,1.8751045e-05,0.000112706286,0.00073847244,0.00028960945,0.00059189583,0.00012027881,1.9021116e-05,3.258425e-05,0.0002530792,0.00019864083
sub_topic_7,7.77293e-05,0.00032399528,0.00021684714,6.441063e-06,0.013508048,2.8970167e-05,9.880099e-05,0.6353427,0.0002126122,3.8681395e-05,0.00015315869,9.3790935e-05,1.4572874e-05,0.0004107523,5.4341806e-05,2.2447999e-05,0.00022096305,2.817843e-05,2.2298047e-05,0.00041096564,1.2148671e-06,0.00013884368,0.0001700065,0.0005093107,0.0013840874,0.00012100129,0.00014083569,0.00047126145
sub_topic_8,1.5122002e-05,4.996364e-05,3.0271269e-05,1.0548307e-05,2.6473922e-06,3.969961e-05,0.9439504,2.0023112e-06,2.7101466e-06,0.00022768455,1.5168322e-06,2.5992874e-06,1.178932e-05,0.00014332804,2.899946e-05,0.00012177062,2.1251188e-05,2.1353744e-05,1.1431181e-05,3.4641784e-05,2.0358515e-05,3.801742e-05,1.6242164e-05,3.5545418e-05,5.436123e-06,1.73366e-06,3.9118942e-05,0.00024861854
sub_topic_9,0.00013661032,0.00010707683,8.726911e-05,2.6944772e-05,0.0,1.6444006e-05,2.3711986e-05,1.7660133e-06,4.3064115e-06,5.9159327e-05,0.0008396781,3.662336e-05,5.647016e-06,3.3179556e-05,9.950724e-05,1.1369605e-05,9.237429e-06,7.845153e-05,3.1056832e-06,0.00019931697,4.3352975e-06,9.7906406e-05,0.5824675,8.869169e-06,0.00018007761,4.278235e-07,0.00017022254,8.2461775e-06
sub_topic_10,4.4199576e-05,2.9253522e-05,1.4186852e-05,6.2350978e-06,2.2785448e-06,1.2168381e-05,0.00013174921,2.2791428e-06,4.2464826e-06,0.00018151774,3.6063398e-06,2.3268483e-06,1.2185119e-05,0.96555424,8.2672326e-05,0.0021666277,4.182035e-05,2.2485927e-05,9.2680675e-06,3.0287682e-05,1.3784606e-05,1.2187951e-05,7.699142e-05,6.260943e-06,6.3527375e-05,3.1196255e-06,1.4254641e-05,0.00057725515
sub_topic_11,0.00058646826,5.8326048e-05,0.00047839514,0.00019053319,7.0417416e-05,6.571458e-05,5.733897e-05,2.8959287e-06,7.4128416e-06,0.0006926784,7.898773e-06,1.9176417e-05,7.1416165e-05,6.550559e-05,2.9646751e-05,0.000117375144,0.0002608249,2.4670959e-05,0.61540896,0.00025352344,0.0022107894,7.7955316e-05,0.00016187418,9.361996e-06,5.1045343e-05,0.0004511386,3.2520013e-05,0.00022424331
sub_topic_12,3.677871e-05,5.5313227e-05,0.00019310307,0.9605588,7.654705e-07,0.00025616866,7.5210664e-06,0.0,1.5244844e-05,6.544271e-07,6.052556e-06,0.00038366785,1.8261317e-05,8.012034e-06,1.9906838e-06,1.7442522e-06,0.00048047354,3.6369515e-06,2.7696671e-05,0.00020199738,1.7984372e-05,0.00013303978,3.7460915e-05,7.0885617e-06,3.2673807e-07,6.0120088e-05,0.00015797203,1.6966359e-06
sub_topic_13,0.0004142131,6.230115e-05,0.00029065987,0.00096643023,4.811606e-05,0.00030940407,0.00025778433,3.1555803e-05,0.00013636358,9.364858e-06,0.0009469158,0.9517655,5.317913e-06,3.0312005e-05,0.00011502017,0.0009446193,0.00023151343,1.5866806e-06,0.00012372172,0.0001846126,5.9829754e-06,0.00038005624,0.00018355991,5.058589e-06,5.517755e-05,5.3388158e-05,0.0006954854,2.970136e-05
sub_topic_14,0.0001853507,0.00014829595,0.00039714907,4.2082713e-05,0.00040807083,3.2025717e-05,0.0001386682,4.4949655e-05,9.2229144e-05,6.726499e-05,2.7138889e-05,3.2397547e-05,0.00036090592,5.7873778e-05,1.04368155e-05,3.3460667e-05,5.7363653e-05,0.0002454842,0.00087116775,7.6403725e-05,0.00041543378,0.00013477703,4.752898e-05,5.8942158e-05,0.00016560926,0.44067702,0.00010279641,0.00023059228
sub_topic_15,0.0016676271,0.0020202093,0.00064856483,0.013436944,6.0521335e-05,3.693877e-05,0.0020855311,0.0,0.0001350882,0.001696366,0.00022207307,0.0,0.13039537,0.00043636071,0.00035971115,4.7416182e-05,0.004087856,0.00019741994,0.0010139034,0.0010416547,0.048034832,0.0006182128,0.005588987,0.00058809464,0.0009442873,0.00026741324,0.00047041135,0.00026361307
sub_topic_16,0.00019116128,0.0009128092,0.0001619287,5.9448474e-05,9.726208e-05,0.00011547881,0.0002596864,0.00023826113,0.0019002068,1.7715416e-05,6.876461e-05,8.336767e-05,0.00048176336,0.0009530502,0.00012807082,3.3972185e-05,0.00020110644,0.009080518,0.00011621984,0.00020860886,0.0011633717,0.0003351328,0.00046018756,5.929813e-05,0.00033442077,0.004016491,0.000112106,0.07785541
sub_topic_17,0.9424597,6.504832e-05,0.00010912099,3.2562162e-05,1.4745378e-05,7.4520205e-05,5.133177e-05,1.7358026e-06,1.5503083e-05,9.5835414e-05,8.374604e-05,9.6332085e-05,1.2635141e-05,0.00013497935,2.6539825e-05,0.0001388347,0.00010762067,7.375503e-06,9.733155e-05,4.1196523e-05,1.5967458e-05,8.006987e-05,0.0008271373,7.5700314e-06,9.989735e-05,1.607135e-05,9.4940406e-05,0.00014198472
sub_topic_18,0.00010003445,0.00039871025,0.00013750464,1.6059126e-05,1.9267893e-06,2.6002015e-05,0.00024392214,9.601214e-07,0.0,0.9412584,3.6992517e-06,0.0,2.744331e-05,0.00022760447,0.0003467774,5.136508e-05,3.5665773e-05,0.001333372,1.8563174e-05,0.0001073278,0.00035760016,9.163532e-05,0.00023491995,4.4692984e-05,3.257364e-05,6.297277e-06,6.5369895e-05,0.00244964
sub_topic_19,0.00020200803,8.466867e-05,0.0002145042,0.0018493431,1.6084003e-05,0.0010589819,5.1559215e-05,1.8305609e-05,1.19780425e-05,0.00019845187,0.00010642708,0.00018212304,3.256555e-05,0.0002324508,9.150752e-05,0.00015475087,0.957107,4.284952e-05,0.00047619123,0.0010275865,0.00012807966,3.3097436e-05,0.00015054407,0.00012994457,0.0001887112,3.3213957e-05,3.5776116e-05,0.00085719355
sub_topic_20,0.0010214663,0.0001914719,0.00043554304,3.7289017e-05,8.0559694e-05,0.0002512256,0.0007812004,0.00020537642,0.00012147315,0.0005596098,0.004114133,0.0057350714,3.6038994e-06,0.0032284048,0.009788274,0.6711303,0.00012784102,7.1767763e-06,4.897996e-05,0.00036733886,1.2425307e-05,0.0012446019,0.0002276199,3.7362202e-05,0.00088542246,7.911693e-05,0.0018090153,0.0012666174
sub_topic_21,1.8180297e-05,2.732956e-05,5.164825e-05,0.0008124543,3.354337e-06,3.844188e-05,2.0916139e-05,7.311855e-05,2.1015427e-05,1.5289119e-05,0.0012600269,8.766377e-05,3.005883e-06,7.827609e-05,0.00043275798,1.989618e-05,0.00083953486,9.495241e-06,7.7913464e-05,0.7258406,4.1785563e-05,2.1491715e-05,6.5516535e-05,5.7948982e-05,0.00013532948,1.2499001e-05,0.00050020637,1.3043685e-05
sub_topic_22,0.00031452617,0.00061085133,0.0006442018,0.00029431167,5.0659846e-06,0.00012320039,0.0006067704,0.0,1.7429115e-06,0.0033997484,1.3472783e-05,1.0903589e-06,0.0004148813,0.00050301716,0.000215956,8.028459e-05,0.0002539427,0.0023960746,0.005528069,0.00063529826,0.7695116,0.00016157606,0.00038095016,1.6680015e-05,3.3313612e-05,0.00013607186,7.2757335e-05,0.00010963553
sub_topic_23,0.00079296133,0.0004918895,0.0022806763,0.0016260708,0.00020643721,0.052684236,0.016273754,0.00081487355,6.774497e-05,0.00035948397,0.0042021326,0.006617845,2.2053875e-05,0.0010315303,0.0005922118,0.012274122,0.00231658,6.2011626e-05,0.0012918076,0.01749055,2.2779233e-05,0.000866008,0.001246587,0.000113287715,0.00024754577,6.768205e-05,0.0035455301,0.002185718
sub_topic_24,5.5110064e-05,0.0002235537,0.000102325306,0.000739315,9.2437716e-07,0.0004693798,0.00015007253,1.9881678e-05,1.5043398e-06,0.00033322594,0.00019704671,2.6003732e-05,6.476459e-06,7.60874e-05,0.00076799997,9.9403725e-05,9.3493385e-05,0.00042873595,0.00012508774,0.2216749,0.00023586297,0.00025257672,0.0015225817,0.0001797081,2.5226973e-05,9.7759e-06,0.00629838,4.0407904e-05
sub_topic_25,0.0003643484,0.00015706525,0.00046079443,0.00047698218,0.0002241769,0.00024284753,9.497993e-05,0.00010811949,0.00023021628,0.00010369915,8.410784e-05,0.0003391181,0.0001329655,0.0001605966,0.00021378418,0.00014876944,0.00020396845,4.4602908e-05,0.00021043488,0.00032290755,3.1442738e-05,0.0001766346,0.00013923475,8.984572e-05,0.0007109427,0.50798184,0.000452131,0.000167411
sub_topic_26,0.00014807275,5.4538617e-05,7.388183e-05,8.643606e-06,4.1091414e-05,5.067104e-05,0.00039531698,1.443195e-05,7.2394423e-06,0.008565615,2.4474439e-05,1.12017615e-05,2.5268948e-05,0.00091269857,0.00012763141,0.00083461014,0.0003519139,4.894536e-06,7.1948445e-05,7.593978e-05,9.702528e-06,3.1292355e-05,6.0334743e-05,4.0972623e-06,8.599381e-05,3.603591e-06,3.2339172e-05,0.8780679
sub_topic_27,1.2807913e-05,0.54789823,1.5831827e-05,7.691596e-06,2.1589817e-06,9.727317e-06,5.468474e-05,2.871226e-05,5.544365e-07,5.860322e-05,1.1321328e-05,4.78926e-07,3.3556313e-05,2.5055499e-05,4.1927444e-05,9.476011e-07,9.733271e-06,0.00033579074,1.0762311e-06,1.9571717e-05,1.2324771e-05,3.6006066e-05,5.3477164e-05,1.0172772e-05,4.5181737e-06,3.0090064e-06,0.00021518495,1.8251823e-05
sub_topic_28,0.0043825507,0.012855043,0.002810901,0.0018851274,0.00045758585,0.0052247033,0.0040249736,5.4340515e-05,0.0037360506,0.0026636447,0.0014070335,0.00057681405,0.08171492,0.0066869813,0.004279199,0.000513304,0.0028029156,0.006346997,0.0008502347,0.0007375316,0.002108859,0.0036551924,0.0029709346,0.001471553,0.0016178647,0.0008402614,0.0044664294,0.004635449
