,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37
sub_topic_10,4.821131e-05,4.4201737e-05,0.00011225884,5.650489e-05,1.7155893e-05,7.564038e-05,3.9292165e-05,7.9088364e-05,1.478697e-05,2.355179e-05,6.1733667e-06,3.7720706e-06,0.0001944673,1.1277529e-05,4.5675183e-06,5.1001753e-06,0.000122062804,5.4518296e-05,3.7687794e-05,0.75844127,2.711863e-05,1.6305945e-05,4.0903655e-05,2.6595913e-05,2.4038554e-05,0.0016648424,4.6708326e-05,0.0035260632,1.5071266e-05,3.0617026e-05,1.7056755e-05,1.4668085e-05,0.0014030349,1.4522458e-05,1.0887148e-05,3.649612e-05,0.00022313636,6.646294e-05
sub_topic_11,0.0011008391,0.00019117615,0.000881706,0.00038914668,0.00011713809,0.0016055753,0.000120217504,6.8228364e-06,6.8699733e-06,0.002160791,0.0003474708,1.7850416e-05,0.00016178585,0.0005571072,0.0001640096,9.0253925e-05,0.0034123054,8.3571875e-05,0.00026845443,8.4612024e-05,0.0008884438,0.00022675167,0.00017666724,0.0,9.53954e-05,4.49315e-05,6.932031e-05,0.0002534461,0.0012755106,0.9677182,3.6553425e-05,9.207552e-05,3.6633322e-05,0.0008380673,0.00059291394,0.005795516,0.0053847735,0.0009230874
sub_topic_12,0.00021183403,0.0001948704,0.00050771364,0.00082934904,4.514029e-05,5.5735945e-05,4.8423567e-06,2.9330786e-06,0.00012717584,2.5007803e-06,2.4047644e-05,0.0012198758,1.1749804e-06,2.0619282e-05,7.3805427e-06,3.5683693e-06,0.000659124,3.6394483e-06,0.9907556,2.9220455e-05,3.1316198e-05,0.00025829303,4.244865e-05,3.3519822e-07,9.580642e-07,6.509679e-05,0.0008801854,5.8960035e-05,2.0572175e-05,1.1490058e-05,2.2310214e-06,0.00012746498,1.3462385e-05,0.0022275958,6.7280314e-05,0.00020585043,1.0149314e-05,0.0003156605
sub_topic_13,0.00030388165,0.00023361253,0.016843714,0.00031844736,0.00032941485,0.00021504423,0.00010954685,0.00034450984,0.0021580958,0.0001701637,0.0013186986,0.00046851733,0.0003082298,0.0004575904,0.00041869568,0.00015603147,0.0066959597,1.5061366e-05,1.7865708e-05,0.00026163616,8.013513e-06,0.00019807855,0.0015330246,0.00029943426,0.007469963,0.00050454156,0.00015373983,0.0019921395,0.00026988768,6.522977e-05,0.37687767,0.0027968178,0.012232772,0.0009274434,0.00011755456,0.0029808476,4.7771322e-05,0.00028597115
sub_topic_14,5.61223e-05,0.00058729935,0.00016471681,7.432292e-05,3.5120313e-05,0.000118056356,0.00030208658,0.0006331932,0.00048714108,3.6829966e-05,5.727611e-05,6.0063532e-05,0.0018610108,0.000320571,6.941481e-05,5.1643736e-05,0.00018166074,0.0005226412,4.583166e-05,0.0002548722,4.243106e-05,0.00030573853,0.00017029654,0.83580536,0.00014923218,0.00017850894,0.00012094175,0.9399075,7.388198e-05,4.5244928e-05,0.00017714419,7.993151e-05,0.0015611987,7.83682e-05,4.023827e-05,0.00030778252,0.00015013471,0.00059029146
sub_topic_15,0.00055051857,0.0021220413,0.000533786,0.0014748373,0.0003273568,0.0017936295,0.0012870352,5.88561e-08,1.4187801e-05,0.0015065491,0.00010901002,3.962326e-06,0.0021888635,0.0002956576,0.00021453989,3.3215404e-06,0.0069573596,0.004020779,0.00028157298,0.0018205877,0.9018175,0.00036606452,0.001512643,0.0,6.875615e-05,5.7833135e-05,0.0004893823,0.0004736074,0.00027865145,0.003106572,1.8441648e-05,5.657822e-05,2.4581168e-05,0.001715024,1.3502217e-05,0.0004956359,0.014541637,0.0011747073
sub_topic_16,1.0076035e-05,3.684237e-05,0.00070509757,7.839093e-06,1.667714e-06,2.0680096e-05,1.6284588e-05,2.887216e-06,2.18606e-06,1.6168562e-05,1.2674622e-05,0.0,0.8282343,1.880542e-05,1.4515575e-05,1.2295271e-06,0.83198136,5.851372e-05,5.682062e-06,3.8697835e-06,8.202194e-06,2.1857428e-05,2.1651646e-05,4.880715e-07,4.3868213e-06,1.9366735e-06,3.579048e-05,6.825581e-05,2.1774265e-05,4.5384036e-06,1.4627218e-05,7.3912715e-06,0.00017084267,3.7844606e-05,1.7963335e-06,1.2731695e-05,3.6544866e-06,2.2066391e-05
sub_topic_17,0.97673714,5.028385e-05,0.00018739139,8.8606655e-05,4.3877506e-05,7.859645e-05,2.3357992e-05,1.2143615e-05,3.954847e-05,0.00021268279,0.0015513819,7.33804e-05,1.9012912e-05,0.00024849796,5.4925822e-05,8.849037e-05,0.0003205488,5.4107954e-06,0.00013898574,1.32302275e-05,9.273625e-06,5.9495625e-05,0.00019543385,2.9129544e-07,0.00013676494,3.33838e-05,0.00015097462,0.0002303562,0.000194248,9.6743715e-05,2.5806297e-05,3.43858e-05,0.00036163616,0.0011588578,0.0001015829,0.0001151747,0.00012492311,0.00027472398
sub_topic_18,4.208502e-05,0.00013513184,6.338049e-05,8.764012e-06,2.6827017e-06,0.00015920942,5.335551e-05,8.292832e-07,0.0,0.21618426,3.517039e-05,0.0,4.5442328e-05,6.901241e-05,0.00018175949,3.6151293e-06,0.0002147256,0.0016814726,5.9858025e-06,4.9110913e-06,0.00015496399,0.0001448966,0.00026004744,6.535141e-05,1.5229076e-05,9.2051886e-07,9.024385e-05,9.591113e-05,6.6292e-05,6.448672e-05,4.148791e-06,5.0842914e-06,2.2399756e-05,3.201678e-05,1.1699757e-06,3.2722037e-05,4.3065094e-05,0.00010807962
sub_topic_19,0.000119707474,3.7654554e-05,9.914508e-05,0.9855739,3.2368018e-05,0.006262934,8.1473745e-06,7.717781e-06,9.61499e-06,0.00024337601,0.00017639423,6.367866e-05,2.7498332e-05,0.00018703984,3.5610316e-05,6.9627563e-06,0.00017407385,9.561305e-06,0.00015854,2.558127e-05,0.00018590351,3.253382e-05,6.0030783e-05,9.653102e-07,8.441934e-05,1.7581695e-05,4.544189e-05,8.0624326e-05,0.00010274349,5.6237153e-05,1.9788611e-05,0.00013455494,9.365967e-06,0.00031930083,0.001784262,0.001967074,6.956851e-05,8.933611e-05
sub_topic_20,0.0017228952,0.00043641363,0.002714741,6.7564746e-05,0.00013853349,0.00016871546,0.00022297105,0.00025268886,0.00023968462,0.0007520336,0.0019761666,0.007553352,0.00095019006,0.002408904,0.006722556,0.9741661,2.4021876e-05,7.1890745e-06,0.00014355377,7.922044e-05,2.0885649e-07,0.0025725558,0.000348959,0.0001721692,0.0021607839,0.00035120558,0.0060787476,0.0011634802,0.0022366615,0.00025787757,0.0038063447,0.005151822,0.052553665,0.0017686283,0.0050697285,0.00036200616,3.7825284e-05,0.00091875606
