,file_name,words
5255,"Public_transcript_of_Hearing_30_August_2001_(English,_5_Pages).txt","['thursday', 'august', 'open', 'accuse', 'enter', 'commence', 'judge', 'sir', 'ivan', 'lawrence', 'may', 'judge', 'yes', 'yes', 'pages', 'hearing', 'adjourn', 'reconvene', 'tuesday', 'day', 'august', 'procedural', 'matter', 'thursday', 'august', 'case', 'procedural', 'matter']"
8334,"Public_Transcript_of_Hearing_February_18th,_2004_(English,_1_Pages).txt","['tuesday', 'february', 'open', 'commence', 'accuse', 'present', 'judge', 'evident', 'accuse', 'present', 'receive', 'information', 'short', 'ago', 'detention', 'unit', 'accuse', 'indispose', 'position', 'attend', 'today', 'expect', 'medical', 'report', 'hour', 'party', 'abreast', 'situation', 'matter', 'wish', 'raise', 'adjourn', 'adjourn', 'hearing', 'adjourn', 'sine', 'die', 'procedural', 'matter', 'open', 'wednesday', 'february', 'case']"
8656,"Public_Transcript_of_Hearing_January_24,_2006_(English,_95_Pages).txt","['tuesday', 'january', 'open', 'accuse', 'enter', 'enter', 'commence', 'judge', 'case', 'good', 'afternoon', 'case', 'number', 'versus', 'momcilo', 'krajisnik', 'pages', 'pages', 'hearing', 'adjourn', 'reconvene', 'wednesday', 'day', 'january', 'procedural', 'matter', 'open', 'tuesday', 'january', 'case', 'resume', 'open', 'cross', 'examine', 'continued', 'resume', 'cross', 'examine', 'continued']"
10394,"Public_Transcript_of_Hearing_September_20th,_2001_(English,_22_Pages).txt","['thursday', 'september', 'open', 'accuse', 'enter', 'commence', 'judge', 'case', 'case', 'number', 'versus', 'mitar', 'judge', 'closed', 'close', 'pages', 'close', 'hearing', 'adjourn', 'reconvene', 'friday', 'day', 'september', 'evidentiary', 'matters', 'closed', 'thursday', 'september', 'case']"
5159,"Public_Transcript_of_Hearing_2_July_2008_(English,_97_Pages).txt","['wednesday', 'july', 'open', 'accuse', 'enter', 'enter', 'commence', 'judge', 'good', 'morning', 'madam', 'case', 'good', 'morning', 'good', 'morning', 'case', 'number', 'versus', 'ante', 'gotovina', 'judge', 'thank', 'madam', 'like', 'remind', 'bind', 'solemn', 'declaration', 'beginning', 'testimony', 'ready', 'continue', 'cross', 'examination', 'yes', 'thank', 'judge', 'pages', 'open', 'open', 'judge', 'adjourn', 'tomorrow', 'july', 'courtroom', 'hearing', 'adjourn', 'reconvene', 'thursday', 'day', 'july', 'resumed', 'cross', 'examination', 'continued', 'wednesday', 'july', 'case', 'procedural', 'matter']"
