,file_name,words
7069,"Public_Transcript_of_Hearing_dated_17_July_2019_(English,_63_Pages).txt","['wednesday', 'july', 'close', 'pages', 'closed', 'hearing', 'adjourn', 'reconvene', 'thursday', 'day', 'july', 'procedural', 'matter', 'closed', 'wednesday', 'july', 'case', 'mict', 'rjs', 'resume', 'closed', 'cross', 'examination', 'petrovic', 'continued', 'rjs', 'resume', 'closed', 'cross', 'examination', 'harbour']"
5255,"Public_transcript_of_Hearing_30_August_2001_(English,_5_Pages).txt","['thursday', 'august', 'open', 'accuse', 'enter', 'commence', 'judge', 'sir', 'ivan', 'lawrence', 'may', 'judge', 'yes', 'yes', 'pages', 'hearing', 'adjourn', 'reconvene', 'tuesday', 'day', 'august', 'procedural', 'matter', 'thursday', 'august', 'case', 'procedural', 'matter']"
743,"Public_Transcript_of_Hearing_09_November_2010_(English,_95_Pages).txt","['tuesday', 'november', 'open', 'accuse', 'enter', 'commence', 'judge', 'good', 'afternoon', 'courtroom', 'madam', 'case', 'good', 'afternoon', 'good', 'afternoon', 'courtroom', 'case', 'versus', 'jovica', 'stanisic', 'franko', 'simatovic', 'judge', 'thank', 'madam', 'motion', 'pende', 'deal', 'pages', 'closed', 'pages', 'closed', 'open', 'open', 'judge', 'thank', 'madam', 'adjourn', 'day', 'resume', 'tomorrow', 'wednesday', 'november', 'quarter', 'past', 'courtroom', 'inform', 'public', 'thing', 'tomorrow', 'closed', 'stand', 'adjourn', 'hearing', 'adjourn', 'reconvene', 'wednesday', 'day', 'november', 'procedural', 'matter', 'tuesday', 'november', 'case', 'closed', 'cross', 'examination', 'jordash']"
6747,"Public_Transcript_of_Hearing_dated_10_July_2019_(English,_67_Pages).txt","['wednesday', 'july', 'close', 'pages', 'closed', 'hearing', 'adjourn', 'reconvene', 'thursday', 'day', 'july', 'procedural', 'matters', 'closed', 'wednesday', 'july', 'case', 'mict', 'rjs', 'resumed', 'closed', 'cross', 'examination', 'bakrac', 'continued', 'rjs', 'resumed', 'closed', 'cross', 'examination', 'clanton']"
7525,"Public_Transcript_of_Hearing_dated_26_June_2019_(English,_65_Pages).txt","['wednesday', 'june', 'close', 'pages', 'closed', 'hearing', 'adjourn', 'reconvene', 'thursday', 'day', 'june', 'procedural', 'matters', 'closed', 'wednesday', 'june', 'case', 'mict', 'rjs', 'resumed', 'closed', 'cross', 'examination', 'bakrac', 'continued', 'rjs', 'resumed', 'closed', 'cross', 'examination', 'stringer']"
