,file_name,words
8334,"Public_Transcript_of_Hearing_February_18th,_2004_(English,_1_Pages).txt","['tuesday', 'february', 'open', 'commence', 'accuse', 'present', 'judge', 'evident', 'accuse', 'present', 'receive', 'information', 'short', 'ago', 'detention', 'unit', 'accuse', 'indispose', 'position', 'attend', 'today', 'expect', 'medical', 'report', 'hour', 'party', 'abreast', 'situation', 'matter', 'wish', 'raise', 'adjourn', 'adjourn', 'hearing', 'adjourn', 'sine', 'die', 'procedural', 'matter', 'open', 'wednesday', 'february', 'case']"
5255,"Public_transcript_of_Hearing_30_August_2001_(English,_5_Pages).txt","['thursday', 'august', 'open', 'accuse', 'enter', 'commence', 'judge', 'sir', 'ivan', 'lawrence', 'may', 'judge', 'yes', 'yes', 'pages', 'hearing', 'adjourn', 'reconvene', 'tuesday', 'day', 'august', 'procedural', 'matter', 'thursday', 'august', 'case', 'procedural', 'matter']"
8656,"Public_Transcript_of_Hearing_January_24,_2006_(English,_95_Pages).txt","['tuesday', 'january', 'open', 'accuse', 'enter', 'enter', 'commence', 'judge', 'case', 'good', 'afternoon', 'case', 'number', 'versus', 'momcilo', 'krajisnik', 'pages', 'pages', 'hearing', 'adjourn', 'reconvene', 'wednesday', 'day', 'january', 'procedural', 'matter', 'open', 'tuesday', 'january', 'case', 'resume', 'open', 'cross', 'examine', 'continued', 'resume', 'cross', 'examine', 'continued']"
4036,"Public_Transcript_of_Hearing_24_November_1997_(English,_78_Pages).txt","['international', 'criminal', 'case', 'yugoslavia', 'trial', 'monday', 'november', 'judge', 'may', 'presiding', 'judge', 'judge', 'vohrah', 'judge', 'milan', 'kovacevic', 'grant', 'michael', 'keegan', 'hildegard', 'uertz', 'retzlaff', 'ann', 'morten', 'bergsmo', 'appear', 'behalf', 'office', 'dusan', 'vucicevic', 'igor', 'pantelic', 'appear', 'behalf', 'closed', 'monday', 'november', 'closed', 'closed', 'hearing', 'adjourn', 'december', 'motions', 'status', 'conference', 'closed', 'monday', 'november', 'case', 'motions', 'status', 'conference', 'closed']"
772,"Public_Transcript_of_Hearing_10_April_2001_(English,_133_Pages).txt","['tuesday', 'april', 'close', 'enter', 'accuse', 'enter', 'commence', 'closed', 'hearing', 'adjourn', 'reconvene', 'wednesday', 'day', 'april', 'closed', 'examine', 'cross', 'examine', 'greaves', 'evidentiary', 'matters', 'closed', 'closed', 'examine', 'baly', 'cross', 'examine', 'greaves', 'tuesday', 'april', 'case']"
