,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32
sub_topic_0,0.000725067,5.7155125e-05,0.00013094778,0.00028015298,8.37001e-05,9.931059e-05,9.206745e-05,2.7752862e-06,3.963774e-06,0.0040367153,0.00012471832,1.2468765e-05,3.314522e-05,0.30291998,0.00012876655,0.00081795757,0.0001601386,2.03954e-05,2.2526607e-05,2.5377523e-05,8.059823e-05,8.7806206e-05,0.0003782172,6.923789e-06,0.00044418868,1.8845381e-05,3.8391656e-05,0.00020053997,0.001752885,0.0005304849,6.874693e-05,0.00019932147,1.1143811e-05
sub_topic_1,3.7444348e-05,0.00016974495,6.095351e-05,0.0005121944,8.9448185e-05,3.8261092e-05,7.566389e-05,0.00015254613,3.3123477e-05,0.00022363897,0.0030737086,0.0001377113,9.564542e-06,0.00034669743,0.0018433317,0.0010513833,1.9397867e-05,1.18493335e-05,8.7385284e-05,0.0005224576,2.8596438e-05,0.00049604365,0.00012541976,7.2479845e-05,0.0021777628,3.2973803e-05,0.000871901,5.1380266e-05,0.00038390863,0.00019859313,0.00035275408,0.917353,1.1174967e-05
sub_topic_2,0.008557517,0.0003283231,0.0049145203,0.001900644,0.001845217,0.0058383597,0.00031211166,0.0058699357,0.006139722,0.0004784238,0.1659898,0.0055390084,0.0002984108,0.0017237875,9.287177e-05,0.010689807,0.0003554662,4.2939128e-06,0.0009208976,0.000335341,1.9008725e-05,0.00067307067,0.0002682576,0.00031079777,0.0028094365,0.0026423305,0.0018060622,0.002783599,0.0025574106,0.0010877481,0.0034051354,0.007777062,0.00671677
sub_topic_3,0.00044561698,0.00017700791,0.0003470525,4.942178e-05,0.00023213583,1.2990898e-05,0.0001225039,8.804379e-05,8.5329346e-05,0.0002310001,0.00039796752,0.00021708202,3.8556598e-05,0.0008988036,0.0037008126,0.0005801376,0.00013163719,3.6934387e-05,3.2628668e-06,8.8075176e-05,1.1599921e-05,0.0006636416,0.0067275367,2.5349616e-05,0.3780584,0.00017033149,5.0319217e-05,0.0002571381,9.537648e-05,2.8600261e-05,0.0022162604,0.0017169919,6.8317124e-05
sub_topic_4,0.00011003153,4.9108454e-05,0.00038478794,1.2124031e-05,1.2434321e-05,5.4946096e-05,1.1089116e-05,1.5229755e-06,4.108918e-06,1.6073498e-05,0.00018103165,8.446125e-05,6.4034034e-06,2.2744971e-05,3.197487e-05,1.5503707e-05,1.2709262e-05,1.7104727e-05,8.808786e-05,2.2296346e-05,1.5329557e-05,0.00010306372,0.001867249,4.671755e-06,3.601413e-05,1.6647932e-06,0.00035215894,9.1200245e-06,1.4918427e-05,1.2739112e-05,0.9335145,7.5428165e-05,5.239268e-06
sub_topic_5,0.00041087737,2.1967338e-05,0.39087045,0.00015341073,1.3431132e-05,0.00042666026,3.3057077e-05,4.725842e-06,1.5653068e-06,0.00017549426,0.0001917001,1.6986482e-05,8.995226e-05,0.00012609301,3.2350927e-05,9.636821e-06,0.0019379684,7.3536294e-06,2.3192459e-05,3.1732707e-05,3.3419852e-05,7.998285e-05,0.00029940353,4.3251675e-06,5.567637e-05,1.00294965e-05,0.00014331429,1.9847714e-05,0.00021738016,0.00016312415,0.0007435403,3.6647107e-05,0.00019047376
sub_topic_6,0.00014969852,0.010951832,0.00021066521,0.00023071113,1.5929072e-05,5.192097e-05,0.0028065052,1.7699116e-05,2.7951794e-06,0.0011417185,9.2345e-06,1.3132506e-06,0.005539671,0.0005123178,0.00070729933,2.600605e-07,0.0027694232,0.6169048,0.000112234506,0.0002136971,0.0032525954,0.0012647398,0.0017401989,0.00018272556,2.4288438e-05,2.6380185e-05,0.00048791312,0.0006249493,0.00020159868,0.0001500576,8.850273e-05,2.4144036e-05,7.728137e-05
sub_topic_7,0.00026221614,0.00033347457,0.00041267523,8.9801826e-05,3.246884e-05,9.087389e-05,0.00017031388,0.82448214,0.00044340955,0.00010633174,0.00037731908,0.000104989645,9.665207e-05,0.000620407,8.61912e-05,3.5676458e-05,0.00012946334,2.3101293e-05,8.932325e-05,0.00026697016,7.43962e-06,0.00044591786,0.00018992646,0.0019569306,0.0011597509,0.00031269595,0.00026645773,0.0008131832,0.00034103956,6.0778984e-05,0.00030680408,0.00050201843,0.0014654883
sub_topic_8,3.567226e-05,5.136446e-05,4.7102996e-05,5.9700462e-05,1.0376753e-05,0.00020062372,0.00010021994,1.2831363e-06,2.0136185e-06,0.00094217836,2.1231566e-05,2.490064e-06,1.269991e-05,0.00049907254,7.6117634e-05,4.0423714e-05,2.3042567e-05,2.1695027e-05,1.3779323e-05,6.8280783e-06,2.092712e-05,5.7764013e-05,2.9574028e-05,5.053e-05,1.0293686e-05,2.1711671e-06,7.618445e-05,1.7044293e-05,0.8821615,0.00016088043,1.5116535e-05,3.787301e-05,1.6906479e-05
sub_topic_9,0.00027360514,0.0014227256,7.443676e-05,8.844189e-05,4.600386e-05,0.0001708865,3.9127085e-06,1.0237256e-05,9.439964e-06,4.648628e-05,0.77535707,0.00021730557,2.44338e-06,4.58958e-05,0.0025559813,8.954172e-05,1.2958964e-05,3.898132e-06,0.00025634057,3.6035635e-05,1.9588759e-05,0.0011713067,0.0005405429,1.2423469e-05,5.2882933e-05,7.5463877e-06,0.0019650653,8.1371145e-06,0.00012792139,1.3017677e-05,0.0005897919,0.002883489,1.9991392e-05
sub_topic_10,2.8007758e-05,2.716543e-05,5.4417537e-06,1.1182554e-05,5.3742106e-06,1.2037988e-05,4.6540663e-05,3.0720264e-06,3.1676348e-06,0.00031096046,1.1760422e-05,1.0024152e-06,1.4701067e-05,0.6657373,4.5652887e-05,0.00022061515,6.091842e-06,1.6340897e-05,4.562562e-06,3.7100522e-06,3.7821833e-06,4.702389e-05,5.8778303e-05,3.3669712e-06,3.0616648e-05,2.297429e-06,1.8444915e-05,2.6127575e-05,0.0002792832,8.607332e-06,1.0431367e-05,1.215411e-05,2.1048359e-06
sub_topic_11,0.00019966147,3.113447e-05,0.00013111999,0.0016654257,1.7855022e-05,0.00011033289,0.00012388275,6.3034904e-06,5.2665337e-06,0.00044945802,3.330781e-05,6.492251e-05,3.865179e-05,0.00023936895,6.125732e-05,2.3226177e-05,0.000116211,2.4369025e-05,0.00047327194,0.00061821425,5.8043184e-05,3.357496e-05,9.937719e-05,1.2977581e-05,2.5330319e-05,2.0746204e-05,0.00011925143,3.086407e-05,0.00053368177,0.36501703,2.434923e-05,0.0014025348,9.927141e-06
sub_topic_12,0.00021661064,0.00014106899,0.00026225008,0.00044501165,7.2930525e-05,4.6851692e-05,6.297933e-06,2.4524181e-06,4.78694e-05,2.374303e-06,0.00013014874,0.0017152015,4.9542105e-06,2.2511298e-05,3.814471e-06,1.361607e-06,0.000101409896,6.3223356e-06,0.9759907,0.00018348104,8.0341895e-05,0.00025533617,6.4877575e-05,4.8065085e-06,5.273242e-07,6.9985326e-05,0.00059272954,8.300498e-06,2.5480245e-05,3.8405273e-05,4.790611e-05,5.9345428e-05,1.8173574e-05
