,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37
sub_topic_0,0.00041779087,0.00011198364,0.00020181044,0.00013004606,0.00010745727,8.652855e-05,0.00012166079,1.1903103e-05,1.0585401e-05,0.00044914748,2.3063856e-05,1.22046295e-05,0.00012711999,3.2199518e-05,6.876503e-05,1.7116867e-05,0.0003107914,0.00012827593,0.00010488876,0.0013776196,0.0011796205,0.00011820324,0.00014172393,3.562943e-07,6.9665235e-05,0.00012521395,3.624739e-05,0.00010983767,5.4132506e-05,0.009510704,6.1233375e-05,1.1605545e-05,4.8534333e-05,4.6031262e-05,7.2595594e-06,0.0023349803,0.9685521,7.797834e-05
sub_topic_1,4.698273e-05,0.00011154066,4.8150905e-05,0.00024904995,7.660502e-05,0.00016229572,1.579718e-05,0.00013443101,5.255478e-05,8.052489e-05,0.00052604073,0.00014567439,1.7485861e-05,0.00019153851,0.00014636313,0.0002877249,2.2504846e-05,4.9493297e-06,0.0001263253,2.879227e-05,9.476505e-06,0.00027255283,0.00011483826,1.2393139e-05,0.0018709402,6.541335e-05,0.0009160013,2.0450507e-05,0.00013860854,3.501031e-05,0.0004873164,0.7859214,1.7601904e-05,0.00021131264,0.0004848165,0.002888767,3.7735392e-06,1.3630725e-05
sub_topic_2,9.76222e-06,9.76225e-05,1.5701457e-05,0.00051083206,4.343528e-05,0.24384709,4.22695e-06,2.3195618e-05,1.0301947e-05,7.158874e-06,8.093838e-06,0.0,1.1325125e-05,8.369132e-06,2.8652652e-05,1.9713239e-06,8.190208e-06,2.5170431e-05,1.024304e-05,4.596599e-05,0.00020223795,0.00013651431,2.241362e-05,0.000121617544,1.5534905e-06,1.3254985e-05,0.00013937413,1.8353894e-06,9.483991e-06,3.3819106e-07,1.5966349e-05,8.8950525e-05,1.4121852e-06,1.9896474e-05,0.001587179,6.408688e-06,7.9753825e-08,0.0006809972
sub_topic_3,0.0014816493,0.0044450928,0.0015619134,0.0037259175,0.0003729804,0.0021426517,0.0037759151,0.0014016567,0.0005334969,0.00488764,0.005069691,0.00022133706,0.0072727622,0.023083434,0.0029063448,0.00076945033,0.0018693395,0.0030237534,0.0013864008,0.00020482586,0.00020881949,0.0102679,0.013637581,0.00040549677,0.0032486075,0.0001990306,0.0045531336,0.0023162074,0.0042399075,9.006642e-05,0.004750011,0.004609774,0.0014350849,0.0014365877,0.0008159587,0.0031465753,0.00015441778,0.008739304
sub_topic_4,0.00074295775,8.5046326e-05,0.001753358,3.4414712e-05,1.8509072e-05,2.0068557e-05,7.594048e-05,6.443408e-05,4.7329173e-05,7.0046575e-05,0.00019315787,0.000117987394,6.556285e-05,0.00013815222,4.496545e-05,0.00048519205,0.00019383305,3.1426057e-06,3.7605296e-05,8.9899004e-05,1.5768185e-06,0.000115742245,0.00019607053,2.9422523e-05,3.505409e-05,4.271767e-05,0.0014951475,5.1672476e-05,0.00036438197,7.997931e-06,0.00038976464,2.8088061e-05,0.97496915,0.00021872579,0.00012212282,0.000107467305,3.411792e-05,0.00013990396
sub_topic_5,8.8210334e-05,9.943561e-06,0.94908226,2.5604852e-05,3.1264506e-06,1.4869966e-05,2.5757222e-06,1.1313858e-06,1.3193319e-06,1.9822963e-05,7.166233e-05,2.642255e-05,1.641347e-05,1.919018e-05,1.2291468e-05,2.1225143e-05,0.00080040254,7.0787985e-07,5.588025e-06,4.921483e-06,1.0426755e-06,3.409906e-05,3.126106e-05,0.0,1.0358744e-05,3.188485e-06,0.00015833908,1.4463561e-06,2.8118746e-05,1.4449679e-05,0.0004227174,4.804388e-06,0.00011360852,0.00034811438,8.157909e-05,3.4645287e-05,6.8132813e-06,7.239331e-05
sub_topic_6,8.0234626e-05,0.009369892,0.0001718146,0.00018359609,1.709377e-05,0.0006789992,0.0028951752,1.1025059e-05,2.0326622e-06,0.0008751476,0.00010558233,0.0,0.0045388774,0.00033765356,0.0005922552,5.2713126e-06,0.0020663159,0.66448337,4.8694856e-05,7.509196e-05,0.0015342917,0.0018974487,0.0015159984,6.5921624e-05,3.397737e-05,6.02419e-06,0.00041489364,0.000616435,0.00016702739,5.2763095e-05,2.2843444e-05,2.5646772e-05,6.672846e-05,0.00019422764,2.2590418e-06,0.0001304757,0.00023107897,0.0014751147
sub_topic_7,0.00021168751,0.00017068163,0.00026222333,4.2727857e-05,2.3942446e-05,5.3928983e-05,5.3473523e-05,0.6937203,0.00020769039,0.000102083555,0.00022298704,6.541621e-05,8.071035e-05,0.0004741845,6.347965e-05,5.309185e-05,8.561242e-05,8.132907e-06,0.00010895834,0.00014045286,7.2159133e-07,0.00026989376,0.00019305064,0.0068813977,0.00047010966,0.0001832487,0.00018455792,0.00047354595,0.0002402047,2.0634265e-05,0.00062056474,0.00023372525,0.0009826407,0.000112899674,7.098488e-05,0.00029011728,1.2677515e-05,7.986258e-05
sub_topic_8,4.8344427e-05,5.822273e-05,7.367041e-05,5.3382504e-05,1.0654379e-05,0.00025161562,0.00021413002,2.1687065e-06,3.3884533e-06,0.0011388013,2.5549774e-05,1.322951e-06,1.6320682e-05,0.0008538082,9.3936855e-05,9.303927e-05,2.7917658e-05,2.5720536e-05,1.5653186e-05,5.879971e-07,8.508873e-06,8.167893e-05,2.4246607e-05,1.4626703e-06,3.956397e-05,4.7982876e-06,8.682604e-05,9.17447e-06,0.93850183,0.00027991243,4.7006683e-06,3.209611e-05,2.6596977e-05,2.944705e-05,0.00028775845,0.00014621713,6.289626e-06,0.00010412615
sub_topic_9,4.1788582e-05,0.004170661,6.1362065e-05,1.617653e-05,8.695007e-06,0.00014490956,3.4692806e-05,4.270958e-05,1.2240772e-05,0.00015263868,0.006492885,4.6236124e-05,3.8425216e-05,8.834709e-05,0.15581305,0.0017239226,3.109656e-05,1.3097809e-05,7.836781e-05,2.1561946e-06,3.23717e-07,0.0031403278,0.0019039062,1.1397914e-06,0.0020422342,8.320332e-05,0.0027528226,2.2262959e-05,0.00016858973,9.593245e-06,0.0014680523,0.1668135,5.608384e-05,0.00015827287,0.00011376926,0.000111432004,8.925173e-07,1.1112768e-05
