,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33
sub_topic_0,0.029358396,0.0005296399,0.01009228,0.012699535,0.0007656396,0.010384426,0.00025165733,3.5736324e-05,2.6632582e-05,0.027907293,0.0026010072,0.0006211883,0.00017641192,0.102553986,0.00071221666,0.0015453309,0.027812133,5.193044e-05,0.0004030991,9.357747e-05,0.0009842995,0.00093321165,0.003085854,0.00014182628,0.0023359912,0.00012070067,0.0002999248,0.0009978584,0.023550611,0.02498505,0.0005285532,0.001025574,0.0010597195,0.0071220286
sub_topic_1,6.732595e-05,0.00027655662,7.655022e-05,0.0003555143,8.476608e-05,8.388801e-05,6.3203726e-05,0.0002301764,5.417634e-05,0.00026744336,0.0029898174,0.00023242758,2.5012097e-05,0.0003666135,0.0024268026,0.0010206786,0.00010234652,7.432424e-06,0.0001409228,4.1880587e-05,9.714576e-06,0.0009972008,0.00039225534,7.482003e-05,0.0066379947,6.4549095e-05,0.00042794386,5.1813407e-05,0.00043197998,0.00011857565,0.0012163304,0.7617736,2.7825774e-05,8.109265e-05
sub_topic_2,0.003562959,0.0019386783,0.0022758425,0.0011512606,0.0030348364,0.0011446301,0.0026414797,0.005973586,0.27587062,0.0006201047,0.005937499,0.0022525531,0.0025092077,0.0024120705,0.00084935187,0.002981959,0.0020265183,0.00011851371,0.000507175,0.00043515733,0.00015106401,0.0019119179,0.00037267196,0.0017955429,0.0034070653,0.0025535556,0.0017221154,0.004525453,0.0021144808,0.0008336839,0.0031920313,0.0013810234,0.0046873195,0.0017418754
sub_topic_3,0.00033052365,8.2498154e-05,0.0004993602,6.593813e-05,1.6546586e-05,0.00035628036,2.4298692e-05,2.781104e-06,8.98221e-06,4.963516e-05,0.00015931156,0.00010996564,0.00020288354,8.91868e-05,4.6967598e-05,4.6656038e-05,8.1606064e-05,7.322244e-05,8.534941e-05,5.6134604e-06,3.0088906e-05,0.00020702337,0.0026264514,7.347049e-06,7.5195444e-06,5.65165e-06,0.00060285546,3.6423062e-05,0.00010858622,5.0166116e-05,0.0003205683,2.7695702e-05,3.07303e-05,0.97165734
sub_topic_4,0.00095092994,0.00012180547,0.0020800633,7.618458e-05,3.5184006e-05,0.00010109373,0.0001293171,0.00012041813,8.4649e-05,9.31457e-05,0.00027873818,0.00018407646,0.00022688443,0.00017577838,4.2072534e-05,0.0005285872,0.0006596212,8.278276e-06,5.4783362e-05,0.00018932119,6.8733525e-06,0.00017855754,0.00024282429,1.936059e-05,8.014581e-05,9.674515e-05,0.001817804,0.00010528786,0.00053312903,4.546112e-05,0.00042904264,2.5728183e-05,0.9804601,0.00040180853
sub_topic_5,0.00015075269,1.5546724e-05,0.9658709,5.589822e-05,9.590031e-06,0.00012933795,8.24382e-06,3.3623098e-06,3.3838282e-06,3.0863273e-05,8.809012e-05,7.821358e-05,2.0058982e-05,4.156439e-05,1.9321535e-05,4.1169136e-05,0.011454277,1.9844285e-06,1.865348e-05,7.962021e-06,4.8508573e-06,5.0932245e-05,8.1525686e-05,1.3613144e-06,2.5787742e-05,1.035267e-05,0.00021188642,6.1438045e-06,7.44329e-05,4.604089e-05,0.0005575926,1.3861464e-05,0.00017468518,0.00047902585
sub_topic_6,0.00011307602,0.013565465,0.00017395441,0.00025846003,3.367477e-05,0.00014382023,0.0036372978,3.7666043e-05,8.994749e-06,0.0008596633,3.6613008e-05,1.5371032e-06,0.20513517,0.0006346775,0.00095770654,2.0149837e-06,0.0006918575,0.5729756,7.127104e-05,0.00010636382,0.001888592,0.0013267143,0.0009742519,0.00025537217,3.645406e-05,1.4995053e-05,0.00052057,0.00078681647,0.00015443176,6.479962e-05,4.3063676e-05,1.8230397e-05,7.8551675e-05,0.00054207555
sub_topic_7,0.00025804376,0.00039078994,0.00045260807,0.000112080685,2.4862276e-05,0.00011269194,0.000144669,0.79611963,0.00032167722,0.00014267024,0.00020694539,0.000117666634,0.00042631285,0.000647568,9.426882e-05,5.5823846e-05,0.00024728297,3.3330107e-05,0.00012878007,0.00023078192,1.8610128e-06,0.00053188595,0.00025212605,0.001987821,0.0011621438,0.0002954403,0.0002876273,0.00074530893,0.0004279401,7.055907e-05,0.0007803291,0.00038361028,0.001957157,0.0001413817
sub_topic_8,0.00013988347,8.5351996e-05,0.00025964045,0.00011793861,2.7351074e-05,0.0013168148,0.0003731005,6.3894277e-06,6.8803993e-06,0.0012870645,9.676762e-05,3.8146743e-05,9.168468e-05,0.0013827138,0.0001550782,0.00029957786,0.00011312586,2.731683e-05,3.8691862e-05,3.7417524e-06,1.38487085e-05,0.00015710636,5.562378e-05,4.4149765e-05,3.9956667e-05,8.203027e-06,0.00017863698,2.6038637e-05,0.95539784,0.00058323477,1.4852218e-05,6.346377e-05,7.2199306e-05,0.00024042896
sub_topic_9,0.00037131913,9.7902404e-05,4.8542857e-05,1.1852519e-05,4.032299e-06,1.2296638e-05,1.6455948e-05,1.480882e-06,2.7602882e-06,7.336071e-05,0.00023858044,4.235862e-05,1.2067141e-05,7.9592995e-05,0.00037699658,1.327535e-05,8.5558924e-05,9.318115e-05,2.2541193e-05,2.8735544e-06,9.333184e-06,0.00032009726,0.97236216,4.8834972e-06,0.0003371196,5.891502e-07,0.00017721362,4.9313485e-06,3.1052215e-05,9.760229e-06,0.0007661243,0.00015400052,9.285249e-06,0.0031283945
