,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33
sub_topic_10,3.9204908e-05,4.9348662e-05,7.893927e-06,1.2097058e-05,1.6796733e-06,1.602904e-05,8.7079534e-05,6.2083186e-06,2.3040832e-06,0.00039961946,1.9552479e-05,6.690721e-08,2.7891096e-05,0.31204543,0.00011987388,6.1801955e-05,1.3465155e-05,3.145881e-05,4.6348323e-06,2.6404413e-07,2.5609686e-06,6.034369e-05,5.0820745e-05,4.1862045e-06,5.780712e-05,3.2687403e-06,1.9123494e-05,2.1187268e-05,0.00088680384,1.0571638e-05,5.5080513e-06,8.097694e-06,4.439293e-06,2.190808e-05
sub_topic_11,0.0001331063,2.1761707e-05,0.00013717625,0.0013564022,1.3231074e-05,0.0001531527,0.000103730286,3.9945025e-06,2.4426092e-06,0.00033306735,4.9254275e-05,7.6113545e-05,4.06211e-05,0.00028343822,9.2602095e-05,3.254564e-05,8.2156985e-05,1.8951296e-05,0.000991006,5.3339445e-05,5.3347114e-05,3.1335632e-05,0.00010045809,1.7159611e-05,2.497074e-05,1.0849451e-05,0.00016421244,1.4824441e-05,0.00052457163,0.32965878,1.7460927e-05,0.0014028922,7.829384e-06,3.3834876e-05
sub_topic_12,8.6960325e-05,7.843249e-05,0.00026103776,0.00028546137,2.2595379e-05,3.893058e-05,1.7500814e-06,3.3828778e-07,3.6589852e-05,9.409407e-07,0.00014487386,0.001308616,1.0564765e-06,9.760865e-06,2.436146e-06,7.328983e-07,5.8572245e-05,2.0005273e-06,0.98271215,3.688788e-05,1.8408326e-05,0.00014281261,1.4070384e-05,1.3578948e-06,1.539962e-07,2.9092831e-05,0.00020578723,2.6924079e-06,1.0129192e-05,2.5378593e-05,6.5021595e-07,4.15431e-05,6.238313e-06,0.00023870429
sub_topic_13,5.0520084e-06,5.2708183e-05,0.00027678334,0.00040378602,2.638597e-06,0.00030807708,1.3986475e-05,8.7510576e-05,0.0021968032,7.5469093e-06,4.349113e-05,1.8416666e-06,1.8571372e-05,0.0002820548,3.5275352e-05,1.5806376e-06,9.30516e-05,4.4412893e-05,7.579602e-06,0.0016230816,2.3695056e-05,7.182947e-05,0.00035136848,0.06662191,1.5120228e-05,1.238444e-05,6.101115e-05,1.6329048e-05,2.0844325e-05,5.9453873e-06,0.00123454,0.0008815249,1.7600167e-05,2.9637133e-05
sub_topic_14,0.00010301279,0.0003953116,0.00013072189,0.00011736638,5.2194908e-05,6.264826e-05,0.00032985208,5.9565285e-05,0.0001237374,2.9948875e-05,8.446339e-05,3.275135e-05,0.00045039525,0.00025789734,0.00018304326,2.4082354e-05,0.00014747851,0.0014985648,4.997028e-05,0.00030718138,0.00021013073,0.00015623942,0.00012458776,4.2902993e-05,8.306433e-05,0.00039613224,3.7738675e-05,0.9682986,3.198927e-05,0.00021501633,7.113665e-05,3.872289e-05,0.00014259882,0.00021361772
sub_topic_15,0.0007963834,0.0020805094,0.0006159253,0.0008094422,0.00064468867,0.0001320289,0.0011140684,0.0,4.4764215e-06,0.0019201505,6.2116037e-06,0.0,0.0020019806,0.0004127263,0.00031507376,1.86853e-07,0.004810015,0.0033189,0.00043192605,0.004226264,0.8765243,0.00026928046,0.0014273828,1.2582134e-05,4.3301105e-05,0.00028313848,0.00016884826,5.1385156e-05,0.0002943051,0.00444845,2.3759238e-05,3.2977223e-05,5.3335727e-05,0.0002578882
sub_topic_16,5.119261e-06,0.00023474771,2.6615106e-05,7.0157685e-06,2.9155042e-06,1.6796286e-05,9.467696e-05,9.374043e-06,1.0724225e-06,2.0585034e-05,1.248976e-05,0.0,0.9822416,3.544728e-05,4.494278e-05,8.626946e-07,5.3341915e-05,0.0016745126,8.773474e-06,8.613378e-06,2.42515e-05,3.8541857e-05,1.8950643e-05,1.11002355e-05,1.0072899e-06,2.0305793e-06,4.1046947e-05,4.197213e-05,1.966588e-05,6.1397345e-06,1.6845454e-05,4.663298e-06,5.6456543e-06,2.357495e-05
sub_topic_17,0.92978704,2.793127e-05,0.000108573375,6.110007e-05,2.2848719e-05,4.977657e-05,1.4736875e-05,2.543747e-06,8.020861e-06,0.00014427664,0.00014491421,5.8634847e-05,6.5770905e-06,0.00016858049,3.257472e-05,3.1778494e-05,5.2810385e-05,4.2011607e-06,8.5971755e-05,9.188535e-06,1.356697e-05,4.088186e-05,0.00074615417,4.1362646e-06,9.1477435e-05,1.7858647e-05,4.6197085e-05,2.0450367e-05,0.00011531277,8.6930806e-05,2.156667e-05,1.741316e-05,3.9313716e-05,0.0003015238
sub_topic_18,3.499531e-05,0.00012835482,4.2191026e-05,4.9202326e-06,1.5063122e-06,1.1425112e-05,4.194587e-05,1.9110926e-06,0.0,0.19504698,0.0,0.0,2.6434755e-05,5.3853146e-05,0.00018216582,4.997943e-07,6.399493e-05,0.0014893155,4.0452246e-06,6.0952216e-06,0.00019242759,8.30312e-05,0.00024338663,2.884765e-05,9.967786e-06,2.8705028e-06,3.3795644e-05,2.142877e-05,2.9677774e-05,2.8875158e-05,3.7452855e-06,2.2015831e-06,4.3043156e-06,1.1239195e-05
sub_topic_19,0.0115590785,0.0007057096,0.0062517077,0.07704619,0.00023107507,0.0017715661,0.00021157372,7.981624e-06,8.653476e-06,0.01638146,0.0008541724,0.0005041459,0.0003062579,0.0033899508,0.00041602322,7.614439e-05,0.001676334,0.00017659043,0.00035334955,3.9773273e-05,0.0010247491,0.0006677543,0.0011799658,6.55857e-05,0.0003606939,1.048198e-05,0.00011448431,0.0006944226,0.0034217797,0.049155034,0.00024351204,0.00031386607,0.00029210924,0.00288173
