,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38
sub_topic_0,0.004871244,0.00044170232,0.0024252338,0.00023694285,0.0010189565,0.0034635386,0.00013697047,6.0948714e-06,4.9075115e-05,0.0067057866,0.0011143478,0.00021435592,0.00017104126,0.00092606293,0.00031972653,7.5495715e-05,0.0011026906,6.286052e-05,0.00033647916,0.00011972713,0.00032712735,0.00036735588,0.00032122628,0.0,0.0005894308,6.779079e-05,0.00014786488,0.0007300449,0.0013213762,0.002584017,8.399612e-05,0.00016790078,0.000177337,0.0006576743,0.00044572752,0.004812837,0.6073915,0.0032122512,0.0023185126
sub_topic_1,0.00022650552,0.00041287235,0.00033485275,9.713884e-05,0.69814754,0.00025866408,0.00013805846,0.0003803646,0.00015917004,0.0005260567,0.00043515416,8.8543085e-05,6.605495e-05,0.00036859108,0.00045273508,0.00021010211,0.00035108803,1.5981434e-05,9.340363e-05,0.0002471392,3.3798508e-05,0.0003109719,0.0008702046,9.5183386e-05,0.013032011,0.00092430104,9.754929e-05,0.0012110714,0.00041954522,9.808484e-05,0.0018202794,0.003893101,0.00019643923,0.00010098477,0.000102336606,0.00066496176,0.0006768137,0.00010542263,9.546274e-05
sub_topic_2,0.0007597123,0.0004121354,0.00059607136,2.6258185e-05,0.23937197,0.00014594715,0.0007947364,0.0070760828,0.005460829,0.00021297396,0.00035674468,0.00071741134,0.00011507026,0.00041213015,0.00018782991,0.0009399497,0.00026678955,7.0454034e-06,0.00010637097,0.0004138859,3.9966394e-06,0.00055979035,0.00026513025,0.005770952,0.0039933315,0.000959734,0.00023947892,0.0020920064,0.00027719678,8.71994e-05,0.0026051232,0.0008626725,0.0019986553,0.00014532475,0.00043481743,0.00057180936,0.00038333307,0.00019258705,0.00013977717
sub_topic_3,1.1852569e-05,7.4763746e-05,6.7030414e-06,3.7449115e-06,6.755042e-06,2.358069e-05,3.354932e-05,1.8387482e-06,6.2735908e-06,0.00010963703,1.0174592e-05,0.0,4.6952573e-05,0.0032919305,4.863006e-05,2.800498e-05,9.823352e-06,7.9298006e-05,6.319348e-06,3.1373415e-06,1.8372977e-05,6.582942e-05,3.822009e-05,2.0233147e-06,2.0676034e-05,4.493171e-06,1.2476556e-05,6.331066e-05,0.00012082167,1.4397422e-05,6.638494e-06,7.252522e-06,2.3073997e-06,1.3067855e-05,4.0138484e-06,5.4833063e-06,0.3558295,3.0300478e-05,3.89263e-05
sub_topic_4,0.008601616,0.0012085729,0.030142916,0.00015601986,8.2869684e-07,0.00012622902,0.00046530567,1.6342003e-05,2.7570944e-05,0.00033608597,0.0021978084,0.0011867647,0.00042249935,0.0011442541,0.001442548,0.009053371,0.0003772432,8.5000356e-05,4.241559e-05,7.256418e-05,3.3199507e-05,0.00204562,0.0005344388,4.6630794e-06,1.2810288e-05,4.2589756e-05,0.063101634,0.00070343877,0.0005060719,3.9045713e-05,0.00029867887,3.8239243e-05,0.039794564,0.046814855,0.005181456,0.00022741398,0.00014774154,0.0019668029,0.00042231777
sub_topic_5,0.0030052823,0.00018325428,0.0015087754,4.6067238e-05,4.673623e-06,0.0038154705,3.7700716e-05,1.0661099e-05,1.5502986e-06,0.0073872223,0.00023826925,6.262363e-05,5.6076122e-05,0.0044593113,0.0001123944,0.00043310822,0.0002205328,7.988568e-06,8.022452e-05,6.2241834e-06,1.4525475e-06,0.00068212906,4.78976e-05,0.0,8.491144e-06,2.6268895e-06,0.00016517843,7.24352e-05,0.022526458,0.010604841,2.7769487e-05,1.2927218e-05,0.0006538679,0.000589224,0.3281562,0.0001772772,0.0010647872,0.01079338,0.0061222967
sub_topic_6,7.3289964e-05,0.008364396,0.0001960171,0.00077771326,9.650596e-06,0.0015551132,0.0026366338,1.4199696e-05,2.1032943e-06,0.00088851753,0.00025101306,0.0,0.003163926,0.00024627178,0.000839526,3.1897673e-06,0.003219556,0.90643436,1.8645489e-05,0.00011097227,0.0068897777,0.0022873855,0.0018691092,3.9210943e-05,5.1506297e-05,1.03926195e-05,0.00031670218,0.0027514074,0.00021922325,6.7359647e-06,1.3531003e-05,2.7978745e-05,6.5038104e-05,0.0001994071,3.0703288e-07,6.4536056e-05,0.0008128587,0.0022408012,0.00021157152
sub_topic_7,0.00017179974,0.00013890804,0.00020556635,1.8023753e-05,0.000867024,4.8458787e-05,7.228781e-05,0.6111848,0.0001859519,8.902519e-05,0.0001895266,3.9987084e-05,7.6471406e-05,0.00056272617,4.473813e-05,4.7336514e-05,7.986927e-05,1.5098822e-05,8.922881e-05,0.00013897246,0.0,0.00028873692,0.00025173638,0.1671929,0.00022498307,9.404587e-05,0.0002527171,7.143819e-05,0.00019663855,9.57916e-06,0.00028059294,0.00014520335,0.001238888,0.00010939648,4.3617183e-05,0.00016591881,1.6034763e-05,8.6621636e-05,2.4819192e-05
sub_topic_8,1.1998029e-05,3.7760507e-05,2.0875577e-05,2.180488e-05,7.1252193e-06,0.00025779312,0.0001569897,7.411899e-07,2.427807e-06,0.0008258755,5.397374e-06,0.0,8.716222e-06,0.00046472484,5.3547326e-05,5.5252498e-05,1.9155455e-05,2.4280456e-05,3.5852029e-06,3.8492422e-07,1.0013384e-05,4.145286e-05,1.8643246e-05,4.202833e-06,2.7171393e-05,2.5716286e-06,4.123e-05,1.0097077e-05,0.94759226,5.001893e-05,1.370253e-06,2.335034e-05,9.333303e-06,1.1515379e-05,8.939626e-05,6.139712e-05,4.019893e-05,2.6244927e-05,5.848365e-05
sub_topic_9,0.00012907982,0.0004904767,0.00031742264,4.8921964e-05,0.00012997331,0.00029759732,6.6177134e-05,1.7792814e-05,2.209036e-05,0.00045895748,0.0014818093,0.00018232469,0.00013031697,0.00020941246,0.6536027,0.0065851836,0.00014559552,0.00032947448,1.7557772e-05,6.707522e-06,2.2235892e-05,0.0042967303,0.0020850184,3.7578836e-06,0.0011677644,0.00011229229,0.0009974428,0.00040101635,0.00023290893,1.370212e-05,0.0010915867,0.0032986733,0.00019527266,0.00021136526,0.00016762748,9.9625104e-05,8.521023e-05,0.00015002089,1.8289038e-05
