,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29
sub_topic_0,0.9492529,0.00021979169,0.00085216947,6.539708e-05,0.00014292853,0.0006258523,8.123093e-05,4.3879503e-05,4.8673402e-05,0.00036806293,0.00025625573,0.00041196623,4.5801666e-05,0.00046849102,5.0985076e-05,0.0016890564,0.00017907418,1.6078908e-05,0.002223524,0.00014414928,9.665706e-06,0.0005274994,0.0010519685,1.5680022e-05,7.7253266e-05,4.225039e-05,0.0011366974,0.00014638896,0.00075921573,0.0001329362
sub_topic_1,7.967635e-05,0.00044205858,0.00029031088,0.000513449,0.00016112851,0.0011694852,0.000116470095,0.00034368553,0.00011029547,0.0004449845,0.006639267,0.00036759238,0.00011839756,0.0004895584,0.002509341,8.651956e-05,0.0007238849,0.0002233533,0.0002837817,0.20949069,0.00029437846,0.00043983152,0.0019165282,0.00041065514,0.0024114896,6.991655e-05,0.002175843,0.00012570765,0.00035624357,0.000110092515
sub_topic_2,0.012651883,0.0016519531,0.004945733,0.0003627795,0.0050636274,0.0038292457,0.0018371779,0.015444345,0.084707744,0.0014391728,0.027713697,0.006061589,0.002449683,0.0031485616,0.0028186566,0.01183157,0.0065753,5.4554745e-05,0.0024931196,0.0022877564,4.2283536e-05,0.0030824135,0.00049606327,0.0014970369,0.013675402,0.004102165,0.0044430434,0.010627939,0.005123198,0.0024869947
sub_topic_3,0.0008061233,0.0001007967,0.0029207866,3.822115e-05,0.0002143372,0.00014106026,7.243682e-05,0.00019363893,0.0002918261,8.472174e-05,0.93682295,0.0013537678,3.5792134e-05,9.246782e-05,0.0029796015,0.0028283773,0.00025994616,1.12413745e-05,9.183116e-05,0.0016660164,2.0142973e-06,0.00069133413,0.0033944817,2.9523522e-05,0.0069469144,6.272852e-05,0.00060688733,7.9515055e-05,0.00012365784,8.255969e-05
sub_topic_4,0.0011591474,4.2733383e-05,0.00019478562,0.00016919772,8.240565e-05,6.9684946e-05,1.5996851e-05,3.5488122e-06,4.338703e-05,3.1879255e-05,6.602022e-05,0.00015162607,2.3436847e-05,5.308248e-05,2.1083857e-05,1.3191462e-05,0.000112110254,9.8455375e-06,0.98267955,0.000115701616,4.131922e-05,5.846437e-05,0.0017501068,5.380424e-06,2.2580352e-05,1.8493512e-05,0.0002865599,1.9481136e-05,4.828305e-05,7.2944924e-05
sub_topic_5,0.00018158423,1.6793007e-05,0.95088184,2.1987516e-05,6.904073e-06,5.527556e-05,8.737812e-06,2.4716473e-06,4.8006073e-06,2.6756537e-05,0.00018585542,2.3711968e-05,0.00017752344,1.844415e-05,9.045327e-06,1.0648457e-05,0.00027692146,6.257394e-06,4.884701e-05,3.6329588e-05,1.0252479e-05,0.00017365527,0.00020191507,5.807948e-07,6.971624e-05,1.1521277e-05,9.660824e-05,4.0521213e-06,2.836099e-05,2.9194805e-05
sub_topic_6,5.01227e-05,0.007748309,0.00019146525,0.00010480151,2.5225752e-05,0.0001426236,0.0026260028,3.9570186e-05,6.9254897e-06,0.00051902916,1.50160195e-05,4.3358837e-06,0.0034699803,0.00041296394,0.00020127413,1.3216614e-05,0.0002717265,0.62695634,8.0369704e-05,0.00020195218,0.00079881935,0.0004907142,0.0007141335,0.00017250895,2.2151418e-05,2.7187125e-05,0.00037479296,0.00055305246,0.00017715816,4.064117e-05
sub_topic_7,0.0004204319,0.00038645393,0.0006147251,3.1164065e-05,4.702699e-05,8.539211e-05,0.00018296648,0.77783704,0.00026250584,0.00014084532,0.00027326928,0.0002534465,9.930156e-05,0.0007759301,7.2024006e-05,7.126257e-05,0.00028883395,3.644617e-05,8.372516e-05,0.0006955536,2.439129e-06,0.0004138363,0.00031017797,0.002717742,0.0018074638,0.00033539874,0.00051427237,0.0007910766,0.00043592957,9.886889e-05
sub_topic_8,4.6924848e-05,6.1054285e-05,7.30734e-05,4.8791633e-05,1.6056993e-05,0.00016739828,0.00011793089,2.6687173e-06,4.9733703e-06,0.0010641954,6.5095783e-06,1.6013859e-05,2.4875659e-05,0.00051693333,0.00010412138,9.13815e-05,7.261866e-05,3.4479683e-05,1.2294023e-05,7.569562e-05,2.262921e-05,7.4829826e-05,4.2947257e-05,4.7150275e-05,2.0211117e-05,2.942146e-06,9.303443e-05,1.3291153e-05,0.82557255,0.00017563444
sub_topic_9,0.00014387543,0.000110205336,0.00013177039,2.4323857e-05,1.1674041e-05,0.00011380691,2.988116e-05,1.0461657e-06,4.778938e-06,7.8021796e-05,0.00038308784,5.6937126e-05,7.2347616e-06,6.759589e-05,0.00015932777,2.0770862e-05,1.7750179e-05,0.00016325829,0.00030025947,0.00018593036,1.67049e-05,0.00017868335,0.9728361,4.125819e-06,0.00014305899,9.0559587e-07,0.00013982554,1.0470699e-05,3.1514603e-05,1.551363e-05
