,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
sub_topic_0,0.0006124221,0.0001373754,0.00017360698,4.0923635e-05,2.6694943e-05,0.0003913415,0.0009972365,0.00030540195,1.0813396e-05,0.0047474466,0.00034606335,0.0007183725,1.6280355e-05,0.0058686286,0.0026104008,0.8724251,0.00039911436,5.4800475e-06,0.00018483348,2.92493e-05,4.3365664e-05,3.5233148e-05,0.00021674426,1.3339819e-05,0.00029820195
sub_topic_1,0.0012470825,0.003101513,0.0046498585,0.0002942153,0.0050373436,0.00067162013,0.0017909603,0.002211659,0.0010940137,0.0077397428,0.023395663,0.0003051908,0.002112918,0.0031013205,0.0061155735,0.0035981575,0.015357445,0.0010717532,0.0010662591,0.0015204949,0.00045837002,0.0012839077,0.002872899,0.0007980589,0.07174383
sub_topic_2,0.013763331,0.00047109375,0.0013195506,5.4740885e-05,0.0036498045,0.0017959112,0.0011184822,0.00844359,0.0025509894,0.00042610662,0.0042902874,0.3553953,8.2298815e-05,0.0006055268,0.002226146,0.0124685,0.00042585834,4.548314e-06,0.0002842885,0.00013451804,1.66497e-05,0.0030539061,0.0002244065,0.00012542689,0.0009152043
sub_topic_3,0.0006642979,8.516784e-05,0.00025181504,0.00055113656,2.0167732e-05,0.00017336602,0.00056037825,0.0007701718,8.311646e-05,2.6391595e-05,0.0014876132,0.58635265,4.773414e-06,4.6124285e-05,0.0005572539,0.00082100043,0.00013486698,2.1569379e-06,6.6949266e-05,2.3814851e-05,5.8889827e-06,0.000121724035,0.00035243816,3.9279744e-06,0.00011403474
sub_topic_4,0.939536,0.000105437604,0.00016848173,4.647014e-05,8.764183e-06,0.00023647943,0.00014819598,0.00041278187,2.52738e-05,0.00022971083,9.376355e-05,0.0001667369,2.7505208e-05,0.00013175151,3.12341e-05,0.0004375788,8.5111315e-05,1.4515899e-05,0.0002244794,2.1306012e-05,2.1656704e-05,4.092936e-05,0.0007493092,4.0823275e-06,4.451929e-05
sub_topic_5,0.010849914,0.00020575643,0.15102866,0.00027950163,1.1275654e-05,0.0061110696,0.0006312984,0.0027070637,1.5648217e-05,0.00041653024,0.00036217846,0.00057147566,2.6499902e-05,0.00020430858,9.167057e-05,0.0014768433,0.00034541907,1.2581089e-05,0.00025066079,3.3015975e-05,7.2724695e-05,6.192328e-05,0.0022995207,4.2087113e-06,1.0523282e-05
sub_topic_6,5.6967685e-05,0.007818213,0.00017056061,7.007242e-05,5.1790383e-05,0.00012148385,0.0008405,0.00016902898,1.0829478e-05,0.00051779853,3.8948718e-05,0.0,0.00077178853,0.0005377811,0.00014457041,1.0521941e-05,0.00023327628,0.53554004,1.5077455e-05,0.00012103476,0.00040192954,6.874375e-05,0.00049272476,9.211016e-05,3.093505e-05
sub_topic_7,0.00016779355,0.00020164481,0.0003000983,1.9805493e-05,0.6083824,3.3916054e-05,0.00018425638,0.0006494341,0.00033767257,0.00026293955,0.00017677467,0.00017661887,2.2617858e-05,0.00063448807,4.4264445e-05,4.841235e-05,0.00026780178,1.4838212e-05,9.918891e-05,0.00021744778,3.9691727e-06,0.00028208032,0.00016330925,0.00083928544,0.0011368289
sub_topic_8,3.2993063e-05,6.991111e-05,3.406591e-05,3.0069283e-05,3.358973e-06,8.8688175e-05,0.94568336,6.141207e-05,4.536511e-06,0.00046774905,6.296465e-06,5.5038877e-06,1.5157172e-05,0.00014545253,4.8718808e-05,0.00033439414,5.504283e-05,2.7256781e-05,1.431531e-05,8.134816e-06,3.7666847e-05,8.145269e-06,1.8257837e-05,4.587811e-05,3.6052088e-06
sub_topic_9,0.00013397304,0.00023411187,0.00011299997,8.442574e-05,3.8893057e-05,0.00013115906,5.7668007e-05,0.0029987355,6.996938e-05,6.392934e-05,0.66031677,0.00033456951,3.502785e-05,2.9584735e-05,0.0021525272,0.00026274286,0.0005859355,1.4828371e-05,5.1282663e-05,0.000432696,2.1558808e-05,2.0830455e-05,0.0003526204,3.1912015e-05,0.0001377988
